0,1,2,3,harmonic mean,ar mean
8810721.22630666,9159504.475648683,9125381.114898736,12569503.835751522,9713066.365448805,9916277.663151398
7894790.533845952,11014308.070916113,9531285.29136958,11508423.34208293,9773563.125300404,9987201.809553644
8490009.421080045,9905237.710332084,10576544.44379927,11941969.85368074,10074823.039102985,10228440.357223034
8565825.049151734,8608448.21133818,7865583.825577917,12389035.712630074,9075220.95658384,9357223.199674476
8385357.494526957,9088981.353876503,7858391.469289188,11196692.395961156,8971759.524186984,9132355.67841345
8380681.72852033,8442774.444230495,8693057.511795962,11226805.579816353,9052367.228616068,9185829.816090785
8258025.817391497,10740629.546721593,8330662.02450197,12361719.484414652,9635487.024998665,9922759.218257427
7832068.734540945,10883545.565551877,8250863.031743648,11718057.865948053,9387471.577224014,9671133.799446132
8489241.446842693,9679994.303505398,9191135.698324509,11729376.593705716,9634874.243981369,9772437.010594578
8593038.608138895,10180975.635231886,9822793.016212657,11139555.894569436,9848095.402383862,9934090.788538218
8209369.482191359,9923821.126317676,9426787.143455058,13535144.095941816,9936849.028488476,10273780.461976476
8173347.838665756,10018225.85929602,8790638.548265329,12579828.087168949,9628886.356003325,9890510.083349014
8037330.137325216,10863723.117467498,8394301.168045342,13074023.63574795,9706737.930042477,10092344.5146465
8377270.407611638,9489687.194788795,10016973.966304706,13231727.092417203,9996135.300535996,10278914.665280586
7901670.411266773,8487066.481052276,9818542.476597754,11173052.582242645,9179975.140940174,9345082.987789862
9029684.400388468,9397777.294583397,8994706.644131498,11745452.749673722,9674224.99329233,9791905.272194272
8268813.039741944,8510317.904634891,8014993.777174249,13093895.798863756,9099628.38527678,9472005.13010371
7907274.680766491,10752800.802193275,8275345.7512312345,10619388.534614032,9206553.83406749,9388702.442201259
8480334.148470268,8929650.275975296,8226858.103861223,12333707.97672011,9247741.204795578,9492637.626256723
8083048.06656777,9391945.13745208,8352320.719569251,12873210.450255321,9354584.510683898,9675131.093461106
8148817.360856176,8607073.115181115,8002021.180958036,11943936.863495294,8936677.812179416,9175462.130122654
8525166.330255203,9493988.77802107,9210511.012978228,11957105.225347968,9642423.690078884,9796692.836650616
7229185.275769197,10107619.911872488,8520765.978870196,12541619.673858395,9208987.297089998,9599797.710092569
8156944.201383817,10065305.781171625,9203529.152524933,12911394.863048723,9802695.109207846,10084293.499532275
8536284.590149969,9745040.175070167,8541686.84440894,11157951.711602386,9379579.15019442,9495240.830307866
8535774.666390786,10312669.314119577,9054796.040755793,11058105.269524321,9638735.28806346,9740336.322697619
8203398.02052231,9614356.735005388,10036477.195983034,12449354.854246756,9855279.536691742,10075896.701439371
8223569.6785813635,8718972.443780202,9060601.169689931,11982613.403424483,9299810.107902585,9496439.173868995
8734948.443867877,10046986.278895646,9123152.507576618,12601785.79604294,9926049.80049126,10126718.25659577
9095942.631110223,10599667.504094338,8097591.459863698,11062804.8547274,9565528.66555139,9714001.612448916
9366485.047968064,10651919.220671495,9746159.32933704,12510947.573985638,10439014.081158035,10568877.792990558
8351057.443901055,10044782.280235905,7859869.209483363,12138146.7211506,9325901.284553524,9598463.913692731
9071012.181566313,9657747.147626746,8464527.327557655,14397100.254419202,9965528.829154905,10397596.72779248
8077988.240110084,9223479.446207704,8016689.7037075665,13938177.142274464,9330592.666622052,9814083.633074954
7910670.758620919,9955207.74190497,8664199.055746537,10735871.664152803,9186435.069580214,9316487.305106306
8175171.036668913,10155899.326470377,8727577.61643722,11998877.313197711,9553219.815167317,9764381.323193556
8253908.65548084,10038050.802660517,8100835.977350701,12013309.4848704,9357585.08334752,9601526.230090614
8228929.398086086,9401951.622754766,8318121.67577092,11247317.955929015,9153047.44207508,9299080.163135197
8545500.938651545,8332730.37459314,8167242.853797858,10926370.717678672,8869349.447494876,8992961.221180303
8390210.120843057,10301929.75734069,9803164.648536758,12536018.851245843,10049399.432791924,10257830.844491586
8065364.423849941,10264763.706299903,9479294.229560422,12655738.014846778,9854249.719502356,10116290.093639262
8375873.060673155,9650496.42525241,8938704.608762385,12967929.297974413,9708773.243076505,9983250.84816559
8411013.989511192,9529600.531335121,8424853.063402109,13395158.843960444,9588228.925304495,9940156.607052216
8253004.4132714765,9368329.59827989,9349370.939428542,12118170.913039053,9583354.497809405,9772218.96600474
8699912.030431507,9788697.108336378,10139562.748828916,11276039.602479026,9890963.653538488,9976052.872518957
8566807.656881768,8508272.107897857,8006231.856098408,11602930.34113051,8981697.738574833,9171060.490502136
8212731.2028239025,9030715.46938672,9305609.510638786,10790321.762524052,9245710.085681397,9334844.486343365
8392483.164481966,8957202.916494638,8649533.905420262,12113173.2312999,9324788.404324014,9528098.304424193
8375395.718282608,10471564.556273403,9003549.929870484,12817789.596419474,9901530.988834424,10167074.950211493
8593266.142207518,9730382.994259845,8080182.266813697,12428445.588269012,9448196.165111829,9708069.247887518
8641314.88232184,10497491.206341535,9631784.302208142,11702603.96037638,9993554.757752646,10118298.587811975
7383644.058330744,8069800.932099921,7768344.662553046,11026159.951805348,8354668.477053596,8561987.401197264
7781892.350320732,10074567.2028151,9389009.551019115,9840078.097733058,9176500.567237308,9271386.800472002
8502193.147455672,9177096.26282286,8941675.504187927,13754366.084652,9729432.009400759,10093832.749779616
8847387.168358367,9805372.691309292,8850040.534341702,12058237.392059797,9733844.619909815,9890259.446517289
8645339.20581468,9339458.877375636,9380884.885772327,14411325.537229525,10031814.212832043,10444252.12654804
8950975.789780509,10500370.634304887,9578490.708009357,12375090.545027805,10199854.21430249,10351231.919280639
8355201.506862981,10015833.292182418,8202641.40701184,10472622.403659826,9154850.393616479,9261574.652429266
7828020.632489628,8728746.941372711,7325370.12630131,12844006.187719092,8758879.927529292,9181535.971970685
8107167.441168682,8872238.135545494,8186711.54756436,10968417.84408862,8901176.574120488,9033633.74209179
8129562.962978014,10618006.177694531,9731179.024672236,10404488.642720986,9613944.435183482,9720809.202016443
8163091.3764272705,9547753.384545727,8962449.05349115,13260341.825371463,9656499.630226709,9983408.909958903
9078325.778233614,9760676.827598013,10381415.031367969,10659453.498069223,9931872.249970047,9969967.783817206
9444342.398674505,8812961.585652515,9062520.543014707,13210018.24535196,9866860.750958731,10132460.693173422
9097242.271770826,10133647.091076864,8520097.552917948,13372272.011591071,9981142.30824157,10280814.731839176
8833388.177284643,9408620.135967249,7901690.28569486,11008224.676663872,9155649.41055073,9287980.818902656
8825461.387203531,9979451.556727266,7752123.302527257,13361161.448504021,9584163.736056997,9979549.42374052
8868507.5272222,8912847.96237872,8534948.776940651,11251945.754834298,9280850.88655634,9392062.505343966
8421542.861705298,10366359.297796944,9360103.2496355,12355646.223248035,9926049.533859488,10125912.908096444
7968093.946506663,9076063.169872684,8131752.045709209,12397682.359076865,9105075.27382677,9393397.880291354
7482410.19480453,8197371.906040623,9799643.267608903,12678768.291987713,9162677.027610833,9539548.415110443
8874276.128911564,10774818.311655924,8274655.274005981,13157910.504088001,9941714.173084818,10270415.054665366
8537746.243818805,9195686.812793568,8876375.567642147,13324756.308808777,9671637.362106463,9983641.233265825
7897992.737437826,9039736.61942358,8012206.089510773,12319697.713096974,9024913.70405203,9317408.289867288
7435349.773404995,12627488.00412387,8697503.554165129,12409475.730032554,9774118.153796226,10292454.265431637
9257068.607146034,8536558.407613836,9734045.832527379,12183769.408700032,9756635.452855745,9927860.56399682
8365176.64120227,9888692.888399387,8810750.425330965,12772471.00282621,9697912.500593498,9959272.739439707
8636846.782824855,8869733.213419057,8502338.905024264,12216639.829443336,9345876.868103912,9556389.682677878
8366615.274431719,10502347.474335924,9438231.050956039,12049886.86274603,9908842.540826963,10089270.165617429
8547128.478474988,9397754.919169366,8744970.98088143,12270111.089846436,9540686.470021496,9739991.367093056
8293408.635884318,11049242.740271809,8317852.0600785995,12393580.381286427,9708928.691781979,10013520.954380289
7946615.187344298,9679040.178274443,7885052.3441945,11130731.217631377,8972243.664714443,9160359.731861155
8535448.36798101,9563923.347166019,9963575.216297824,11604101.590033067,9797676.343863474,9916762.130369479
8135319.3534879675,10301762.492620617,8193282.386298986,11633182.317077592,9345711.84135618,9565886.63737129
7957454.170010756,9570535.414952414,8649088.390859552,12363714.391297111,9375219.901960269,9635198.091779958
8216986.784517321,9632552.047793353,7782696.035160276,10799771.295426795,8956590.920886783,9108001.540724436
8673775.825251581,9298164.535839956,8944012.665897325,11821185.162242638,9541104.402821353,9684284.547307875
8398413.93549363,9017429.908931049,7686899.360307306,12137900.742780926,9040682.370314572,9310160.986878227
8492116.1544141,9060352.087686634,8285096.654303543,12053360.251223072,9263755.299136817,9472731.286906838
8239594.753918641,9993507.11448176,8368623.595856513,12311569.47249973,9475337.778283533,9728323.734189162
8248956.805446762,10872136.455203582,9435307.076003307,12942629.089961683,10089426.655874146,10374757.356653834
8023381.341126726,8064738.38548336,9051738.786869042,11184540.627228448,8918270.600066738,9081099.785176894
8299906.593465232,8566583.73871076,8501779.943558848,13166056.381813377,9285239.730378123,9633581.664387055
7840818.476021349,9671069.137301248,8323040.183061241,11351609.145638663,9107871.839965368,9296634.235505626
9020972.487620521,9288554.972054496,7796636.37918062,11582687.090042906,9235564.128676455,9422212.732224636
7946228.111168638,10049780.023243882,8651143.48653936,12842733.665008977,9550933.381134422,9872471.321490213
7959167.686421142,9333807.178460866,8565462.593837015,12504224.960451929,9313163.676480237,9590665.604792738
8019055.926127514,10353177.734247772,7915939.917874679,11808420.352859726,9252739.948168168,9524148.482777422
8821635.065962326,11050765.433312425,7857997.42363362,11142238.334000561,9504425.030411916,9718159.064227235
8729552.665048504,9856420.1669623,9318647.704965208,10945323.484960862,9645874.646774445,9712486.00548422
8697954.992194273,10180826.317561155,9928264.708423028,13089966.349765077,10248255.430983674,10474253.091985883
8228116.1695322385,10468244.311658604,7821657.526455479,13013345.758862702,9484160.494287143,9882840.941627257
8289481.878614348,7959216.83632517,9182358.743138062,10761010.557529448,8926422.34378719,9048017.003901757
7986011.59677719,9557786.12945942,8291437.974493932,11820418.888056595,9194315.81681079,9413913.647196785
8310357.91554425,9742766.019214734,8195080.24165224,12066695.487984203,9348651.898086894,9578724.916098855
8324477.179454406,8371449.670942377,8056121.660781747,11578162.025566189,8887309.113422066,9082552.63418618
8223026.4243058525,11119723.518124733,7668607.713199167,11907660.834647244,9391405.501519687,9729754.62256925
8435495.81698924,9287502.176444734,8607764.0916307,11372516.572095837,9295327.571483484,9425819.664290126
9244775.648154886,9353295.646630246,8875722.112897672,13457923.094607478,9948864.12400234,10232929.125572572
8542760.66660141,9760038.266854953,7990637.59079008,11321292.212525811,9238037.616917988,9403682.184193064
7964064.216246013,10317124.115176639,8528687.276817527,11249118.671088262,9331895.59753975,9514748.569832109
8447694.532215904,8578907.451376393,7799048.3016995685,11652544.933237031,8909094.960303377,9119548.804632224
7878126.977989528,9462291.830106886,8710365.690615278,11311222.545477841,9177892.937449466,9340501.761047384
8690737.690607375,8814218.48201947,8587563.694596069,12008591.773394026,9340572.89312755,9525277.910154235
8312532.183626204,9932076.960972598,8123290.97134867,13623456.499512948,9581072.648417104,9997839.153865105
8750903.957372377,8874076.575042624,8582460.556428077,13796757.267599853,9616327.945168203,10001049.589110732
8635816.383426946,9593782.604435446,8398534.544728048,11013384.598645218,9304533.02459963,9410379.532808915
8437641.183975143,10120254.74984942,8870156.289775927,13174753.571442856,9852978.525069963,10150701.448760835
8960993.146506818,10148029.37832532,9783840.4511552,10873452.950114388,9893336.685539838,9941578.981525432
9198662.5486505,10159768.950868594,8856960.321355624,13674059.6001201,10173570.895198168,10472362.855248705
7973461.6057325825,10151066.796495076,8894568.936518313,12246776.016185023,9569145.470866928,9816468.33873275
8111642.658998349,11510809.868435543,8281280.319227624,11247072.070831351,9527875.73257146,9787701.229373217
7757503.384771016,9200603.338574542,9359113.511798099,13060774.185804129,9500988.08092214,9844498.605236948
8906725.069032462,8663097.818134954,8410220.918129763,12678606.444963045,9401084.531444123,9664662.562565057
8752725.543907369,10808254.885187764,8504448.60633226,13659555.987296516,10061213.905516282,10431246.255680976
8166538.8299095,8691587.456916813,7712508.194650656,12024035.529669648,8882356.672477882,9148667.502786655
8474532.825692983,9641518.512042727,9408193.688534923,12681701.897925176,9831323.847436987,10051486.731048953
7870407.39964994,9389954.952496769,8488870.653492939,13276496.414073924,9374764.478282424,9756432.354928393
7946562.416600213,10058357.090426235,8114418.031396269,11196529.897411287,9136358.210918196,9328966.858958501
8835128.679850038,9513798.722944295,9308949.434958937,11705959.595430009,9728925.20600173,9840959.108295819
8400364.820234735,9819122.408712955,7336724.308888766,12123870.39798404,9097793.11278001,9420020.483955124
8814555.405420018,8628367.29165167,9722502.477162851,11827038.044743067,9598041.231031168,9748115.804744402
8334488.230566237,8505647.282661982,8432298.372959808,12122869.561004337,9119247.796269948,9348825.86179809
8226902.014183809,9998688.402704269,8757592.568891622,12525723.126166213,9624919.343954697,9877226.527986478
7774462.685426469,10713740.407819731,8020202.775157477,10974603.425827075,9137240.534184402,9370752.323557688
8226110.755288179,10489407.190079216,8734465.55753573,12739371.874137923,9758854.263722306,10047338.844260262
8746955.891248764,10278007.996567564,9017923.005867813,13591441.53724863,10098801.679103717,10408582.107733194
7764345.979122783,9907884.44694094,8771107.68990861,12113330.77122655,9383329.221434616,9639167.22179972
8635899.452092199,10415313.046607831,9138089.103218688,13341120.611734385,10096001.223913824,10382605.553413276
8576308.484276248,9609822.090474466,7986088.586422441,13030743.976799058,9464771.521804372,9800740.784493053
7854346.851866027,9016796.73741978,7905053.039659149,11395923.496009469,8840282.92738881,9043030.031238606
7421730.7485088315,11218092.526283674,8674697.093326155,10151920.1722951,9139462.311604971,9366610.13510344
7942454.68357442,9874545.140723176,8874333.356062736,10748607.699684607,9240095.181546593,9359985.220011234
8059221.330117819,11089083.633710751,8712130.675416779,11215413.649295237,9564670.392170293,9768962.322135147
8138269.278058335,10720281.569848495,9402466.918106915,12427387.071913293,9926053.730804048,10172101.209481759
8038586.90675187,9626788.263149872,8562247.675052831,12349716.486161415,9388744.39637324,9644334.832778998
9040333.655036002,9223345.407004777,8391184.86145709,12812417.266439185,9609427.636534085,9866820.297484264
7800518.106035194,10613270.286124453,9949093.976907209,11314525.971283507,9724979.88690996,9919352.08508759
8168210.464973315,9454580.222414115,7715870.581491398,13976423.461554904,9316479.165699633,9828771.182608433
8321101.328154647,10064197.88886607,8801789.34608858,12405012.137875404,9667338.299425397,9898025.175246175
9031295.825998109,9306727.324393598,8218245.950617959,11993535.516417587,9451037.562527861,9637451.154356813
8926140.705057105,8278362.232031362,9049296.468855064,10951226.578319801,9202867.413143912,9301256.496065833
9205580.13070805,11720846.92993925,7555411.967037231,11945578.608543122,9755710.451462977,10106854.409056913
8065875.855783838,9189036.68866552,8954697.015912011,12285785.78473015,9392481.527771842,9623848.83627288
8520468.221038463,9782682.991219722,9018701.579934983,12966234.919944035,9813783.82406406,10072021.9280343
8504717.417885207,9603143.403162686,9447609.088931441,12290026.885586187,9781671.991378523,9961374.19889138
8213206.9457612205,9525354.921064707,9804998.316260003,11632271.013971694,9645652.03313733,9793957.799264405
8322805.049125275,10376296.294982923,10357624.578628035,13350374.970465403,10309894.905513894,10601775.223300409
7230724.757847058,8218760.943127833,9313283.61832887,12480588.189169716,8939156.57221775,9310839.377118368
9171052.343117854,9458176.192727694,9116952.168972122,12391403.794510664,9872782.890400065,10034396.124832083
7952542.662124995,10152970.085590877,8676563.414705932,10401031.563003065,9181964.833696527,9295776.931356218
7991985.896560911,10832314.076403609,8529093.49907629,11458909.096920215,9479665.425192876,9703075.642240256
8573839.75290001,8480169.769969018,8067765.681961373,13048450.577000597,9192369.21500892,9542556.44545775
8797724.88139112,8712216.742841706,8734663.263422955,11275331.262234816,9267353.749907002,9379984.037472649
8396518.458785491,9851827.1118558,9211874.239304746,11548358.744407848,9621191.359608937,9752144.638588471
8317694.308651915,9390826.224459568,9214757.432461463,11884828.694071606,9538003.23114325,9702026.664911138
