,super bc
1,1
2,2
7,7
11,11
25,25
60,60
63,63
64,64
76,76
79,79
91,91
97,97
99,99
107,107
112,112
137,137
162,162
189,189
191,191
198,198
214,214
221,221
224,224
233,233
253,253
277,277
288,288
292,292
300,300
313,313
315,315
316,316
318,318
330,330
333,333
336,336
337,337
341,341
351,351
355,355
365,365
367,367
389,389
418,418
420,420
430,430
448,448
481,481
484,484
488,488
490,490
496,496
503,503
519,519
521,521
542,542
550,550
560,560
562,562
576,576
578,578
579,579
583,583
586,586
596,596
598,598
602,602
604,604
613,613
630,630
650,650
652,652
662,662
683,685
688,690
709,711
715,718
745,748
752,755
757,760
859,867
967,32075
969,32077
986,33310
987,33311
1010,34903
1013,35122
1026,35713
1032,36110
1047,37007
1061,38016
1070,38705
1085,39803
1100,41033
1104,41494
1119,42513
1120,42654
1143,44373
1168,45769
1188,47026
1189,47027
1196,47500
1200,47756
1204,47973
1205,47974
1231,49925
1232,49926
1236,50405
1244,50981
1254,51410
1259,51887
1283,53245
1287,53535
1288,53536
1298,54306
1302,54611
1303,54726
1317,55789
1326,56414
1328,56528
1329,56529
1349,57636
1351,57747
1360,58342
1367,58842
1391,60344
1392,60345
1408,61195
1412,61498
1439,63374
1442,63562
1449,63839
1450,63954
1461,64728
1467,65092
1474,65541
1480,65888
1485,66352
1495,66976
1498,67143
1508,67708
1525,68528
1547,69710
1556,70390
1564,70907
1582,71805
1596,72629
1604,73182
1607,73334
1608,73335
1626,74250
1653,75533
1655,75616
1672,76727
1690,77658
1691,77741
1692,77822
1697,78216
1708,79026
1749,81579
1778,83474
1782,83782
1798,84740
1799,84820
1836,86926
1838,87058
1867,88749
1879,89516
1883,89717
1890,90085
1898,90509
1899,90561
1914,91309
1936,92401
1945,92809
1964,93771
1981,94729
1984,94860
1990,95210
1994,95453
2028,96924
2036,97270
2042,97618
2053,98311
2073,99382
2084,99947
2095,100569
2105,101054
2110,101290
2112,101413
2117,101629
2145,103062
2156,103709
2162,103993
2164,104103
2169,104402
2171,104520
2178,104906
2180,105029
2182,105155
2196,105735
2208,106247
2229,107395
2236,107708
2243,108031
2245,108121
2246,108175
2249,108324
2256,108647
2261,108807
2264,108980
2271,109336
2281,109829
2283,109954
2296,110540
2297,110583
2311,111161
2314,111317
2322,111689
2330,112134
2361,113466
2376,114206
2392,114935
2404,115514
2412,115867
2426,116474
2434,116765
2454,117651
2455,117694
2480,118633
2498,119489
2508,119880
2514,120159
2515,120201
2534,121101
2545,121598
2550,121842
2554,122056
2556,122147
2565,122513
2566,122562
2589,123554
2622,125061
2641,125519
2649,125527
2662,125540
2669,125547
2676,125554
2694,125572
2697,125575
2705,125583
2717,125595
2751,125629
2755,125633
2768,125646
2773,125651
2777,125655
2778,125656
2782,125660
2790,125668
2816,125694
2836,125714
2841,125719
2864,125742
2871,125749
2880,125758
2894,125772
2898,125776
2901,125779
2904,125782
2919,125797
2937,125815
2949,125827
2952,125830
2963,125841
2967,125845
3001,125879
3012,125890
3013,125891
3015,125893
3024,125902
3046,125924
3055,125933
3083,125961
3105,125983
3121,125999
3122,126000
3123,126001
3135,126013
3142,126020
3144,126022
3151,126029
3157,126035
3158,126036
3161,126039
3162,126040
3165,126043
3184,126062
3194,126072
3208,126086
3209,126087
3231,126109
3235,126113
3240,126118
3247,126125
3268,126146
3269,126147
3273,126151
3275,126153
3277,126155
3307,126185
3309,126187
3318,126196
3337,126215
3339,126217
3346,126224
3356,126234
3374,126252
3378,126256
3385,126263
3387,126265
3393,126271
3394,126272
3405,126283
3407,126285
3416,126294
3419,126297
3422,126300
3430,126308
3433,126311
3443,126321
3447,126325
3451,126329
3464,126342
3469,126347
3486,126364
3504,126382
3520,126398
3523,126401
3565,126443
3571,126449
3572,126450
3576,126454
3581,126459
3582,126460
3585,126463
3591,126469
3594,126472
3595,126473
3619,126497
3622,126500
3627,126505
3635,126513
3636,126514
3640,126518
3649,126527
3660,126538
3662,126540
3665,126543
3690,126568
3696,126574
3717,126595
3721,126599
3722,126600
3739,126617
3748,126626
3764,126642
3767,126645
3775,126653
3777,126655
3785,126663
3786,126664
3792,126670
3796,126674
3803,126681
3827,126705
3829,126707
3831,126709
3851,126729
3864,126742
3870,126748
3876,126754
3884,126762
3915,126793
3920,126798
3929,126807
3934,126812
3941,126819
3947,126825
3969,126847
3975,126853
3981,126859
4005,126883
4007,126885
4016,126894
4026,126904
4031,126909
4032,126910
4053,126931
4065,126943
4081,126959
4082,126960
4088,126966
4104,126982
