Day,Strain,Replicate,CFU1,CFU2,Dilution
0,28,1,167,123,0.00005
0,46,1,228,298,0.00005
0,1159A,1,202,201,0.00005
0,1159B,1,281,220,0.00005
0,2174A,1,110,147,0.00005
0,2174B,1,209,134,0.00005
1,28,1,77,,0.00005
1,46,1,157,,0.00005
1,1159A,1,132,264,0.00005
1,1159B,1,247,311,0.00005
1,2174A,1,279,204,0.00005
1,2174B,1,179,160,0.00005
2,28,1,158,143,0.00005
2,46,1,330,343,0.00005
2,1159A,1,308,202,0.00005
2,1159B,1,321,186,0.00005
2,2174A,1,193,229,0.00005
2,2174B,1,175,181,0.00005
3,28,1,113,140,0.00005
3,46,1,356,351,0.00005
3,1159A,1,257,137,0.00005
3,1159B,1,239,135,0.00005
3,2174A,1,261,223,0.00005
3,2174B,1,210,226,0.00005
0,28,2,144,122,0.00005
0,46,2,303,282,0.00005
0,10950,1,195,200,0.00005
0,10951,1,237,,0.00005
0,11342,1,129,131,0.00005
0,11343,1,209,202,0.00005
0,10407,1,213,271,0.00005
0,10408,1,252,219,0.00005
0,4531A,1,80,109,0.00005
0,4531B,1,217,215,0.00005
0,7184A,1,130,211,0.00005
0,7184B,1,271,169,0.00005
0,8601B,1,204,,0.00005
1,28,2,166,109,0.00005
1,46,2,244,209,0.00005
1,10950,1,248,219,0.00005
1,10951,1,193,172,0.00005
1,11342,1,60,61,0.00005
1,11343,1,122,,0.00005
1,10407,1,119,74,0.00005
1,10408,1,236,171,0.00005
1,4531A,1,114,174,0.00005
1,4531B,1,244,237,0.00005
1,7184A,1,280,294,0.00005
1,7184B,1,170,165,0.00005
1,8601B,1,203,203,0.00005
2,28,2,80,61,0.00005
2,46,2,193,222,0.00005
2,10950,1,169,238,0.00005
2,10951,1,204,164,0.00005
2,11342,1,178,140,0.00005
2,11343,1,115,146,0.00005
2,10407,1,224,173,0.00005
2,10408,1,150,167,0.00005
2,4531A,1,158,,0.00005
2,4531B,1,193,253,0.00005
2,7184A,1,188,171,0.00005
2,7184B,1,251,193,0.00005
2,8601B,1,179,224,0.00005
3,28,2,145,,0.00005
3,46,2,130,156,0.00005
3,10950,1,204,,0.00005
3,10951,1,178,219,0.00005
3,11342,1,184,164,0.00005
3,11343,1,216,203,0.00005
3,10407,1,195,138,0.00005
3,10408,1,285,263,0.00005
3,4531A,1,232,229,0.00005
3,4531B,1,162,159,0.00005
3,7184A,1,196,233,0.00005
3,7184B,1,258,206,0.00005
3,8601B,1,120,106,0.00005
