,super bc,0,1,2,3,4
0,0,17536,4396,32878,39323,28962
1,1,6981,1866,31720,67433,82567
2,2,1931,348,3555,4309,2364
3,3,1774,431,2686,3083,1854
4,4,7074,2822,17262,24291,22999
5,5,3834,1007,5932,6407,4109
6,6,3320,839,5082,5491,3721
7,7,3418,848,6108,7146,5248
8,8,4192,1083,7571,8907,6080
9,9,3312,956,7025,8457,6952
10,10,3575,1031,6605,7723,5788
11,11,5239,1031,14135,16214,7317
12,12,8457,2036,17745,19504,10842
13,13,3237,622,6482,7175,4420
14,14,3077,583,6082,6795,3557
15,15,3077,597,5687,6535,4218
16,16,7986,2008,14086,15833,8494
17,17,4250,1132,8987,11349,9643
18,18,3460,990,9069,11977,11332
19,19,3529,1236,6003,7039,5875
20,20,4852,1116,8771,9958,7848
21,21,3464,827,7823,10237,8035
22,22,3069,807,5109,5511,3470
23,23,1856,432,2925,3557,2441
24,24,5300,1386,11405,13849,10903
25,25,3167,1054,6994,8389,6994
26,26,3823,702,7259,8741,5996
27,27,6225,2052,11611,14130,12093
28,28,5546,1908,8946,10318,7617
29,29,5261,1734,11510,14848,13218
30,30,2681,861,6542,8940,8011
31,31,3119,825,6784,8232,6399
32,32,3901,1182,8311,10356,8867
33,33,3678,1074,7185,8153,6350
34,34,4032,961,7315,8307,6262
35,35,784,208,1494,1691,1080
36,36,3843,1181,7728,9147,7008
37,37,3423,866,7460,9863,7600
38,38,3127,678,8462,12101,10902
39,39,3083,945,5672,6570,5223
40,40,6491,1066,11743,13249,7582
41,41,2676,719,5707,6168,4104
42,42,4527,1126,8999,11224,8441
43,43,2302,620,4115,4825,3233
44,44,2018,467,3258,3869,2360
45,45,7680,1324,15203,17387,8803
46,46,3414,770,7399,8808,6492
47,47,2570,733,6226,7893,7148
48,48,2619,587,4802,5476,4297
49,49,3681,963,6308,6958,4499
50,50,1310,431,2760,3574,3308
51,51,2981,829,5800,7352,5575
52,52,3199,901,6081,7072,5612
53,53,4788,1079,8667,10471,8019
54,54,1562,430,2335,2524,1520
55,55,3206,843,6490,7967,6062
56,56,3661,713,7268,8464,5756
57,57,2593,676,4547,5655,4252
58,58,2776,568,5636,6644,3933
59,59,2642,621,6075,7294,5498
60,60,3136,758,6207,7326,5172
61,61,2798,629,5878,6920,4650
62,62,4100,844,8094,9493,6555
63,63,3793,1037,7949,8308,4512
64,64,2699,546,5596,6355,3596
65,65,2834,537,5800,6667,4196
66,66,1603,425,2835,3594,2622
67,67,3723,1053,7088,8385,6672
68,68,3354,627,6324,7132,4237
69,69,2596,675,5126,6175,4890
70,70,2433,781,3933,4541,3199
71,71,2880,662,6553,7912,6045
72,72,2271,665,4260,5000,3191
73,73,3927,1103,6428,7317,4895
74,74,4546,1182,8489,9825,7659
75,75,2967,648,6291,8175,6055
76,76,2717,643,5790,7665,5973
77,77,2364,603,4902,5588,3457
78,78,1695,387,1942,2018,1258
79,79,1882,434,3206,3405,2129
80,80,3456,874,6610,7745,4814
81,81,2897,642,5810,6572,3967
82,82,2472,693,5241,6260,5088
83,83,1791,449,3095,3432,2203
84,84,2748,833,5099,5724,3648
85,85,3297,1235,6191,6918,4553
86,86,2326,615,4415,5226,3046
87,87,2374,628,4110,4819,3287
88,88,3369,804,6045,6851,4404
89,89,1958,319,6081,8228,6355
90,90,3064,641,6087,6953,4072
91,91,1549,419,2508,2989,2330
92,92,2971,725,5250,5856,3677
93,93,2954,643,6709,8417,6059
94,94,3895,922,6637,7036,4742
95,95,3255,731,7048,8433,6345
96,96,4236,978,7178,7876,5112
97,97,3488,897,5360,5821,3151
98,98,3149,616,5704,6468,3639
99,99,2436,549,5007,6254,4512
100,100,3408,660,6462,7508,5130
101,101,2418,725,6795,9463,8849
102,102,2834,562,5725,6323,4063
103,103,2914,574,5416,6273,3803
104,104,3570,900,6267,6921,4567
105,105,3925,1497,7068,8213,6329
106,106,3168,739,5602,6300,3837
107,107,2730,592,5192,6103,3599
108,108,3216,628,5879,6438,4061
109,109,4548,842,7911,8042,4780
110,110,3301,792,5892,6918,5606
111,111,2966,853,4901,5562,3656
112,112,4274,1398,7040,8210,6789
113,113,4318,1628,5890,6231,4439
114,114,3108,747,4783,5332,3609
115,115,3213,828,5783,6352,4105
116,116,2930,616,5715,6538,4024
117,117,1372,242,3304,3915,2910
118,118,3006,1047,4339,4781,3091
119,119,3123,817,5194,5903,3792
120,120,3636,1116,6196,7052,4884
121,121,3346,782,6362,6907,4224
122,122,2939,564,4472,4989,2862
123,123,2982,695,5512,6332,4013
124,124,2959,773,5558,6636,4399
125,125,2863,550,6494,8263,4762
126,126,2587,729,5412,6461,4517
127,127,2124,293,4727,5394,2630
128,128,2409,728,4751,5712,4288
129,129,2474,573,4283,4599,3009
130,130,2543,668,4096,4341,2760
131,131,2302,441,5499,6303,3729
132,132,1237,282,3049,3699,2304
133,133,2711,782,5036,5813,3768
134,134,2382,684,4498,5488,4272
135,135,2604,709,4167,4529,2934
136,136,3097,522,6110,7020,4034
137,137,3652,1063,6705,8082,6101
138,138,2866,527,5106,5826,3671
139,139,3550,895,5787,6043,3965
140,140,2147,462,4291,5221,3587
141,141,3155,833,5945,6767,4422
142,142,1746,410,5705,8199,7734
143,143,2709,809,4316,4598,2910
144,144,1755,508,2596,2733,1796
145,145,1392,362,2480,2918,1919
146,146,2883,677,5227,5744,3623
147,147,3187,860,5846,6248,4334
148,148,2859,835,6418,7585,4906
149,149,1810,346,4295,5406,3517
150,150,3101,1075,4827,5497,3623
151,151,3041,934,5456,6731,5271
152,152,3185,1011,6007,7346,5641
153,153,2725,659,4577,5020,3409
154,154,3038,949,4731,5488,3547
155,155,2636,537,4720,5194,3164
156,156,2924,578,5921,6481,3684
157,157,1730,440,4307,5295,4193
158,158,3334,676,6610,7216,4091
159,159,2896,719,7039,7934,6247
160,160,1881,449,3864,4652,3343
161,161,2319,758,3662,4130,2879
162,162,1745,514,2884,3209,2194
163,163,2244,583,3484,3847,2491
164,164,2566,707,5780,7820,7035
165,165,1664,403,3564,4358,3280
166,166,3143,582,6755,7934,5336
167,167,3156,776,6060,7251,5654
168,168,3117,503,6904,8229,4192
169,169,2508,611,4491,4815,3045
170,170,2359,763,3855,4583,3672
171,171,2833,643,5666,6528,3735
172,172,2981,498,5670,6588,4583
173,173,1700,430,3146,3709,2169
174,174,842,259,1358,1453,892
175,175,2172,541,4307,4802,3050
176,176,2434,686,4007,4780,3412
177,177,2287,640,4685,5403,4329
178,178,2362,581,4167,4877,3125
179,179,2103,522,4150,4887,3870
180,180,1998,564,3345,3654,2176
181,181,2308,665,4170,5213,4212
182,182,1611,338,3402,3758,2442
183,183,3442,1043,5148,5823,4153
184,184,2707,690,6855,8426,5537
185,185,2762,926,4679,5454,3615
186,186,2759,559,5055,6014,4516
187,187,2306,643,4465,4855,3446
188,188,2574,573,5240,6231,3792
189,189,3051,674,4994,5973,3927
190,190,2083,439,5182,6796,5145
191,191,1788,511,3353,3992,2586
192,192,1849,439,3761,4289,2561
193,193,2256,483,4335,4847,2991
194,194,2181,325,2846,3314,1697
195,195,1642,472,3122,3595,2922
196,196,1384,477,3567,4979,4845
197,197,3647,1033,5775,6343,4471
198,198,1897,465,4994,6686,5755
199,199,3321,1215,5529,6471,5026
200,200,2049,466,3448,4172,2801
201,201,3253,1038,5240,5787,4000
202,202,2964,965,5062,5510,4143
203,203,1697,268,4078,5290,3120
204,204,2780,696,5681,6673,4190
205,205,1738,482,3145,3756,2783
206,206,2888,700,4906,5876,4094
