0,1,2,3,harmonic mean,ar mean
3025697.213573206,3267057.026015136,1222257.640658715,3111090.754314283,2252027.8191726026,2656525.6586403353
2723169.775297867,2677090.6075213156,1552209.6815900546,3082642.3203968946,2340003.927026663,2508778.096201533
2542300.991948383,3156309.5898727686,1511515.144905257,3115554.295222495,2363049.2677144483,2581420.005487226
3031883.121326281,2556435.556082279,1426139.7550817376,3032287.479193284,2283137.2712649736,2511686.4779208954
2398108.765178965,3048958.627640054,1305801.555518797,3518195.249364527,2228380.115239746,2567766.0494255857
2430983.3886643606,2998432.206508478,1510064.5711767196,3158287.08918184,2320569.973656916,2524441.8138828496
2917233.4514756924,2735002.848047179,1372888.6128489194,3164786.57491551,2282077.1152918106,2547477.871821825
2715614.720025109,2630841.9132609954,985843.7070812876,3078195.5607790905,1916101.1837491386,2352623.9752866207
2704846.641883505,2648926.579922501,1240685.6865702365,3017219.8629825315,2122404.3854389517,2402919.6928396937
2659840.2942967475,2434644.0862148255,1367714.1880291225,3357311.2997886995,2203001.79031066,2454877.4670823487
2427319.724846795,2666229.8144540973,1347408.0117737588,2857140.6109535857,2128560.304347021,2324524.540507059
2430180.6944487086,2949573.0562460553,1152872.8764979145,2696594.5023269397,2011302.9360667276,2307305.2823799043
2637170.871751438,2826984.1554671777,1374032.488391408,2684221.9836807256,2181905.040486611,2380602.3748226874
2524317.4642909514,2714405.4020361127,1092203.6693204066,2881961.786163322,1973245.2521516953,2303222.0804526983
2753686.782122405,3021318.463047785,981428.7329136437,3537788.8184313653,2004293.2395471467,2573555.6991288
2416002.935639717,3381635.5205484144,1394120.3368617448,3144475.793252627,2292345.1837089756,2584058.6465756255
3357881.7417237926,2347361.8954238603,1676926.9975309924,3913640.4923634566,2538614.8701415467,2823952.7817605254
2820921.5084871966,2581599.495722878,1284177.2111477964,3414988.9641075437,2205817.942025446,2525421.7948663537
2239022.4628624883,2656844.397597259,1368535.706467006,2847829.8614482153,2099889.185603082,2278058.107093742
2764987.450622051,2620055.180255105,1218352.965829841,2906058.1902417517,2096188.224082349,2377363.446737187
2424798.3986306684,2851962.620696638,1229392.5984439426,3590551.7194151203,2156381.089774271,2524176.3342965925
2994920.7874669065,2642572.307818195,1503477.731169485,3218020.146851179,2369398.084373035,2589747.7433264414
2679819.2954714843,2762077.9691988667,1330417.8739192446,2939566.471388447,2189338.9502890245,2427970.4024945106
2637773.1350220707,3184042.920776619,1076585.3227600937,3064057.717880749,2052965.341956005,2490614.7741098832
2701047.3390440806,2909947.0380178005,1325157.6777491672,3483128.9438984673,2278422.04779725,2604820.2496773787
2482591.1835988318,2907492.342549968,1545747.3370094916,3032287.5686841365,2320906.894037306,2492029.607960607
2282437.3009417164,2709799.644243619,1330816.3946285758,3332833.0332745374,2152131.370345127,2413971.5932721123
2765926.3030321826,2977518.1496858494,1255125.779605214,3283573.5208064797,2223863.1148348516,2570535.9382824316
2611772.734788951,2807571.98561808,1274631.816734605,3002788.0649387864,2154446.3707218007,2424191.150520106
3084467.7044675,2746867.1723717167,1265412.0366885462,3040212.2416726025,2213078.5470503056,2534239.7888000915
2323354.3904999793,2648048.905702828,1290250.7687161274,3468885.971856878,2137472.8254296915,2432635.009193953
2368034.3630898795,2903125.5007249448,1255099.4716524682,2809696.328896506,2083976.4771070518,2333988.9160909494
2592945.5475878334,2615147.351963815,1350633.6821519558,4304608.858130933,2297857.7928503635,2715833.8599586342
2718804.410771231,2775662.638833337,1188177.0731614318,3112317.160740033,2115268.9666254846,2448740.320876508
2369713.6341146925,3158967.5863013444,1159697.9815651397,2767375.995591734,2038530.6256931974,2363938.799393228
2503048.7475718986,2983267.205986631,1208696.4028930706,3195390.407761013,2133328.5822721156,2472600.6910531535
2564489.3277551215,2835068.838293851,1182526.768549826,2595441.463584117,2026749.0019181047,2294381.599545729
2242378.368057546,2646674.611227794,1257083.5047614272,3373320.087421135,2087983.8364731462,2379864.1428669756
3278690.0752889644,3415190.9821495777,1425579.6769884846,3629661.5674082595,2540027.557994064,2937280.5754588214
2705009.716362249,3335033.37823328,1261106.1833303098,3190151.2045062426,2252314.496282931,2622825.1206080206
2897395.2109937547,2999305.9852718464,1077094.2379301589,2953055.2284087474,2055916.548574099,2481712.6656511268
2172312.7594483295,2860027.5444064974,1389884.0679704,3459267.079753769,2199555.925578389,2470372.862894749
2595881.372710145,2732469.0816155868,1141612.2566314226,3119634.0800797725,2053704.8325684303,2397399.1977592316
2952747.4282489927,3332727.631117965,1377569.5618308338,2810701.260267394,2325011.7475962513,2618436.4703662964
2863021.8148866575,2972286.0675090933,1531392.1760425507,3220506.922055932,2425369.274195414,2646801.745123558
2922778.5923642796,2761448.3464078456,1348682.700841953,2744449.55936364,2209816.525833719,2444339.7997444295
2478053.0389167694,3302105.8770863954,1656634.0798820367,3195354.7167134285,2464621.031817721,2658036.9281496573
2746253.162091506,2627408.2577572125,1297080.914568915,2849977.986387939,2142959.482224707,2380180.080201393
2719014.139953373,2829616.7400288004,1244997.8213305618,2752153.182074761,2118923.257756699,2386445.470846874
2708251.3631265447,3318768.105912947,1240579.7335509332,2799864.71702252,2181270.7627763622,2516865.9799032365
2980528.638427985,3032645.8693671287,1348249.425149784,3946821.2407376734,2409163.9903710466,2827061.2934206426
2762611.0659441072,3206242.3741267556,1213170.60461149,2894308.9517747117,2169597.4676388474,2519083.249114266
2832024.5955530438,2845455.6756806513,1358308.277767522,3125687.571927838,2271847.7769590365,2540369.0302322637
2366681.222276183,2593348.5115089393,1221351.080608185,3006444.0506696953,2041317.567583357,2296956.216265751
3137218.5157765443,2885983.305028811,1259964.9252452096,2831224.4937379626,2207343.5006586886,2528597.809947132
2486546.0156358923,2638360.0885757646,1543537.158783183,2971665.411001386,2265567.761374543,2410027.1684990562
3025941.342285632,2831509.0105192917,1277920.7126179773,3331242.3380501657,2264552.090949348,2616653.3508682665
2200537.7538639107,2561704.4902185895,1101006.5250568977,2966568.45379461,1913739.0671163504,2207454.305733502
2327303.612849801,2875211.3041259064,1142523.4260458234,3292553.772886741,2044515.7362772187,2409398.028977068
2347200.8508157395,2839639.9526431677,1271826.3225288761,3157945.5408260473,2126382.4392787525,2404153.1667034575
2534239.304681025,2699162.8936418523,1261647.7761077322,3269914.3605165426,2146482.842673492,2441241.083736788
2581415.698425624,2594556.37402365,1291777.5742581463,2998232.5264128824,2127135.0414373213,2366495.543280076
2173884.4633169468,3022739.6595197055,1333153.2488041625,3556305.6567478944,2195240.582188079,2521520.757097177
2708481.747710909,2729496.548521323,1513735.0778991547,3822228.485027809,2412802.054059694,2693485.464789799
2148237.7544853264,2844659.696491884,1519912.226395018,2841284.5989347612,2189477.4550402625,2338523.5690767476
2449404.5536273806,2561483.8285438386,1085735.2384326311,3737416.781021334,2012821.1180207029,2458510.100406296
2728571.502980437,2449934.735590488,1261605.336126058,3272627.9033606714,2135757.2559454152,2428184.869514413
2872328.860986621,3016190.1238418617,1412200.309068963,3155371.4455720107,2346414.8601986975,2614022.6848673644
2706616.5629472253,3129981.914578665,1515798.7103386028,3375179.8320000735,2431678.4337738235,2681894.2549661417
2555501.3612229903,2335726.2789061964,1403992.992195817,3612592.581543632,2211766.9703928945,2476953.3034671587
2869887.535727918,2961166.5742801237,1157561.1633233908,2709621.714536278,2084320.2404221033,2424559.246966928
3159953.0042981626,2610535.8359039756,1166494.168463477,2986022.523931827,2114514.954245863,2480751.3831493603
2682601.0475547807,2598025.8435443104,1310049.4013747764,2659845.9809649712,2108623.8711065813,2312630.56835971
2789211.385674142,2886902.8959413166,1203635.3162455994,2440647.2715478544,2056068.9349985665,2330099.2173522282
2902965.8441659412,2645280.180636843,1270013.1370516545,3866838.340688295,2261791.361529975,2671274.3756356835
2354492.682920932,2777356.659257127,1133475.0491584556,2901319.3791911234,1988379.9799797991,2291660.9426319096
2612358.672207416,2879791.652403987,1223791.039716923,2921796.3723775344,2117039.093752107,2409434.434176465
