0,1,2,3,harmonic mean,ar mean
5778140.902416223,4829430.805186073,3140243.391544264,6178299.222408667,4648820.645865612,4981528.580388807
5888736.220352972,4768297.397030012,3255398.386427994,5830576.656637526,4660777.684573777,4935752.165112127
5629043.818720043,4588140.2304603215,3688178.1735122665,6128341.203412492,4819763.920519252,5008425.856526281
5072114.449355647,4254631.488851707,3377163.91197352,5480554.116786899,4391916.327754403,4546115.991741944
5532975.40592717,4326549.30989989,3191787.5528885224,6071500.668870401,4495020.184279303,4780703.234396495
5176044.360298552,4161902.054113613,3251884.16378513,5757862.211696739,4373199.771106495,4586923.197473508
5866749.805375225,4993009.679638081,3368781.2030983483,5487151.344157811,4706882.863642615,4928923.008067367
5107057.460077017,3901212.015778992,3316262.368845664,6010041.245333332,4347492.603955105,4583643.272508751
6040491.461170024,4219612.561925238,2726038.5396410665,5979202.455765443,4270688.706874706,4741336.254625443
5671339.060800609,4786375.871585327,3302258.972435045,5768031.943194424,4643366.735186995,4882001.462003851
5449583.718034839,3974577.7349736216,3254211.376438962,5647401.424639362,4350351.12003527,4581443.563521696
5443790.3027255405,4193817.6447690655,3846451.468840999,6060116.364800207,4721797.678426383,4886043.945283953
5480963.945085261,4416945.357095573,3367001.857162515,5907962.5945826415,4570834.679225578,4793218.438481498
4775775.613201812,5170887.41973981,2934924.268929188,5650336.962363999,4345533.514145668,4632981.066058702
5198862.00818352,4230067.22080836,2998483.332888596,5977334.033836732,4303142.391680358,4601186.648929302
5632672.915392414,4135913.5931343674,3397257.6099166656,6291490.399713258,4583896.38036791,4864333.629539177
5683370.085883765,4673995.283606161,3696358.6354048294,5420629.411417657,4734183.825188493,4868588.354078103
5012589.553535428,4123944.772149651,2955610.956653356,5842961.85368274,4204023.108623184,4483776.784005294
5695737.025537212,4764497.6766893985,2912481.201203607,5799568.142398609,4438368.291008576,4793071.011457207
5203321.041185023,3974568.9710131083,3559876.6768133114,5929562.623066583,4477580.176020897,4666832.328019506
5349415.14665389,4521167.822517205,3192998.3368619583,6374088.978811128,4554830.583674926,4859417.571211046
5292857.824289315,5046448.283659744,3295012.3510973975,5718804.476204146,4621906.448647285,4838280.733812651
4986056.068983448,5180657.748047573,3436367.6165171224,5786371.622562022,4665213.625275082,4847363.2640275415
5593565.429580751,4636898.074225883,3248067.1735374066,5878795.895050297,4584965.850586706,4839331.643098584
5480736.974216486,4244767.549784999,3104407.2393765193,6249548.030917026,4443577.292611547,4769864.948573758
4945561.486207367,4637971.999354758,3801274.508595749,5235042.500820765,4587665.9354866315,4654962.623744659
5372700.934513342,4243197.246152073,4155784.848264462,6313445.979926194,4873187.43342741,5021282.252214017
6182767.038715459,4531132.08469702,3318435.014582929,6749352.4186124755,4808012.979660908,5195421.639151971
5435067.908437287,4723699.553138002,3268537.4621249307,5715998.263746814,4563169.8997338535,4785825.796861758
5422063.18234654,4567578.114758789,2984433.5059263664,5192002.428790591,4296261.948951657,4541519.307955571
5789063.629785062,4758023.852629467,3354789.663034974,6332604.52230837,4768120.433689565,5058620.416939468
5015542.907975191,4323626.736085897,3155860.931304469,5649799.978866738,4326496.079952643,4536207.638558074
5193588.070127345,4460947.076836277,2919315.5917391856,6202708.350933214,4345564.995905578,4694139.772409005
5073786.419114606,4370647.300802368,3099798.881663989,5843604.154808146,4349625.665252541,4596959.189097277
5931864.802475917,4279360.183298398,3905328.2086576032,5804650.679988197,4815813.649301387,4980300.968605029
5465160.274347242,4438615.269187235,3566806.386342737,5636684.583892407,4618698.487424192,4776816.628442405
5576648.125568488,4424642.018813911,3419208.0356263644,6047780.711112797,4634234.539599745,4867069.72278039
5632374.154421147,4788683.6262870915,3461142.822463195,6048070.773856311,4758310.1348698335,4982567.844256937
5110508.616394004,4173747.9893803583,3572363.715939381,5702916.527468342,4491638.453150654,4639884.212295521
5160382.243529948,4682723.202617579,3808180.5791687407,6015593.401021788,4783760.419612616,4916719.856584514
5034853.867465119,4268175.614571719,3116642.054457445,5568807.63659215,4285695.429568143,4497119.793271609
5747686.558578236,4848780.198691319,3492306.512113178,5923314.200695012,4788190.8173713,5003021.867519436
5847012.1164205065,4356037.516532169,3137220.5348083903,6295474.023765604,4554814.051576522,4908936.0478816675
5385810.222433709,4572334.466949071,3424009.231620072,6297267.957299461,4677082.2249222305,4919855.469575578
5855678.226517417,5095974.388349574,3740314.614137,6142862.8627268765,5017841.745003528,5208707.522932717
5139186.379632441,4813431.506370849,3692618.3932140246,6003587.725376594,4763532.654839134,4912206.001148477
5794026.718286376,4578333.784102369,3637559.159887248,5579973.251504446,4732979.714076917,4897473.22844511
5240962.112872796,4544580.851582786,3072056.616361889,6392449.755905144,4480305.1048831325,4812512.334180654
4900679.849516767,5115937.907157427,3719115.3696819367,6402941.645070963,4850952.885969186,5034668.692856773
4998175.245372631,5077317.5778722605,3479144.9400490625,6011831.45469549,4701496.044779724,4891617.304497361
5746370.739718767,4524818.530199828,3550375.1801335686,5651384.7019221205,4685846.892766155,4868237.287993571
5100162.157913528,4795091.252594478,2997458.0350994305,5532571.980567351,4352639.649453722,4606320.856543697
5751163.919615136,4615300.019701626,3218592.8989965077,5736049.862531355,4568404.219784718,4830276.675211156
5790742.585086475,4719907.268157525,3230068.410965562,5372691.300511275,4544032.383044062,4778352.391180209
5943515.776693436,4166545.0034781564,3662315.8532224856,6074799.481016342,4728560.807051879,4961794.028602605
6103572.45128331,4652565.617800067,3524089.3283599825,6282559.754626149,4867922.963042049,5140696.788017377
5116908.39343138,4643385.5931617655,3619020.897539473,5296947.502566551,4566750.049062593,4669065.5966747925
5852716.991591147,4438264.924299976,3200234.5240782425,6355358.508450817,4618944.448599361,4961643.7371050455
5644082.208580844,4457049.789249178,4135907.8226700122,5209215.313274975,4788740.167279958,4861563.783443753
5573080.4123279005,4260137.521720425,3631507.419201539,5822366.179074303,4644210.47482713,4821772.883081041
5414762.903415534,4946389.972190059,3078629.5747350994,5964515.71312089,4548938.659941753,4851074.540865395
5127533.700574383,4486521.962815043,2974073.7168782107,4922178.675416574,4178346.231764951,4377577.013921052
4947794.513385953,4399503.290091241,3477351.6747883977,5880702.805584113,4509422.6592400465,4676338.070962426
4738442.735987984,4668581.006764806,3322635.3601592532,5892411.158092837,4464717.3531519165,4655517.56525122
5310782.2655609725,4693395.6495819595,3403541.0683307704,5981680.179902885,4638486.323449052,4847349.790844146
5762302.97346835,4166731.2494079783,3230271.182116078,5849785.922974422,4473992.858280829,4752272.831991707
5213821.19258838,4819865.169560973,3336839.138623823,6022626.390227281,4624288.587136704,4848287.972750114
5009810.481248142,4370988.279717364,3563229.6562882066,5858095.948381551,4546809.463965451,4700531.091408816
5221349.210701661,4173228.043401535,3079052.8747930094,5770305.353334052,4304684.318583893,4560983.870557564
5178198.368047861,4499147.486299128,3095085.1783572966,6206948.778543862,4446498.081499816,4744844.9528120365
4811410.750648463,4162388.6459730035,3659739.247416919,5761942.508011774,4469863.017907958,4598870.28801254
5830743.779912159,5079570.008753964,3244598.104802806,5508817.983074723,4661442.410916702,4915932.469135912
5076978.126611755,3926056.925934973,3005144.881779661,5868287.415973733,4189156.4597014054,4469116.8375750305
4939825.878198917,4074088.393046311,2971772.1878967443,5918900.180818241,4195775.633129905,4476146.659990054
5903340.613690313,4261208.743142657,3066193.059003077,5767124.7825294575,4426714.159231706,4749466.799591376
5386421.432357332,4793188.135547555,3182109.5366606484,5367653.646148959,4470075.344142877,4682343.187678624
5843218.947507726,4388342.402835452,3288897.0720683327,6154511.913062596,4621335.073253688,4918742.583868527
5268540.2034232905,4326194.458029395,3514717.011195594,6535151.279738129,4659330.132696827,4911150.738096602
5010373.699499879,4102082.1039267215,3715296.5146663142,6097414.094955416,4563469.756591697,4731291.603262084
5481919.775775587,4417129.75626269,3227891.493609988,5289395.071568104,4406904.975458008,4604084.024304093
5832394.37401558,4181759.1742704245,2966798.2652504994,5662046.357688786,4327747.832936762,4660749.542806322
6068840.111921433,4224992.301459898,3243994.845053468,5931287.287175943,4554136.8298158385,4867278.636402685
5011306.994338339,4223689.211832035,2827995.665774729,6152603.002496878,4199701.034859486,4553898.718610495
5175599.514785295,4843565.772682386,3595803.1900138143,5967646.183693594,4731790.091120404,4895653.665293773
5467431.919978878,4311443.320180368,3202417.760615307,5929736.024366484,4465542.866253575,4727757.2562852595
5009099.5463343095,4792063.435703516,3410772.500540033,6050454.598603911,4614777.936513221,4815597.520295442
4327574.46137134,4684293.382773401,3483454.2779888255,6009378.158986402,4454176.149052318,4626175.070279992
4975182.3126563905,5107741.982536296,3230965.3896027654,6152089.476354245,4603890.969416621,4866494.790287424
5029154.763167835,5130344.467827781,3489364.1262909877,5366191.569066835,4615226.685858585,4753763.73158836
5416495.583304268,4419142.089847045,3298520.847383516,5868309.58419513,4522418.494101982,4750617.0261824895
5435781.2972742915,4480555.246833231,3777298.030925444,5867802.2155884635,4748823.564081244,4890359.197655357
5268909.976299331,4911731.002521101,3106846.6543401964,5206787.764470373,4408619.294344638,4623568.84940775
5476944.376442904,4701557.950630116,3400554.5226927316,5776442.743283367,4637866.013189764,4838874.898262279
5766517.080627487,4714165.880693336,3191634.837449952,6383385.66925551,4675534.078791533,5013925.867006571
5756340.782104159,5038222.733930739,3553056.7718577175,5881648.061877356,4856300.059855176,5057317.087442493
6055223.024081288,4488070.1230871035,3575268.869247127,6062336.415711712,4804159.922300352,5045224.6080318075
6115940.45192255,4499068.95079391,3310262.897976419,5882329.892940022,4662728.326734273,4951900.548408225
5831075.541447212,4557954.571165039,3536828.42792193,6165843.506941662,4785750.295728568,5022925.511868961
5546285.779007579,5055751.35364029,3910565.3963270695,5891483.780423689,4977914.201270068,5101021.577349656
