0,1,2,3,harmonic mean,ar mean
5558296.8240672825,5040556.433906103,2795701.055321664,4647439.188453745,4205363.375299246,4510498.375437198
4960972.06336937,5301318.032324846,3048348.6097423118,4120325.8781447704,4162541.182454419,4357741.145895325
5208127.073173269,6279298.0097282855,2846396.158658145,4615718.688537591,4351451.507285685,4737384.982524322
5181321.537082489,5827072.119234342,2767206.672851393,4700543.11261376,4261074.550551873,4619035.860445496
5499340.363743889,5847044.545079049,2899437.7937691915,4261951.952469514,4290025.972197808,4626943.663765411
5495720.997757278,5171826.690351229,2656190.1811765735,4633680.359087424,4133917.138083704,4489354.557093127
5941033.719213456,6034440.669950429,2904461.2874470484,4135293.4536769986,4347093.45339559,4753807.282571983
4718670.849694999,6085089.263575635,2839288.7798568895,4741998.234890161,4258297.003728589,4596261.782004422
5476453.9636111045,6107899.368583993,2643989.2024875875,4484000.015984234,4221395.948729499,4678085.63766673
5652308.530314583,5439322.422341979,3091950.8820595876,4955636.981677194,4514794.469465905,4784804.704098336
5850119.858396122,5607896.690913054,2790394.026624657,4295993.311248929,4253491.019193277,4636100.97179569
5196948.613611513,5826428.632545375,3108278.028524486,4073945.480943549,4295365.820910407,4551400.188906231
5498495.912792074,5728686.501504579,3677929.92438977,4523664.75681363,4709318.588130995,4857194.273875013
5678035.406789513,5416450.912300888,3047585.0166017096,4344483.091465717,4352340.995942783,4621638.606789457
4616159.265065296,6012269.056351951,2875058.9476017533,4165782.180005514,4120199.507332008,4417317.362256128
5137103.228617137,5843973.362690011,2678326.773362668,4658455.269341431,4193709.2821250586,4579464.658502812
5546339.558047464,5081863.401656823,2705790.402442847,3972263.469237309,4006407.360632539,4326564.207846111
4519615.641087759,5959908.074850553,3116899.8321354506,4355412.545521553,4257690.031370071,4487959.023398829
5528095.930515055,5958713.840666136,2880488.6851897263,4143518.365445816,4267942.87263793,4627704.205454183
5309168.4838043,5982953.553533153,3027655.0579284327,4302861.668501116,4356410.911619134,4655659.69094175
5026867.278216642,5850415.177757946,3359893.5679743835,4084867.041598894,4384553.5004604515,4580510.766386966
5225051.350029161,5830395.056081965,3176634.859233477,3971152.034350313,4303318.205562185,4550808.324923729
5482891.784600388,5193506.491940692,2671260.909092189,4498122.472146905,4116904.9985823613,4461445.414445044
5589007.2101097675,6134332.792384817,2992494.712851211,4287324.395657372,4398724.021162859,4750789.777750792
5000808.57522529,5254319.997820587,2888882.665150161,4501679.490119415,4172833.9664975815,4411422.6820788635
5672511.554256726,5622008.68217418,3414495.6097226273,4034086.1300304485,4469684.423889632,4685775.494045995
5313628.7919052895,5469938.643166589,2714925.5538500026,3842696.551915633,4001677.254014176,4335297.385209379
4859016.585440785,5553214.482319522,3352278.2550500436,4684831.318370422,4456137.876970712,4612335.160295194
4991029.496076387,5992062.684428979,2801944.964974644,4363056.556131355,4195779.376710085,4537023.425402841
4803790.220893145,5336489.086449651,2962224.012324084,4468432.099776659,4180014.7850092878,4392733.854860885
5184980.672738194,5814387.142986997,2825098.1084217164,4460044.79673775,4241624.459308383,4571127.680221165
5245086.970652152,5727599.576828587,3017442.43349349,3853317.0178782963,4183352.2434973023,4460861.499713131
5500776.942463116,5172509.482108915,2352084.129170422,3760650.819578966,3751681.67191384,4196505.343330355
5364976.105784178,5814911.525801648,2975415.365820354,4370754.720959842,4332536.237376274,4631514.429591505
5197244.178827991,5762429.812656751,2480187.09380041,4168444.330676575,3964161.571358105,4402076.353990432
5446732.254178205,5527823.7332260795,2973835.749185153,3890080.5021178965,4176108.684389236,4459618.059676833
5096303.890963517,5877257.705197164,2909999.587078321,4327664.25440347,4250425.696655265,4552806.3594106175
5493738.124280437,6009031.446956578,2901509.714606989,4057095.325819481,4257259.741995507,4615343.652915871
5091581.401625299,5890104.550630783,2557671.290441766,4407618.647002864,4064877.698641001,4486743.972425178
5136849.625361273,5754799.403621799,2855493.974786532,3963668.8259547297,4119746.7610234376,4427702.957431084
5062375.613531991,5210549.871376614,2919677.9566358016,4611056.257209982,4215728.882498414,4450914.924688597
5029280.8407739485,5702241.008362353,2806675.105045452,4375529.857899437,4170826.8544175075,4478431.703020297
5226242.037656691,5508685.6488258,3228216.3938783766,4331126.40692724,4378624.100238805,4573567.621822027
5176950.825349135,5702075.673495465,2914778.440471865,3857803.1935225083,4120174.0957522774,4412902.033209744
5599785.070561542,5515912.09456351,2504310.782987051,4304099.552956298,4034209.8679352175,4481026.8752671005
5365080.234637586,5919809.996662044,2794941.604368644,4456007.518418907,4266574.692072711,4633959.838521795
5082083.719816462,5634618.536551294,2881427.7081095353,4061430.3474680255,4134312.0589574906,4414890.077986329
4869145.807664622,6081528.475656055,2700871.112283258,4434727.367736955,4142711.8749850453,4521568.190835223
5610754.312538135,5319648.7863009,2939856.1521155885,4472494.998416067,4301292.487170858,4585688.562342673
5209106.547017074,5911711.500745164,3085570.961695567,4467980.1623251205,4400289.206503834,4668592.292945731
5673763.73376798,5721908.0218431465,3228679.9927337156,4437107.493053261,4514097.6107083,4765364.810349526
5308905.482172863,5458725.570025246,3100155.4130526436,4566795.487486411,4380719.169306809,4608645.488184291
5389260.168498687,5524577.716084574,2803005.271203145,4311762.627773073,4187397.809377191,4507151.44588987
5394406.211660174,5674914.46393629,2782294.447788417,4313891.343359811,4198081.506236848,4541376.616686173
5284557.795461482,5721596.607489286,3136318.4606546187,3954252.8078157543,4274671.440646251,4524181.417855285
5496175.34466356,6339798.76596003,2894273.5386566916,3786810.916477273,4213796.622955601,4629264.6414393885
5906238.524726202,5515129.114012595,2947459.9695730642,4397946.351281807,4360690.380535961,4691693.489898417
5355623.4777306365,5551433.5659354115,2977935.8679914507,3983514.9717941405,4194230.9734578673,4467126.97086291
5053507.052437043,6025173.122974016,3217008.003960417,4107596.97270479,4356577.59611781,4600821.288019067
5223441.925869827,6164284.741293164,2914081.622868289,4003858.684174714,4225695.127755202,4576416.743551498
5447071.495361301,5817130.174301446,3156509.0871719713,4062870.777859464,4355267.828925299,4620895.383673546
5725739.714821645,6171672.828678993,2754880.9181030267,4169060.4041586355,4257425.925382674,4705338.466440575
5005510.025040173,5390015.324625085,2941815.267494714,4424078.0467538135,4204904.85572373,4440354.665978447
4983156.294786136,5598588.471572662,3122372.7189211296,4641545.099851404,4371550.133740036,4586415.646282832
5042963.966482354,5558648.409013964,3360110.268424985,3979274.6031288616,4314495.229768087,4485249.3117625415
4866468.427893106,5398928.515812326,2899415.4646461126,4470487.806901243,4169724.0280912193,4408825.053813197
4641582.035743646,5656107.696943218,2782365.002992861,4350204.939277787,4075293.0109767355,4357564.918739378
5107550.74178524,5434090.791125978,2683797.9013168695,4237816.678756807,4046990.2189082815,4365814.028246224
5007046.596594895,5364661.157544723,3090281.0668960116,4306747.925021444,4246678.882313292,4442184.186514269
4617193.283831344,5419536.018434955,2717760.2677728324,4378556.176514336,4010285.333608398,4283261.436638367
5631491.419885064,5044227.326401202,2415282.2667276966,3485314.180185439,3714821.5662044864,4144078.7982998504
4955872.141341878,5935559.454844183,3016786.7056438383,4459074.161201132,4319667.164120492,4591823.115757758
5174059.5504473625,6094702.53404185,3135007.116429252,4627367.5528017925,4482129.752317447,4757784.188430064
5304806.541509912,5259916.680200195,2749501.7966086883,5061180.539107439,4255726.690399892,4593851.389356559
5544592.370273256,6475778.431356178,3432206.794953745,4812845.470240999,4796666.160584018,5066355.766706044
5602046.839910007,6010518.843106371,2949457.7272636928,4482260.913228654,4410006.025211489,4761071.080877181
4848096.465787891,5939739.992837392,3193659.6481667617,4458220.668329707,4385728.321119496,4609929.193780438
5234913.617836353,5704754.737120963,3195202.8316785153,4375739.223224943,4406162.312380582,4627652.602465194
5782762.192230496,5716207.657094735,2737811.959284716,4527480.934492141,4282666.90617225,4691065.685775522
5022203.515428306,6020805.296225595,2713736.3719655997,4410157.296765767,4164708.21776325,4541725.620096317
5175461.678690234,5945979.132668238,2805382.6268360214,4302852.671615699,4209365.720227797,4557419.027452549
5491506.74081723,5234207.386232969,2648458.7882352644,4040296.178704292,4007072.5945392996,4353617.273497439
5003657.06145669,5467331.606691147,2841268.1483975784,4344345.438009843,4145515.053269208,4414150.563638814
5328107.035073954,6548963.00507622,3043679.5583466855,4420952.294941265,4468648.852978623,4835425.473359531
5436572.318871226,6113966.077103542,2842567.72716542,3919465.0032980666,4190979.3689546906,4578142.781609563
5141196.560013619,5656336.542367965,2818470.720390019,4668917.580917997,4254029.962348439,4571230.3509224
5813281.7700049775,6129515.657597453,2642521.0280625215,4777150.252493348,4334064.361193198,4840617.177039575
5201511.73641161,5247180.299331864,2802579.608132876,4346203.318320256,4124857.9932317478,4399368.740549152
5324262.682955968,6176339.707649232,3202486.439697048,4056458.7945662425,4402835.51322334,4689886.906217122
5403263.7307592025,5755722.76306541,2562134.5446279794,4212017.501175483,4054620.0400054273,4483284.634907018
5106124.488987455,4870815.874866954,2555673.213945568,4198004.445828991,3881074.5128340153,4182654.5059072417
4945099.342456834,5503217.842807746,2831674.4014991764,3987964.526830087,4049260.4297731463,4316989.028398461
5270047.0229778,6464622.941184043,2656699.292951848,4109890.405297948,4148679.9710880225,4625314.915602909
4962615.0857482115,5522080.696842281,2599033.520860743,4022545.994867798,3937182.2437742027,4276568.824579759
5210267.701118332,5758534.468397257,2591258.7102098684,4238878.209087654,4051009.00090758,4449734.772203278
5711236.169713662,5633870.969597566,3031160.1628619605,4369087.840573095,4388954.857331221,4686338.785686571
4838526.918763843,5544597.7417754065,2871853.5051857517,4774101.553696502,4234144.464421494,4507269.9298553765
4889954.506331929,5792286.970430168,2515833.151506467,4007478.940590588,3905638.457130273,4301388.392214788
5324503.559118938,5437448.955375816,2912837.470856693,4477132.459267008,4262639.003552607,4537980.611154614
5233563.533043508,5374198.484387156,2822361.644903621,4116741.3787543774,4105206.454228472,4386716.260272166
4964221.198271057,6083053.570827346,3063874.9974686326,4262460.963767722,4315819.0561048,4593402.68258369
5719052.146383359,5463984.922146273,2810633.5183990244,3863838.777975337,4113227.2625277075,4464377.3412259985
4696015.75079394,5508834.980182557,3038672.8483186597,4299571.096396913,4183463.9918898605,4385773.668923018
5938755.165775294,6045405.2936976645,3060183.1220174935,4720381.384484054,4584918.937453209,4941181.2414936265
4982740.094503716,5521787.533197821,3030114.285580868,4543983.654591068,4292373.602181155,4519656.391968368
4905364.530063282,5690388.80387876,2533623.457765463,3929130.743500826,3888046.7083320036,4264626.883802082
5114646.222483515,5575843.888743566,3173932.956994217,4433065.970006776,4369168.40998615,4574372.259557018
4777611.451101375,5389851.113421226,2967446.712665426,4610752.37827877,4216216.51442822,4436415.413866699
5377188.987142892,5503520.091003288,2651912.6434008307,4019294.1805753293,4025931.450803771,4387978.975530584
5222849.925006744,5786786.344917896,2579485.6134944493,4371237.740395962,4078651.9827804943,4490089.905953763
5515724.41103981,5937807.559513795,2540906.545154111,4133891.629238512,4060191.0745493784,4532082.536236557
5503540.409233261,6845571.785952552,3210606.773979372,4223761.755354535,4566186.921045311,4945870.181129931
5134706.95884086,6009191.243473337,3167665.316034933,4252359.009906772,4385876.761654751,4640980.632063976
5049004.8930284865,5732855.573708886,2921316.862241366,4325140.640887441,4228286.445020287,4507079.492466545
5693044.340469843,6336889.954251538,2763926.4160900884,4115407.715909869,4263244.772077805,4727317.106680335
4781073.4192140605,5275195.960876987,2736923.671822088,4391037.984935553,4032929.754306558,4296057.759212173
5372478.6714043,6370111.082754423,2703534.92698036,4074312.2623202573,4173434.336722854,4630109.235864835
5161637.800446201,5744069.828532711,3222629.36266449,4444927.363050543,4429135.765833472,4643316.088673486
5864205.222100912,6005863.165024915,3028233.563781688,3815450.118410154,4304093.476985066,4678438.017329417
5424514.9074552525,5832244.2848323835,2960307.9112812267,4269102.016843311,4311028.366507364,4621542.280103043
5873856.439871978,5888497.54892411,3706254.3708535107,4213355.935452154,4721306.062780402,4920491.073775439
5554059.288765635,5711082.987357482,2919469.6639324417,4701165.1265493855,4393731.890236546,4721444.266651236
5400272.073636196,5864176.395148589,2965524.789942583,4440535.133550084,4356779.682329399,4667627.098069363
5773560.372135995,5269947.183653305,2816790.2687378707,3946846.0210781153,4118024.882902288,4451785.961401321
5953699.5637138635,5919286.392579789,2837469.49596182,4273516.089591482,4332154.404870683,4745992.885461738
5422877.886499928,5424012.746679521,2613132.459173781,4244666.425098218,4052514.391114135,4426172.379362862
6325466.033393316,5873490.905447331,2834336.937412664,4271363.840697853,4370242.188264926,4826164.42923779
5597189.420403367,6296053.401500256,3166300.2565065045,4317468.281817551,4520111.1527281385,4844252.8400569195
5590714.824872492,5509819.210902759,3011341.353882624,4861641.593510577,4453688.669582719,4743379.245792113
4569274.687207629,5879051.091914568,3070473.4152827086,4425595.887295036,4252652.007709265,4486098.770424984
5184071.52934953,5760805.206190396,3074786.033800782,4538192.035309787,4385660.186144655,4639463.701162624
5615396.842780802,5179184.532037148,2715111.503588606,4150545.091322359,4079952.3720685784,4415059.492432229
5357127.450188193,5823048.418526427,2778222.0220139427,4247177.558067002,4193788.791042488,4551393.862198891
5597082.954487694,5102356.382553273,2519199.910944399,4398774.530611088,4004245.123828631,4404353.444649113
4684813.192327829,5665032.918441694,2627217.13739354,4307800.858182912,3989049.8090737066,4321216.0265864935
4940673.344856459,5899207.103997916,2898024.589884317,4236092.5030647535,4197073.092190951,4493499.385450861
5727638.550480618,6304745.021898838,3146689.6623291783,4474754.926790472,4574183.88776272,4913457.040374776
4635007.404735589,5704769.851800757,2741803.6362814447,4079170.174196781,3996352.86901197,4290187.766753643
5632174.199214371,5847825.657259649,2955572.0966188586,4710088.565264228,4448352.765013853,4786415.129589276
5207484.703107921,6142958.479480449,3150864.515942754,4814005.861628887,4545869.230005165,4828828.390040003
5507908.841979313,6191011.85005289,2759424.4620285495,4631920.780046106,4341365.192659816,4772566.483526715
5582371.001313786,6709700.810812528,3055868.7888847967,4972903.413043272,4670157.0506120445,5080211.003513595
5685262.245288894,5530403.690463681,2510184.767395843,4377235.204161477,4066926.2861435106,4525771.476827473
5066907.028628071,6178990.738899082,2790124.5806373325,4439949.025987867,4242534.981130071,4618992.843538088
5319201.765204593,5751137.734214022,3282327.875452158,4698740.550299237,4548754.545627194,4762851.981292503
5294471.474081092,5467644.727244003,3218028.330097583,4397062.619798731,4395873.898653802,4594301.787805352
5219424.847397507,6136306.790210717,2916227.6746553336,4325139.132633902,4307227.408670655,4649274.6112243645
5145495.737147543,5697985.405879328,2827605.112631598,4485194.602249271,4226286.8185720695,4539070.214476935
5268829.953175638,5596557.961438843,2755318.8898202106,4301809.564976815,4149931.098491876,4480629.092352876
5402505.993193134,6266345.561812566,2684782.452701801,4110290.0660623643,4164742.9893405614,4615981.018442466
4480001.592304704,6214463.237925814,2527169.239875776,3635343.901365599,3791807.2391948905,4214244.492867974
5430299.524035975,6178927.813807927,3273377.2910375264,4538489.9938609535,4588077.992028269,4855273.655685595
5824943.834365864,6180287.814796285,3022928.4522310467,4120713.3462141366,4410329.482436883,4787218.361901834
5171483.713268154,6168071.736737993,2944186.878315792,4616514.607515346,4387122.730452127,4725064.233959321
5517484.371312359,5818129.258404406,3122274.0106248087,3854131.5447812453,4287889.872594745,4578004.796280704
5372518.037203388,5231426.060066046,3002856.295605266,3926368.5290461765,4145122.9740127744,4383292.230480219
5208765.1563338,5665339.04507155,2554228.5706966743,3841606.6074971855,3920371.674826355,4317484.8448998025
5527221.572046316,5793377.7898148475,2875329.648499583,4162512.4325846513,4248271.840820368,4589610.36073635
5061290.030370806,5652595.011873035,2741901.802902926,4171559.3338347306,4086148.854033351,4406836.5447453745
4770496.328268429,5537383.405301875,2598306.8302611727,4516314.820940816,4014057.295425914,4355625.346193073
5052142.394716958,5275016.851573476,2907015.434917744,3791570.236247149,4019102.483348662,4256436.229363832
5266789.5453206785,6258579.881339374,2582064.969054254,4020905.407839616,4058290.1409946615,4532084.950888481
5500985.612898097,5384286.866548169,2899509.4914445416,4023613.3186885733,4162634.237759589,4452098.822394845
4683815.811441613,5776531.967755321,2669736.701694978,4745453.114977839,4115598.1278614784,4468884.398967438
4995723.557469117,5635726.0412303535,2392066.856985227,4118938.486378897,3851931.2014618674,4285613.735515899
5826568.316070156,6036466.545396222,3106639.102470594,4350139.659976033,4499152.223653622,4829953.405978251
5088741.506211757,6211989.784614878,2911787.968167022,4717798.369328027,4381707.481672481,4732579.40708042
5588328.344130272,5517185.118525427,2849762.047285813,4429676.17633574,4269613.888076605,4596237.921569313
5234452.388895561,6049364.833941207,2843593.6758223204,4117394.879873514,4206593.093182221,4561201.4446331505
5474132.192239573,5426707.214896672,3042570.0145029747,4508988.071909281,4360148.591023295,4613099.373387125
5336762.391439693,5393290.63219642,2620994.48208746,4461817.774465579,4088083.678606273,4453216.320047288
5679550.270136041,5467054.207371206,3062313.881590312,3746928.1680601807,4199828.309566454,4488961.631789435
5095687.46179598,5520623.528431167,2868861.1101603904,4479646.0969720315,4214138.801564905,4491204.549339892
5512290.232317127,5578592.50569873,2644244.5537148365,3940265.6275352817,4029661.015614543,4418848.229816494
4887928.246156628,5944371.408732518,2709848.268316641,4275007.6965534985,4099393.5699958056,4454288.904939821
5737941.993651393,5465842.441876285,3114690.5384247503,4449863.102313142,4429589.938904374,4692084.519066393
5377029.322282833,5884164.3798375735,2498636.5467005363,3974644.2448191713,3969289.2990305484,4433618.623410028
4808622.374880301,5480436.031957233,2997751.7841832847,4173860.592426081,4151114.3905329565,4365167.695861725
5482501.811961536,5420416.648994214,3041709.2038932596,4689137.353559834,4400887.827380287,4658441.254602211
5163109.282040484,5997493.860866701,2676645.7557191527,4082589.820568026,4085958.204035437,4479959.679798591
5723050.678980897,5460718.454549442,3146617.794500972,4154734.363911198,4365149.604626102,4621280.322985627
4913871.918400515,5616357.046332104,3018196.381255905,4255903.158997892,4220084.491971043,4451082.126246604
5633562.064187649,5827781.6792324195,2860489.75284819,4585962.513177962,4363255.505483629,4726949.002361555
5315897.050967793,6167646.500995176,3064996.4076848016,4055287.4994386802,4333188.845537647,4650956.864771612
5460495.595385605,5579013.173325824,3204351.9557370897,4489058.700272992,4458234.452258868,4683229.856180377
5321585.124104827,6309728.432663971,3106475.3174295747,3713800.8272793586,4266332.089238629,4612897.425369432
5034334.8949452,6027199.083509114,2727948.73149104,4663067.122060822,4230219.330240987,4613137.458001545
5129226.029227714,5692766.768794163,2808260.8578170626,4327977.927645133,4176369.088051405,4489557.895871018
5442856.3332670275,5694957.622927321,3078672.3368076817,4582702.8821862135,4432878.736545062,4699797.293797061
5441990.302277874,5642846.227175001,2918269.2103605964,3860309.3729237565,4155035.6260437616,4465853.778184307
5147868.742599519,5686690.183687468,3052103.089828596,4244173.197557234,4285571.43864547,4532708.803418204
5917932.688063316,6139583.996845064,2765165.953635501,3869807.9624784975,4202086.247333517,4673122.650255594
5463788.251606273,5774970.870472384,3094258.070948729,4296720.411906161,4385488.184031057,4657434.401233387
5290267.786296817,5641193.927035786,3435639.980448201,4714150.457370186,4600410.255403983,4770313.037787748
4957715.236210727,5534807.341334794,2493508.372759428,4532845.83518027,3983929.2189951544,4379719.196371304
5143960.323334247,5418329.69380978,3356916.5276539694,4226724.416240328,4379032.807989235,4536482.740259581
5457205.356942272,6061694.113701022,3284190.204749446,4351279.443351315,4532470.646179524,4788592.279686013
5663455.599954276,5561052.145979044,3252526.986948169,4550584.463398173,4526945.644049175,4756904.799069916
5497254.4049127055,6065505.594104197,2712895.344162178,4585634.640056917,4285142.363642703,4715322.495809
5240852.172135691,6073333.539025838,2979456.294451383,4437095.913972563,4364585.973197243,4682684.479896368
5027961.304702698,5764540.792875146,2502776.598131281,4064621.5925139477,3929490.3146743984,4339975.072055768
5434722.806117718,6439615.9154942,2811200.058217651,3785104.81466606,4170123.370158101,4617660.898623907
5167906.313482945,5685071.328724159,2754831.747557939,4117550.980039597,4101459.303296566,4431340.09245116
5162886.001787475,5571408.586900488,3034710.8565055938,4795217.78745958,4389624.241256096,4641055.808163284
5340100.755091424,6299091.194326789,2692742.938413525,3857224.639639043,4095684.439672145,4547289.881867696
5486681.411609845,5544464.579140304,2955195.368929476,4651661.660729096,4366890.190991528,4659500.75510218
5692283.157270479,5809381.505380168,3119069.798843196,4397895.384646307,4465273.991112297,4754657.4615350375
5196226.491100132,5497066.634152994,3035793.0343155256,4131693.909864797,4229236.222943832,4465195.017358363
5209622.562592119,5480815.491641237,2784330.6846056054,4100584.422342695,4092375.114486888,4393838.290295415
5565629.178535055,6036414.085940239,2988316.540700735,3982912.9339227285,4296249.769348305,4643318.184774689
5043211.283494939,5777202.5854608575,2774492.0466777533,4460476.922440658,4184108.639565973,4513845.709518552
5199249.984070481,5772333.995686855,2814759.5770575353,4483382.235693007,4237774.733295273,4567431.448126969
5334231.737344896,5408094.035160385,3250886.015395423,3844844.2840186367,4254986.661609753,4459514.017979835
5228750.12754481,5749507.677833469,3144299.13163112,4312831.2655909415,4371200.724821675,4608847.050650084
5528218.5128705045,5405737.722448537,3022077.2389277862,3917066.433024353,4201371.545654931,4468274.976817795
5240890.823143041,5525560.950434872,2888430.2155938335,4191913.2446098104,4181704.5695923986,4461698.808445389
5473830.600516338,5399738.997370369,3146891.6146297907,4471398.223852416,4398992.384470434,4622964.859092228
5312980.1973428745,5501012.114915665,2797149.5715108765,4276857.054563449,4160917.784778674,4471999.734583216
5475774.744831129,5009799.312285056,2350011.59897971,3553507.907128962,3672510.373168372,4097273.390806214
5220646.520840175,5537212.080376932,2973024.435446892,4643789.057842183,4329741.600101273,4593668.023626545
5137871.780708249,5306743.113571218,2651357.867985916,3765918.6461969507,3899481.8760107867,4215472.852115584
5846880.984861051,5277242.173179889,3001485.1085117073,4165976.352878438,4283882.413571552,4572896.1548577715
5262141.9309979575,5555382.321998002,2981227.0720935604,4356233.640671823,4277934.201366109,4538746.241440336
5400144.502957803,5978234.086144269,2908399.1992573394,3821068.6817988902,4175398.6829322185,4526961.617539575
4531924.408553445,5735438.462896494,2905377.9831442395,4607166.009366994,4182989.6165718026,4444976.715990293
5075288.979506275,5879634.872940661,2854512.4141191207,4272871.228131755,4204026.01350943,4520576.873674453
