0,1,2,3,harmonic mean,ar mean
5855077.317300901,5660737.509071051,4961669.376752254,4717547.771696174,5256469.936243095,5298757.993705095
6672089.089937994,6166230.4081428945,4998837.235110962,6383121.714660614,5981206.377660133,6055069.611963116
4559972.158213178,4074093.7182733705,3946791.655192986,4149413.3655088823,4170484.2969347974,4182567.724297104
8081382.5175896,7471130.646088605,7295873.317780984,7055039.356528883,7457174.516189022,7475856.459497018
9622274.381697979,8206514.227779738,8554109.048224948,7803983.313834981,8495770.31298386,8546720.242884412
4677743.314340047,4433669.683106987,4068552.082752976,4209254.736642138,4335176.197168976,4347304.9542105375
4744099.491721229,4231275.517390014,3853024.028290471,4128475.750227864,4215495.879108606,4239218.696907394
7635965.282219226,6511234.604754909,6510777.4895938905,6756127.89352784,6824247.866923727,6853526.317523967
6499816.1356468145,5731117.072499199,5283084.644426213,5346814.408266552,5676599.840034581,5715208.065209694
9035849.146095976,7705988.56317464,7364395.256382293,7343338.50724732,7806312.783548857,7862392.868225058
5165615.136865728,5160032.82509554,4506568.457481762,4619132.225470084,4843939.120530185,4862837.161228278
8862107.996338667,7748791.498945331,7574674.893228358,6088999.635240889,7432985.013505737,7568643.50593831
6601556.278328186,5813007.29354891,5855022.873170594,5690727.650890339,5969922.863341288,5990078.523984507
11737872.247380106,9985567.764640527,8646448.681961892,9525121.19385904,9852731.053051323,9973752.471960392
5806894.720118879,5336706.559710939,4964317.4768876005,5058359.078880147,5272032.291080014,5291569.458899391
5589734.198413574,4997212.50066673,4818935.020263958,4692167.557250267,5002208.5106072435,5024512.319148633
6315127.371076232,5558471.137595646,5097091.697877194,5115320.343426006,5479924.932589788,5521502.63749377
6107978.177347685,5640322.630068934,5219700.181311723,5779452.900998399,5668743.332711258,5686863.472431686
5197278.8686770415,4400797.662190641,4510852.456147661,4539456.909311247,4642427.638419907,4662096.474081648
5357012.813932381,4985441.198301596,4580883.305576238,4228526.683742204,4750352.641515397,4787966.0003881045
6773562.612776732,5695731.142447118,5198025.878454896,5829407.139386315,5821334.726138018,5874181.693266265
8495140.134141749,7141505.734170761,6898521.684933151,7389434.295958986,7434560.009648962,7481150.462301162
29351084.933061812,24545499.85537472,22843425.077124234,25043626.10489465,25233799.24797888,25445908.992613856
6508695.870860543,5268731.279816751,4551230.084078662,5323569.32602644,5326200.931278348,5413056.6401956
4718383.931311442,4312147.319814164,4137565.825084673,4432020.922501011,4390014.623079041,4400029.499677822
7375226.555413324,6608902.935336269,6269147.652040697,6574879.002123729,6683314.026164297,6707039.036228505
9753864.098249247,8666322.447402863,8619469.066099059,7624112.097598249,8600450.607193189,8665941.927337354
5906683.029896225,5435486.917839366,5227767.72749409,5250612.534081846,5442057.529199531,5455137.5523278825
