Day,Strain,CFU1,CFU2,Dilution,Replicate
0.0,4537H,237.0,,5e-05,1.0
0.0,7178A,270.0,,5e-05,1.0
0.0,11830,211.0,,5e-05,1.0
0.0,11832,353.0,,5e-05,1.0
0.0,11036,198.0,,5e-05,1.0
0.0,11319D,199.0,,5e-05,1.0
0.0,4537G,509.0,,5e-05,1.0
0.0,11833,281.0,,5e-05,1.0
0.0,11035,212.0,,5e-05,1.0
0.0,11319C,125.0,,5e-05,1.0
0.0,R,370.0,,5e-05,3.0
0.0,10950,163.0,,5e-05,2.0
0.0,10951,219.0,,5e-05,2.0
0.0,11342,196.0,,5e-05,2.0
0.0,11343,208.0,,5e-05,2.0
1.0,4537H,328.0,305.0,5e-05,1.0
1.0,7178A,158.0,99.0,5e-05,1.0
1.0,11830,186.0,184.0,5e-05,1.0
1.0,11832,261.0,269.0,5e-05,1.0
1.0,11036,231.0,,5e-05,1.0
1.0,11319D,138.0,128.0,5e-05,1.0
1.0,4537G,137.0,201.0,5e-05,1.0
1.0,11833,300.0,301.0,5e-05,1.0
1.0,11035,162.0,173.0,5e-05,1.0
1.0,11319C,123.0,117.0,5e-05,1.0
1.0,R,358.0,351.0,5e-05,3.0
1.0,10950,255.0,253.0,5e-05,2.0
1.0,10951,283.0,298.0,5e-05,2.0
1.0,11342,280.0,238.0,5e-05,2.0
1.0,11343,173.0,200.0,5e-05,2.0
2.0,4537H,251.0,191.0,5e-05,1.0
2.0,7178A,194.0,232.0,5e-05,1.0
2.0,11830,245.0,333.0,5e-05,1.0
2.0,11832,280.0,245.0,5e-05,1.0
2.0,11036,203.0,170.0,5e-05,1.0
2.0,11319D,140.0,140.0,5e-05,1.0
2.0,4537G,167.0,186.0,5e-05,1.0
2.0,11833,286.0,263.0,5e-05,1.0
2.0,11035,182.0,181.0,5e-05,1.0
2.0,11319C,133.0,141.0,5e-05,1.0
2.0,R,384.0,392.0,5e-05,3.0
2.0,10950,301.0,290.0,5e-05,2.0
2.0,10951,203.0,266.0,5e-05,2.0
2.0,11342,155.0,198.0,5e-05,2.0
2.0,11343,137.0,196.0,5e-05,2.0
3.0,4537H,246.0,203.0,5e-05,1.0
3.0,7178A,344.0,,5e-05,1.0
3.0,11830,165.0,,5e-05,1.0
3.0,11832,334.0,283.0,5e-05,1.0
3.0,11036,215.0,,5e-05,1.0
3.0,11319D,171.0,,5e-05,1.0
3.0,4537G,199.0,219.0,5e-05,1.0
3.0,11833,285.0,300.0,5e-05,1.0
3.0,11035,202.0,166.0,5e-05,1.0
3.0,11319C,154.0,161.0,5e-05,1.0
3.0,R,400.0,398.0,5e-05,3.0
3.0,10950,226.0,262.0,5e-05,2.0
3.0,10951,298.0,282.0,5e-05,2.0
3.0,11342,196.0,223.0,5e-05,2.0
3.0,11343,201.0,188.0,5e-05,2.0
,,,,,
,,,,,
,,,,,
,,,,,
