,super bc,0,1,2,3,4
0,0,11878,42458,41295,43317,48000
1,1,15328,82223,121356,156499,253848
2,2,10040,60096,82101,103622,161554
3,3,7632,53391,72618,86664,126108
4,4,4771,27004,33746,38666,58541
5,5,4632,29141,43057,54845,87474
6,6,19331,59947,60057,58285,66871
7,7,6195,34148,46915,57583,88529
8,8,5244,32418,47941,60975,95780
9,9,4142,31528,45112,58167,87424
10,10,5894,34173,45144,53024,81166
11,11,5488,32421,44012,55263,85443
12,12,4290,29424,43031,53534,80832
13,13,2877,21452,29954,37523,57194
14,14,3830,26375,35787,45036,68340
15,15,9761,38018,38834,37642,42336
16,16,5427,24230,31633,39147,57686
17,17,2302,20453,28868,36345,53756
18,18,9278,38423,36747,36140,42450
19,19,2395,17523,25037,32185,48175
20,20,2504,17891,23467,27277,42362
21,21,2311,10102,13616,16594,23871
22,22,2343,19220,25658,28753,39369
23,23,1570,15093,21399,26339,40108
24,24,3442,18106,25824,32172,50800
25,25,3641,16564,22328,26567,38174
26,26,2113,16896,22944,27655,39868
27,27,2536,15711,23006,29774,45335
28,28,5708,21909,22306,20599,23755
29,29,2505,15022,20476,25683,39482
30,30,2697,19242,23663,26207,34566
31,31,2269,15240,21059,25721,37558
32,32,2962,17706,23222,27568,40989
33,33,2993,18027,23022,25874,33989
34,34,2370,11931,15677,19205,29027
35,35,2827,17770,22572,27119,42147
36,36,9414,25620,23310,19594,20899
37,37,1911,14682,20311,25714,38325
38,38,9332,20212,19651,14257,11550
39,39,5042,21336,21406,21497,25269
40,40,1104,13002,20185,25807,32545
41,41,2695,13171,15545,15919,21504
42,42,3147,16827,19521,21122,28767
43,43,1645,12616,16897,20497,28783
44,44,3098,13925,17217,19684,26563
45,45,1541,12676,16566,20405,28484
46,46,2272,14650,18916,20774,30277
47,47,2064,13371,17474,20965,30845
48,48,3921,18480,18759,19201,21758
49,49,9708,17441,16436,10214,5959
50,50,1670,9182,10454,11542,14957
51,51,6296,22871,23097,18198,14680
52,52,1464,10799,13842,16597,21552
53,53,4484,12009,11430,8155,6209
54,54,96,766,777,1348,1623
55,55,1175,9192,12219,15009,21427
56,56,4749,15529,14776,12500,13039
57,57,3316,13208,13154,11134,10460
58,58,4301,12905,12418,9924,8360
59,59,1223,7776,10946,13488,20914
60,60,1282,7193,9684,12068,17947
61,61,3096,14711,14956,11764,9531
62,62,1148,9618,12514,14436,18476
63,63,4915,18252,18620,15546,16477
64,64,1016,6978,10045,12810,19459
65,65,3823,9967,9612,6982,6087
66,66,9486,19971,18876,11923,6938
67,67,1307,7317,9888,11631,18021
68,68,870,7978,10791,12828,18358
69,69,1393,10221,13212,15244,22663
70,70,7327,19609,17753,10763,5818
71,71,1070,7398,10169,12800,20111
72,72,2942,13303,13385,11617,12535
73,73,1043,6573,9613,12116,18366
74,74,800,6902,10506,12853,19512
75,75,936,5167,6870,9006,13239
76,76,916,6970,8080,9573,12942
77,77,1323,10124,12110,14397,19343
78,78,6983,16606,15551,10740,8073
79,79,1474,7266,9564,10179,15570
80,80,1490,9985,13176,14299,19269
81,81,4259,14743,15139,13079,12999
82,82,1312,10384,13951,15940,20761
83,83,2845,11674,11375,9971,10871
84,84,4111,13428,12671,10249,8835
85,85,5389,11019,9769,5957,3963
86,86,1776,11961,13044,9890,7491
87,87,982,7007,8754,9740,13115
88,88,3482,13464,12706,9461,7395
89,89,1135,5950,7691,8902,13443
90,90,5208,11725,11156,6780,4140
91,91,772,7039,10380,13036,20301
92,92,4331,10100,9224,7050,5230
93,93,1020,5625,7685,9872,15139
94,94,1096,8733,11368,13244,17446
95,95,666,5182,7443,9116,14170
96,96,5292,12139,11037,7960,6163
97,97,4179,12095,11472,8285,5905
98,98,1432,7458,9089,10310,13523
99,99,5349,12711,11802,7420,4152
100,100,871,5679,7488,9547,14400
101,101,943,5596,7320,9083,13589
102,102,5328,17066,15670,9938,5890
103,103,352,2878,5522,15439,15184
104,104,5976,14970,14220,9073,5571
105,105,4586,12896,12125,8976,6873
106,106,1113,10136,12118,14253,19880
107,107,4512,13824,12756,9342,7132
108,108,5071,14099,12709,10901,11766
109,109,1149,7263,9416,11515,16870
110,110,1568,4805,4870,3828,3570
111,111,4164,12655,12463,9415,8226
112,112,3119,10160,9963,7607,5757
113,114,497,4651,6066,6963,9765
114,115,5485,11617,11138,7097,4151
115,116,3451,9437,8941,6578,4923
116,117,2977,8921,7429,6091,5911
117,118,1427,6511,6702,6759,7978
118,119,3142,10650,10344,9222,8998
119,120,6039,13624,13086,8061,4566
120,121,1348,6786,7507,6763,7788
121,122,3056,9055,8872,5578,3362
122,123,589,4932,7489,10113,16826
123,124,3577,8821,8959,6955,6532
124,125,3445,12593,11215,9616,9607
125,126,4260,11767,11027,8490,6105
126,127,6643,10958,10524,6429,3989
127,128,4121,12080,11314,8425,6405
128,129,7921,12998,11795,7619,4336
129,130,5846,12442,11519,8141,6103
130,131,182,1674,2591,3122,4821
131,132,3965,11089,10448,7301,5517
132,133,998,7092,8968,10972,16109
133,134,1172,5088,6169,6756,9201
134,135,2821,10143,9785,7304,5718
135,136,679,5141,6958,8090,11853
136,137,4500,9350,8847,5740,3399
137,138,7596,16679,15084,9570,5780
138,139,2598,7763,7514,5237,3715
139,140,3783,9778,9742,7377,6566
140,141,4274,9324,8984,5386,2867
141,142,4250,9613,9096,5550,3027
142,143,6373,11206,10554,6753,3865
143,144,2074,10269,10594,8971,8667
144,145,3706,8246,7860,5594,4546
145,146,2724,8557,8771,6973,6254
146,147,1785,8915,9223,7201,5582
147,148,780,6142,8191,9012,13678
148,149,3659,11219,10509,7552,5785
149,150,2150,10087,9358,7045,5233
150,151,4205,12829,12568,9605,8412
151,152,1296,5822,7454,8777,13677
152,153,3338,10119,9269,6565,5234
153,154,3795,12077,11001,6567,3791
154,155,4755,12602,12161,7636,4176
155,156,3180,9506,8562,6662,4812
156,157,1911,7292,8204,7546,7879
157,158,3010,11785,11493,7306,4410
158,159,3888,9336,8554,6353,4879
159,160,3384,10684,10236,7197,5367
160,161,3045,7812,7112,4920,3729
161,162,2849,7574,7350,5455,4235
162,163,1101,3758,4093,3356,3377
163,164,4652,11723,11483,7384,4235
164,165,2135,8416,8391,7199,6807
165,166,893,4572,6477,7880,12208
166,167,888,5000,6288,7373,10095
167,168,1243,8044,8733,7998,8306
168,169,4047,11292,9827,7387,5211
169,170,1522,6663,6875,6858,8634
170,171,5203,11838,11038,8126,6557
171,172,2636,8054,7570,5057,2771
172,173,525,3255,4561,5639,9084
173,174,2146,6484,6361,4516,2763
174,175,479,5088,7045,8756,11764
175,176,1049,5497,7183,8064,11073
176,177,1964,6051,6682,5770,7090
177,178,651,4566,5839,6505,8329
178,179,450,2677,3958,5239,8062
179,180,2690,11397,10121,7154,6808
180,181,3237,7996,7633,4758,2619
181,182,2176,7162,6613,5083,3657
182,183,1119,4658,5990,6765,10467
183,184,3480,9620,9408,6836,5224
184,185,2293,8027,7391,5175,3772
185,186,3374,8238,8052,5114,3038
186,187,5155,11366,10770,7923,5970
187,188,463,4517,6548,8206,11332
