0,1,2,3,harmonic mean,ar mean
2477622.5008191313,2379649.798713449,2411443.769993954,3194020.0137266912,2577955.6971789445,2615684.0208133063
2279059.854965748,2359271.9107330027,2577375.4156377325,3466473.2466662563,2598910.931800518,2670545.107000685
2641468.7617454045,2488891.733044034,2525126.259705533,3318387.2847289895,2706847.989523214,2743468.50980599
2528272.9965910735,2843120.5926010534,2039132.531198121,2818609.369843875,2511864.470694053,2557283.8725585304
2261347.026912971,2700839.234856925,2668499.623019175,2942725.232314968,2619458.672475966,2643352.77927601
2936069.2987012817,2534157.0443797237,2506194.9566489244,3426324.579744842,2804913.093864968,2850686.4698686926
2604522.852746897,2668897.458599854,2390232.0057458766,3122494.0490812087,2671546.17975968,2696536.591543459
2712389.074117537,2475770.4089949215,2109277.585286213,2848677.3173962086,2503552.814697192,2536528.59644872
2381604.6612614943,2751987.155739911,2415887.003216541,2982642.3499100385,2610184.7274068133,2633030.292531996
2499416.777689058,2825015.1084250687,2488450.3116077534,2998413.4646084616,2685573.1364845294,2702823.915582585
2454737.5218037916,2547751.423680756,2651274.395578996,3270754.2350764493,2697607.355247902,2731129.394034998
2132533.1747021484,2719012.9757656115,2541757.0003125235,3281895.906837132,2606139.9952411577,2668799.7644043537
2384792.2558924244,2809511.932274439,2420089.1642271657,3475698.448785064,2709701.574411261,2772522.950294773
2331846.6649374533,2586085.1675511426,2288459.4696178776,3344018.012195433,2578073.461560582,2637602.3285754765
2080332.5286940897,2611249.088821509,2537028.452045141,3507967.5089570587,2592557.30745922,2684144.3946294496
2239696.1686677835,2735410.992629448,2436654.7269704677,3220279.143042139,2609270.1613434744,2658010.25782746
2353516.4674036815,2722650.681956693,2561321.3397107655,3304957.1582962936,2693268.0573796905,2735611.411841858
2237580.1422668635,2670395.8723320067,2412471.2786831222,3151364.9066176903,2575289.876016517,2617953.0499749207
2151123.8625922618,2726123.8100603973,2718277.877452994,3510377.7403441416,2694611.4431781685,2776475.8226124486
2280499.6583046075,2427240.051843531,2580737.207765482,3316788.2058096733,2598290.693276279,2651316.2809308236
2939398.0006353934,2564166.9608606673,2252264.819097905,3631286.020494618,2759423.8241602518,2846778.9502721457
2470931.90247351,2664853.4297295646,2384403.6407307843,3425831.326313272,2682308.459313235,2736505.0748117827
2800545.8786209575,2443851.281747844,2481418.734727716,3296543.1693165586,2716271.6213808456,2755589.766103269
2823975.5808629557,2617162.975879913,2107461.368812983,3112628.2606272544,2610999.6479271227,2665307.0465457765
2695644.9758142564,2849955.76742253,2673199.1282647913,3025443.6495679966,2804134.647026406,2811060.8802673933
2070614.8151101086,2389286.3282719813,2574580.3295066855,3136008.2234891015,2486367.0970878396,2542622.4240944693
2615391.385448923,2780034.9676771737,2496672.622342769,3129029.293414418,2735640.032820573,2755282.067220821
2504729.8718366143,2608327.074675116,2509770.9037369327,3146712.795771929,2668682.6889044917,2692385.161505148
2662890.1893686997,2546924.0501137567,2068547.6572566493,3504886.2363514537,2602626.0499994294,2695812.03327264
2668257.608382062,2588708.19906824,2232508.6555653256,2947494.199871302,2583533.2290242855,2609242.165721732
2438298.2253959686,2359690.778371286,2379941.179969511,3224942.839321898,2557270.206855637,2600718.255764666
2927292.629428156,2446424.32041164,2792201.685502012,3108981.7456470784,2796887.0089097894,2818725.0952472216
2974671.423403467,2398695.8261383343,2227937.402763256,3632006.2483505276,2707751.6368535403,2808327.725163896
2227332.2709679133,2607094.534783016,2727283.1234116363,3164424.5837957184,2639889.6837844052,2681533.628239571
2242395.073557784,2840469.570895695,2408772.4076874075,3383363.779049253,2651255.3049447746,2718750.2077975348
2247469.86382901,2766264.2107888106,2703795.5160646695,2901299.0211243033,2629906.1815136885,2654707.1529516983
2653393.471115677,2760139.303135101,2224786.3799780854,3519729.5339528546,2715969.607434379,2789512.1720454297
2642538.223496616,2579431.7998197274,2577779.359014664,3218663.7838726095,2730887.951317919,2754603.291550904
2321790.7043185234,2481663.752492298,2170946.505535485,3116079.918728279,2476470.2391838366,2522620.2202686463
2623882.619912476,2464561.3007229976,2930688.907375634,3346838.823126647,2803333.9700858598,2841492.9127844386
2367095.6645906474,2176216.1383685707,2707900.836717416,3245731.1730845906,2565157.3297130223,2624235.953190306
2635502.3230754347,2515395.763756535,2521049.56694833,3108510.4035260947,2674970.2299610167,2695114.5143265985
2442278.0546702454,2422763.262950752,2955817.525606825,3173480.0344076753,2710701.120110105,2748584.7194088744
2283732.1797896973,2422656.355921237,2658893.3451434844,3251233.4829853,2607015.264476753,2654128.84095993
2747932.4524251246,2613928.659685737,2796978.9927984457,3186552.6950884806,2821226.1564405668,2836348.199999447
1983927.2588940056,2840975.7720441376,2547594.8548036274,3364725.526440342,2587706.0415615337,2684305.853045528
2474513.253925276,2592518.184912562,2720742.4902145597,3269127.9292224715,2733577.463231962,2764225.4645687174
2298651.6605646415,2775135.285659788,2274696.568904377,3356584.5814509285,2609396.6833213973,2676267.0241449336
2210955.6055470034,2700754.749410492,2907065.0144280447,3142393.5883747996,2694004.902097499,2740292.239440085
2620363.5075035123,2575572.3869260675,2535980.0821066923,2966476.973567871,2664331.4331025416,2674598.237526036
3220652.7399685387,2522292.39089356,2837538.9385331916,3312330.238949565,2938408.4438695475,2973203.5770862135
2426722.1959561124,2604760.9149467447,2602454.479170971,3092021.319774967,2660181.9399462794,2681489.7274621986
2396056.9597971505,2549440.9244549023,2315506.2000852316,3309999.7518875366,2591376.730009059,2642750.959056205
2196577.1631367365,2603982.2795099453,2740791.1891157893,3197270.2283465527,2636946.6935000634,2684655.215027256
2220428.182150292,2668125.631370471,2626876.2211595536,3345510.856547257,2658254.4723952054,2715235.2228068933
2703780.8916589012,2689939.6158358287,2452609.3537809006,2959675.259647786,2689596.4910749,2701501.280230854
2374470.541059887,2670162.1901833117,2570966.700754455,3189826.7832645453,2670029.119371396,2701356.5538155497
2095757.1739590922,2702147.9410977513,2357023.568746267,3181857.7627773513,2522424.0690176296,2584196.6116451155
2231951.4350401005,2670191.4528061063,2429531.296236079,3024498.790850081,2556271.9773179768,2589043.2437330917
2800110.525704962,2570970.0727862497,2464424.963333209,3729740.8160337457,2816948.3847620278,2891311.594464542
2315348.786279321,2432742.6511382977,2383689.1016742606,3404309.774970487,2570327.1121702683,2634022.5785155916
3060888.117352385,2631434.5781760244,2572837.845302048,3015711.192068152,2803091.193976852,2820217.9332246524
2332648.1012674547,2963871.6368188886,2301773.1939833295,3290697.559314839,2658817.0259386017,2722247.622846128
2129946.3896416845,2652742.0558300596,2523032.7259881087,3554399.4736693376,2624407.2438280056,2715030.1612822977
2733996.6599918897,2609941.5169792385,2353860.7435410637,3408137.395168966,2726347.1114310795,2776484.0789202894
2533428.3367913193,2574091.976466831,2538347.0989838555,3160795.3712696247,2678197.619618646,2701665.695877908
2441777.9001429365,2382010.2248042123,2599689.463025704,2986494.569620751,2582555.9421607004,2602493.039398401
2570708.0907159327,2725276.031493701,2605804.6846523713,3493572.1215236615,2805183.286275385,2848840.232096417
2200861.7101437477,2578550.287313447,2546069.4910130086,2854677.4217019724,2523266.3566725906,2545039.727543044
2375599.697606107,2586619.485117165,2446652.377266181,2872183.5365401213,2556825.071020298,2570263.7741323938
2569635.0577737857,2635318.3796909456,2625124.9718311233,3324632.756532522,2757973.1211367217,2788677.7914570943
2135363.6353469267,2647195.1537008346,2505498.116653262,3186128.5224393043,2565672.556547387,2618546.357035082
3310623.106626545,2581435.372946066,2387003.000077682,3488910.830495384,2867389.473575506,2941993.077536419
2497953.0213996326,2661902.2909714873,2350936.298737988,3239449.4630772956,2648908.660905374,2687560.268546601
2551830.875078555,2546219.8941326067,2530248.851511754,3332050.2708558403,2702797.4462732933,2740087.472894689
2078254.0611424188,2671557.6022351305,2642560.6762304674,3274644.7027589395,2598610.672629352,2666754.2605917393
2176710.6733275326,2724219.158998577,2407777.0593394316,3435178.6303422092,2609411.0305936914,2685971.3805019376
2450942.468263419,2429252.1562990188,2237924.1769906613,3273844.64667704,2544610.900489175,2597990.8620575345
2469050.0508347494,2454485.6324175987,2586287.056260815,3234142.109918412,2652015.0033167005,2685991.2123578936
2852189.123152792,2749467.6150161135,2259061.3464402854,3605735.585336958,2788792.9072078406,2866613.4174865372
2666960.070394008,2271301.7403949625,2456401.885976041,3288332.1916486053,2620476.509006073,2670748.972103404
2952651.379114061,2464137.8169716434,2288406.160944365,3167962.315113867,2671750.4769671434,2718289.418035984
2368581.220529097,2550893.7332767365,2583457.9837937164,3031262.637741408,2612352.776970931,2633548.8938352396
2627299.5890722843,2349496.72865865,2424066.5511739897,3162694.7251926204,2605934.487131906,2640889.398524386
2687154.7108694655,2788280.391009157,2479604.794454045,3532801.120262931,2822593.501917093,2871960.2541488996
2057476.1647118225,2514898.400698344,2583547.1624132525,3414706.9706855933,2558234.413315869,2642657.1746272533
2708767.251592095,2490241.6842790516,2430628.7540754396,3441772.128285458,2716093.687573547,2767852.454558011
2478478.100375632,2614858.3402494895,2611447.953275713,3686998.462120805,2777669.8449993986,2847945.7140054097
2389494.5921269287,2536846.6217867327,2466625.3107461864,3673497.3264855915,2683985.414126158,2766615.9627863597
2456944.8631808474,2243102.5678835684,2464782.2303935806,3161587.63672979,2539952.2267576195,2581604.3245469467
2674795.737280545,2592232.7878384264,2288354.9989943886,3431643.970851887,2688120.0105514196,2746756.873741312
1975015.219640007,2355052.357184812,2374177.7169153458,3490894.8886784795,2441105.0133019458,2548785.045604661
2578359.4615089814,2537417.0089235418,2686735.4911778746,3135840.7687991126,2715476.9654921144,2734588.1826023776
2601512.9751828643,2462518.3746182984,2277343.5373618966,3539142.867953965,2645253.4546202733,2720129.438779256
2366744.7206983157,2802380.2681185068,2660457.301076018,3217292.5601913505,2728408.056677116,2761718.7125210473
2172562.786728689,2966021.668443229,2325533.757911635,3225292.685998004,2601632.7261789804,2672352.7247703895
2045104.043245256,2639504.6690588593,2488183.7717016093,3018869.9780730284,2498468.1431766003,2547915.6155196885
2546007.0823840024,2227104.7339179255,2454819.4238536945,3122700.8960079844,2548772.540357173,2587658.034040902
2402106.8274807404,2633011.1544490247,2195965.8330084695,3096809.466661476,2540669.7704904224,2581973.3203999274
2169981.7304496733,2693284.8097837525,2786892.471075949,3452237.058992725,2701576.3723461605,2775599.0175755247
2625866.235382136,2613142.26547008,2460759.932103367,3166146.253038919,2692283.45990354,2716478.6714986255
2501249.278237848,2913336.8169330093,2373988.765794304,3475096.4799923697,2754739.333242919,2815917.835239383
2662577.696917351,2966098.1316788318,2333092.555052204,3464330.21171913,2797220.5968354414,2856524.6488418793
2011596.964158981,2601436.5717734736,2752157.6431440725,3176236.564152071,2564579.71732977,2635356.93580715
2176715.383714027,3004661.8059541015,3034229.524469029,3486872.570313414,2839725.49818437,2925619.821112643
2732261.3836738477,2725073.8156882855,2795128.2959068897,3527523.820051405,2910763.1981521226,2944996.828830107
2736199.875364923,2459521.3086453895,2465811.6981464983,3401067.830580579,2718084.0585520887,2765650.178184347
2755764.2927162508,2206890.566691233,2597488.097151382,3419711.975807355,2678431.0833238554,2744963.733091555
2305841.911307593,2589568.9185732985,2830495.6635157713,3360504.2621912463,2719765.3055287083,2771602.6888969773
2583777.90367851,2789993.94798047,2367325.3691571094,3221731.28219702,2705877.2688576407,2740707.125753277
2186627.2658584244,2444496.751261981,2538916.891586193,2911004.5779772173,2494076.207464711,2520261.371670954
2564136.8784773727,2648522.779234447,2632034.36065347,3347898.202596864,2765882.8329260563,2798148.0552405384
2667428.9128692956,2513512.8522710595,2384900.1441680924,3174933.9497912773,2654254.7409416484,2685193.964774931
2309870.010497289,2671893.7052958715,2133520.4813688407,3195013.8186742617,2517484.315254732,2577574.503959066
2738280.4865179923,2677150.842041188,2695747.6306879222,3272948.698381337,2826428.4426722536,2846031.91440711
