0,1,2,3,harmonic mean,ar mean
1728200.6235986445,1659862.3336377216,1682039.3848129835,2227904.928084917,1798185.4144452515,1824501.8175335666
1490511.347171121,1542970.2499246043,1685610.5356590822,2267082.9366606628,1699694.8218343137,1746543.7673538676
1665745.3056938315,1569528.2036796918,1592378.1777412996,2092619.1223851338,1706974.3156060337,1730067.702374989
1871178.4330534127,2104197.5857109516,1509164.880398664,2086056.7949605694,1859034.4597490658,1892649.4235308992
1402027.2069924802,1674510.8308968507,1654460.3852463227,1824479.2989783052,1624055.1683114353,1638869.4305284899
1905662.747735358,1644800.6450398534,1626651.7856239458,2223864.1016265946,1820535.501657935,1850244.8200064376
1888638.5640713437,1935319.0387819267,1733248.1219614588,2264239.1756933206,1937239.727219213,1955361.2251270122
2074961.3036160942,1893949.450070541,1613584.6475040151,2179220.988791631,1915202.8230853728,1940429.0974955703
1604339.1860002305,1853842.875409996,1627433.0711781373,2009220.9582970268,1758319.383982046,1773709.0227213476
1850894.9725763085,2092010.5475448517,1842773.9672609875,2220417.3617175478,1988749.479949114,2001524.2122749237
1606763.2180540431,1667646.0273059967,1735407.6115863018,2140891.868697067,1765735.1291796595,1787677.181410852
1480086.4956743605,1887133.3092185655,1764108.6460349108,2277802.694721054,1808793.7193905702,1852282.7864122225
1528637.090178561,1800879.776576931,1551262.1901703114,2227901.2144396217,1736901.9543424512,1777170.0678413562
1617125.4781576244,1793438.7693732234,1587036.647690305,2319061.886980591,1787882.6862586455,1829165.695550436
1550248.7082177866,1945883.877190329,1890575.1971121999,2614111.9384622816,1931954.8973222075,2000204.9302456493
1526480.8783299269,1864338.8478474023,1660719.3867840946,2194804.1897408175,1778366.6657146742,1811585.8256755606
1480997.7578018524,1713282.9156295538,1611763.1695631733,2079711.0234234245,1694793.3058394513,1721438.716604501
1563246.3668661234,1865625.532986802,1685431.0110875492,2201646.165821204,1799181.3862950315,1828987.2691904197
1484042.4505219744,1880730.128962908,1875317.285353201,2421780.38867563,1858990.00930597,1915467.5633784283
1504168.637761121,1600955.4524620997,1702198.8826387017,2187682.3261547294,1713776.785004346,1748751.3247541632
1995075.1017954103,1740392.3045989994,1528693.107316754,2464684.3759914464,1872920.1576966282,1932211.2224256524
1712744.5164284646,1847162.6410610199,1652766.8190797095,2374640.0345870377,1859261.722453591,1896828.502789058
1962565.626389768,1712601.303260436,1738927.8106931997,2310150.445811107,1903507.9399181518,1931061.2965386277
1958699.2243997536,1815254.7513945757,1461727.5646856076,2158907.6765572866,1810979.889472022,1848647.3042593058
1788445.4634736334,1890824.091851237,1773553.6010125778,2007252.816528845,1860423.7328874336,1865018.9932165733
1488548.9118377983,1717639.388100804,1850845.806742855,2254451.960125116,1787429.9989506246,1827871.5167016434
1732582.377048942,1841651.5475944863,1653936.3900937375,2072845.0209027422,1812241.8454020247,1825253.833909977
1733919.59910256,1805635.6042628959,1737409.2943826558,2178337.492871035,1847417.2684674475,1863825.4976547863
1945711.364555784,1860977.6282744943,1511439.2252891501,2560938.114823614,1901677.7722904712,1969766.5832357605
1969258.755170081,1910548.7676982037,1647662.2055360014,2175344.2173932996,1906729.4756497946,1925703.4864493962
1724085.491491549,1668503.2999749896,1682822.066739751,2280310.547025688,1808208.862862705,1838930.3513079945
2051161.9325930632,1714216.1964102902,1956503.3395867667,2178471.9920685766,1959786.358482557,1975088.3651646741
2407375.017737357,1941243.1106052513,1803049.8435213035,2939350.2212560545,2191359.21820247,2272754.5482799914
1370282.5614619565,1603917.03728312,1677858.5543307557,1946793.4267178085,1624093.0215145259,1649712.89494841
1502044.614210814,1902658.488285177,1613490.7111109705,2266310.429488161,1775915.3142322176,1821126.0607737806
1463624.795633671,1801480.3915041713,1760798.7645686478,1889419.4112265527,1712679.6489701683,1728830.8407332606
2000689.4617096088,2081177.057510049,1677514.7423218992,2653916.904260202,2047872.5944979358,2103324.54145044
1904172.6063358986,1858699.0831221626,1857508.3595645558,2319319.868965188,1967836.0682297256,1984924.9794969512
1872370.6822002847,2001297.724468907,1750724.809962093,2512912.413839802,1997109.4993897504,2034326.4076177718
1601045.154932939,1503830.201706736,1788252.7366738622,2042179.7992957165,1710543.08466535,1733826.9731523134
1634067.9226899059,1502298.8034423818,1869334.6286324693,2240612.948158734,1770795.0598869538,1811578.5757308728
1930474.370766832,1842497.7325009413,1846639.076662757,2276947.211439596,1959384.1471093995,1974139.5978425315
1536850.1771072715,1524570.1211763083,1860004.7111912372,1996973.0078847788,1705760.5249163886,1729599.504339899
1422420.1013363388,1508948.873159876,1656088.8246492161,2025027.2344815482,1623776.618598022,1653121.2584067448
1601679.2392046708,1523572.845935817,1630266.8507383654,1857336.519262196,1644399.7231024257,1653213.8637852625
1060910.8592498703,1519220.0388978268,1362333.7419825557,1799296.740035624,1383783.3155080415,1435440.345041469
1470017.370668548,1540119.762765532,1616293.1095184104,1942068.7423159187,1623917.8952243323,1642124.7463171023
1559749.05288226,1883066.802894675,1543494.3361847214,2277608.961660268,1770604.9486440686,1815979.7884054808
1462920.6374243693,1787005.5145485345,1923514.6075621855,2079224.2140955022,1782539.3502760062,1813166.2434076478
1701155.8919111807,1672077.2245974923,1646373.6600252653,1925854.8546234732,1729700.1360489572,1736365.4077893528
2270755.215794741,1778368.8788617705,2000636.7854355702,2335393.4043205297,2071755.8950851883,2096288.5711031526
1631743.0099380459,1751457.3454707244,1749906.4837934952,2079094.254599821,1788722.7853703923,1803050.2734505215
1508919.8823954698,1605513.6269499897,1458192.9402105627,2084476.504586106,1631922.753213121,1664275.7385355318
1393873.5116923337,1652399.0075276915,1739213.310463803,2028879.4565498892,1673317.1087719344,1703591.3215584294
1397851.416812346,1679695.4857746004,1653727.2752422674,2106137.513646966,1673481.1827540935,1709352.9228690448
1710858.662160252,1702100.3834438417,1551926.0346709602,1872779.7325481693,1701883.2660097894,1709416.2032058057
1665098.8258437533,1872452.7640178802,1802891.8702856465,2236867.857323647,1872359.448034867,1894327.8293677317
1635348.680394842,2108523.89036942,1839218.508090378,2482848.1840442424,1968282.835397173,2016484.8157247207
1719315.163188424,2056899.8865081412,1871514.7343626986,2329829.650643886,1969145.5211961137,1994389.8586757875
1948337.707413034,1788900.077856311,1714765.1991141422,2595181.3701805584,1960053.6148430551,2011796.0886410116
1500533.2730355766,1576613.9919816877,1544823.324602555,2206268.0661051883,1665779.8502120133,1707059.6639312517
2284858.2541793305,1964284.4774996424,1920543.829804602,2251135.077546723,2092420.8289309607,2105205.4097575746
1465915.455779256,1862597.8084726164,1446512.6132506474,2067986.341306097,1670891.1088194798,1710753.0547021544
1377547.2811594582,1715666.4714179966,1631776.6911241114,2298815.291746149,1697340.8725083638,1755951.4338619288
1828203.6793762299,1745248.907623895,1574009.5571637629,2278996.685272508,1823088.4818966242,1856614.7073590988
1641932.1460064047,1668286.527611454,1645120.0292574125,2048532.9905202424,1735758.103416172,1750967.9233488785
1608743.6556457267,1569366.254241513,1712782.284599606,1967625.3893593487,1701494.016740013,1714629.3959615487
1657534.6600522832,1757196.5859229518,1680164.1531127833,2252576.595425567,1808718.983533403,1836867.9986283965
1700899.1217780735,1992789.4146813895,1967687.1751142975,2206189.647061216,1950064.154551651,1966891.3396587442
1637681.2974548833,1783153.2638589905,1686663.305968613,1980014.2529861082,1762613.7113475828,1771878.0300671489
1628776.1923502188,1670409.8985255351,1663948.755340721,2107335.3065315173,1748155.2274357148,1767617.538186998
1521056.3878808608,1885642.8159832982,1784709.569871338,2269534.3600708786,1827572.8624145968,1865235.783451594
2235958.249767326,1743472.9150614417,1612155.4397297683,2356371.8076316575,1936603.1536190736,1986989.603047548
1607691.6403128367,1713209.9858813933,1513071.143456221,2084921.4442340278,1704847.2383614648,1729723.5534711196
1770823.1643736828,1766929.4678395663,1755846.4871810873,2312250.338419268,1875585.2408610133,1901462.3644534012
1463853.3114352948,1881756.6705835175,1861332.1965276184,2306551.2448813273,1830375.2699843256,1878373.3558569397
1417026.0009897044,1773450.8439718694,1567448.8757179508,2236281.3289272897,1698711.4194501946,1748551.7624017035
1926463.0267733522,1909414.2446906774,1759028.716308216,2573271.6083261967,2000087.2647125642,2042044.3990246104
1652070.6586028163,1642325.4335846137,1730515.3287306577,2164002.8251924715,1774494.6772839674,1797228.5615276399
1768246.7907537261,1704563.434124386,1400530.5410965332,2235416.4123698715,1728943.5922103296,1777189.2945861293
1744246.3493236213,1485477.7215734657,1606536.9968033978,2150636.4059657836,1713845.1509125452,1746724.3684165669
2033660.9082494038,1697193.5076256327,1576157.0040503824,2181957.9394393093,1840188.2931519917,1872242.3398411819
1521595.2090766618,1638714.2014705848,1659633.7321771316,1947306.9646351822,1678195.9746219525,1691812.5268398903
2095558.4432404912,1873980.3133167117,1933457.8931987013,2522594.5538665466,2078517.4403993716,2106397.8009056128
1678669.8533289162,1741843.2277391138,1549013.0880008156,2206946.5201998516,1763278.6831009104,1794118.1723171743
1319785.8783825324,1613203.3273267003,1657238.669185678,2190393.31585961,1641001.5873789752,1695155.2976886302
1885093.6574142068,1733016.6708504707,1691530.6566642555,2395208.671207359,1890192.293331327,1926212.414034073
1544354.3248027544,1629333.656770589,1627208.6245294714,2297390.491227014,1730782.4657998313,1774571.7743324572
1558582.3740830256,1654694.8645526965,1608891.9997822943,2396091.7104253597,1750668.2678990343,1804565.237210844
1910665.8607814065,1744369.4251802089,1916760.6617662322,2458637.8204464978,1975217.3035737695,2007608.4420435864
1851314.2224774254,1794169.6860100238,1583845.8603283195,2375153.81124995,1860536.3908347092,1901120.89501643
1465984.4954827004,1748072.7274153435,1762268.8108463371,2591168.7825348815,1811946.5945168927,1891873.7040698156
1818217.6738327607,1789345.7139636201,1894642.7090171417,2211344.5364282066,1914910.7350043238,1928387.6583104322
1608518.8316321014,1522578.2906330428,1408084.4496594474,2188256.6050012656,1635563.6265460087,1681859.5442314642
1466907.9444874446,1736914.7770043311,1648950.9480205148,1994077.3396518012,1691066.8138988446,1711712.7522910228
1398463.0019848067,1909206.7634320075,1496929.3132388755,2076097.6481291803,1674652.2284828795,1720174.1816962177
1458280.7886550608,1882123.7790649983,1774222.9814175805,2152633.8021832737,1781556.3498077642,1816815.3378302285
1916400.6855282367,1676360.2380976279,1847762.9772797723,2350482.910756785,1918482.2687226639,1947751.7029156056
1598303.2255961655,1751941.3262732178,1461142.0416624034,2060541.3976583285,1690499.6242853692,1717981.9977975287
1401025.700601915,1738890.786313599,1799327.5805056079,2228900.260472193,1744244.1457843606,1792036.0819733285
1986860.3748826636,1977232.7894067478,1861932.77300876,2395662.98027012,2037114.9346287579,2055422.2293920727
1657605.2235245036,1930700.1375874833,1573268.2915720681,2302984.4036757406,1825595.8524249322,1866139.514089949
1809465.919443517,2015735.912312246,1585550.525027704,2354330.3390026456,1900968.1276152816,1941270.6739465282
1350430.1079503803,1746402.650749116,1847585.0825721284,2132278.76290672,1721659.8186550483,1769174.1510445864
1439305.062935386,1986766.3829983207,2006317.385061517,2305617.6208482957,1877705.8854197212,1934501.61296088
1577899.6701322128,1573748.8003723724,1614205.7427018015,2037169.1761636604,1680985.6910620804,1700755.8473425119
1962692.900091094,1764229.6725334271,1768741.8073828546,2439606.749458847,1949698.313928722,1983817.7823665554
1876966.0517064992,1503125.1709223278,1769163.2738514678,2329184.4306749157,1824293.9820804116,1869609.7317888027
1337244.2252717335,1501788.1604648186,1641510.6179359544,1948882.4869472282,1577293.9294221688,1607356.3726549337
1749472.4323833447,1889101.0297592247,1602912.721687788,2181429.7795202606,1832145.743076296,1855728.990837654
1553990.9839517672,1737253.518728627,1804355.9687246867,2068791.0276482417,1772488.6176095635,1791097.8747633307
1658838.871696555,1713431.35994238,1702764.3671213218,2165884.248834852,1789356.0973002552,1810229.7118987772
2015495.2829538658,1899197.1156025596,1802018.0285577928,2398963.424525181,2005540.947807804,2028918.4629098494
1558734.5463758511,1803033.5056786267,1439731.2682517946,2156042.7178513072,1698835.7588581764,1739385.5095393949
1616495.649328575,1580408.840534414,1591387.1271222702,1932127.6098113442,1668532.2424833402,1680104.8066991507
1362984.6357617998,1670161.5447764203,1617878.4431510523,2062363.724777346,1642439.053536485,1678347.0871166545
1522845.053312553,2108163.731862718,1926321.3616783274,2230498.367109759,1906153.7921047213,1946957.1284908394
1551191.1641799132,1746362.0831870527,1641797.6931727622,1957911.396642358,1711507.015841894,1724315.5842955215
1523389.3122157454,1589372.0452025137,1877449.5939097716,2326747.639519053,1779333.8927954047,1829239.647711771
1800930.022304375,2021633.5109827595,1807200.445621032,2133803.9010640746,1930588.7379172756,1940891.9699930602
1777793.7182054443,1948321.0201767907,1687641.959058076,2130999.8116580243,1871289.4904352238,1886189.1272745838
1898399.0380360724,1509991.5298009038,1585607.812738761,2139977.7001199857,1749029.500666466,1783494.0201739308
1315871.367852429,1535162.133195645,1749221.0190460943,2213197.2826199695,1642799.700209002,1703362.9506785346
1310119.6653035763,1797243.5141200207,1553016.3839863094,2008638.6712715186,1625055.4216154579,1667254.558670356
1600933.6501318514,1446274.264709437,1647391.299712184,2399813.058965483,1709557.512193485,1773603.068379739
2149417.636762661,2098418.241426885,1543684.6646682925,2474702.4462949405,2006338.6249613143,2066555.747288195
1428194.2928371076,1773148.4866469325,1726678.525123656,2226869.8230100987,1744925.9919366576,1788722.7819044488
1833029.0226288275,2155989.5090308245,1655948.5727750552,2498152.2368368125,1986542.567393206,2035779.8353178797
1587440.0680335416,1653997.3783401726,1571113.5657807637,2234367.2317034313,1725189.2916629354,1761729.5609644775
1465780.1595646425,2027986.2220143066,1607708.901891758,2570573.619325277,1829531.6308389434,1918012.2256989959
1667856.6557094129,1726343.2358777116,1576803.4772195106,2141943.3385991775,1754469.6933676577,1778236.6768514533
1301188.8096364809,1696412.9991960514,1691422.1112579242,2193566.4303592965,1663129.6424944403,1720647.5876124382
1312005.449683049,1612028.6329414053,1499718.638884215,1852325.106962384,1544889.4040756025,1569019.4571177633
1330029.7203234546,1481776.6811963948,1364482.4568753017,2029099.409711613,1508047.408634225,1551347.067026691
1804066.3073497384,1905760.1513709624,1553190.4415691763,2354892.312463325,1862620.3217997064,1904477.3031883005
1372515.9210296508,1782771.4166506408,1815884.535209067,2068163.932603222,1721370.473578648,1759833.9513731452
1633217.6077698146,1733062.7063872393,1527417.9624876927,2344609.3617848554,1761717.6659358756,1809576.9096074004
1334255.9871180195,1805551.9197522113,1642453.2333228355,2191352.765011597,1688823.2534409012,1743403.4763011658
