0,1,2,3,harmonic mean,ar mean
1797954.15585135,1151094.439427881,1290823.1326392847,1580685.0068541432,1412298.3498674573,1455139.1836931647
2024494.0261794892,1231070.9609527593,1706135.3484404527,1618563.7453993883,1593496.5473705654,1645066.0202430224
2345817.938154165,1300008.5091453386,1378207.061140754,1733521.7262429148,1601308.5683137472,1689388.8086707932
1952141.5744453506,1427301.54373021,1451845.7182053893,1770651.8529148903,1621781.888302,1650485.17232396
2045256.899765638,1475060.9416242915,1418371.4969757705,1873591.2108100313,1662757.4613647305,1703070.1372939327
2131382.930712674,1533415.1697932414,1331525.3144778525,1589532.5972667783,1599071.1307268855,1646464.0030626366
2214299.7930165054,1433696.7388113346,1567633.9030080857,1816155.0365860143,1711138.124504771,1757946.367855485
3070800.8335528066,1515550.9075451652,1684275.7765741022,2312867.41544881,1988501.7305314422,2145873.733280221
2119799.142189566,1401587.7832768958,1483554.6269283001,1834154.7602469663,1663556.9566933918,1709774.078160432
2019257.6019415185,1222418.1853862684,1465774.8272918933,1953204.1153779414,1595217.8803300487,1665163.6824994052
1785595.198906764,1235428.3323131776,1301092.8454244616,1676129.900612297,1462699.1562543479,1499561.569314175
2269072.2662683143,1343700.5296299113,1619701.9306368097,2182049.933858236,1769438.300169856,1853631.165098318
2683584.953669732,1442506.8050966905,1604263.6914562874,2082546.8318928645,1843833.1444542578,1953225.5705288937
1976009.1518701767,1527068.583781295,1398988.7844224903,1552354.0573531452,1587361.4791890152,1613605.1443567767
2160263.0717156497,1439121.2992843916,1300432.3065690948,1678015.618804073,1585607.6895889202,1644458.0740933022
2326584.968762385,1377121.1755990256,1522857.3497768778,1715359.380441607,1669730.9210885612,1735480.718644974
1495930.8085395952,1244644.8417975882,1334961.7810179254,1602512.0134207236,1405961.774840945,1419512.3611939582
2166957.1577793667,1278809.565830077,1542010.068853994,1797901.317347531,1633878.7376565689,1696419.5274527422
2172714.865556478,1426755.913922664,1555886.3906481669,1928691.7249989803,1722392.4977010554,1771012.2237815722
2320740.4345421875,1400692.9160367986,1519981.0753344244,2248105.7538964683,1779714.75510916,1872380.0449524699
1740371.590668119,1239528.6449076366,1310999.1801333646,1606587.0200951127,1445837.4668763084,1474371.6089510582
2167899.4376777974,1264193.1306221092,1270129.6089281873,1516656.763076106,1482052.029198165,1554719.73507605
2384843.4455579277,1315538.8847458065,1424294.2987493163,1811551.1958683496,1643672.5804625093,1734056.95623035
1836213.2050494023,1271581.3462387691,1407974.2855693137,1603275.1350342135,1500946.5720873575,1529760.9929729248
2159123.7215916356,1400504.1547051664,1607640.285314169,2007799.655294074,1741199.5859848696,1793766.9542262615
2167165.609963964,1536714.9656694953,1348987.5633641398,2042557.4477060142,1707176.572870736,1773856.3966759034
1706861.5829515303,1369295.2632101772,1438398.8089413992,1570954.5837086425,1510604.6003438344,1521377.5597029373
2871239.2222033143,1778180.0468279377,1966530.463331185,2157905.8904757234,2124747.705089528,2193463.9057095395
2389312.1277810223,1449916.0247274924,1555070.705759323,2011833.8585956914,1779088.6656919231,1851533.1792158824
2363173.047192726,1447136.3988176554,1842717.8799919728,2079859.6318758875,1871206.641427425,1933221.7394695606
2058179.284217336,1417811.0387604518,1384786.7572940986,1601855.9630557457,1576300.2448290489,1615658.2608319079
1600694.6653376648,1310505.9521764067,1413915.8584993747,1814549.988226659,1511630.4915647672,1534916.6160600265
2241101.91169506,1210412.661262872,1436408.4236657268,1650683.3015882864,1553781.7398784915,1634651.5745529863
2190256.606576209,1353890.827251873,1607321.093862019,1733895.1120535338,1670795.705750838,1721340.9099359089
1924650.5119510645,1344361.6036866102,1545354.6721163027,1608143.9415290079,1579555.584020667,1605627.6823207464
1971985.563444844,1300247.3401122962,1546613.3039074817,1729425.6148795648,1599367.776530031,1637067.9555860467
1943310.5020694456,1299503.8561564258,1390257.997445394,1803557.1142308235,1563806.5957111951,1609157.3674755222
1675505.2651224672,1458027.2735840508,1468140.114101536,1733823.5529102802,1574439.3095572672,1583874.0514295837
2073964.1121536777,1259413.9759532837,1386198.1426960833,1571011.3456115683,1518534.4287975125,1572646.8941036533
2547121.611169681,1538254.240345884,1773271.8990397821,2059234.6500178252,1911831.8205353192,1979470.6001432932
2254556.008857865,1296184.0745754007,1498788.1050397465,1910879.3828207243,1662809.87509704,1740101.892823434
2542140.0214510146,1492332.4430305762,1375684.6041654681,1767779.9918854833,1697754.3909833003,1794484.2651331357
2120228.01638174,1387497.8114267176,1685072.4697827485,2178913.5996366227,1781927.816275687,1842927.9743069573
1721033.8088595625,1328552.4969629655,1319594.4444032381,1689959.6571893636,1490710.8057733406,1514785.1018537823
2091097.4775872205,1347962.3902885844,1525819.291688084,1945854.240027824,1674076.5780701076,1727683.349897928
1996390.9011714116,1479643.2116685417,1619447.0826283786,1826993.5896664062,1708244.98708906,1730618.6962836843
2156439.6328358916,1309612.437021724,1568273.3041731277,1936905.8774430235,1679794.7338431503,1742807.812868442
