0,1,2,3,harmonic mean,ar mean
3026042.126163294,3893855.594108326,2575780.3472641637,2573994.602159377,2932524.238431923,3017418.1674237903
4757284.9293005755,6552146.537420712,4287215.226768955,4554047.17505098,4903990.789363864,5037673.467135306
6154488.377894423,8026005.131394905,5927592.340740828,5333844.443293974,6218300.05843895,6360482.573331033
4962532.16591228,7530424.704273827,4663711.1783663565,4932662.460131145,5322996.451089496,5522332.627170902
2498149.1568241864,3898687.980942911,2929507.501510801,2950917.859595776,2991717.089732924,3069315.624718419
3999952.63457271,4930679.674297042,3555402.640153538,3561863.513751861,3941551.6489673117,4011974.615693787
3612257.141156703,4798062.0313964905,3005762.6057275063,2814825.950916701,3409452.996351934,3557726.93229935
4602156.100620181,7207495.557569887,4503894.582998639,4550915.940738592,5013788.198797566,5216115.545481824
2601889.77006809,3597084.8511900925,2492826.9940199475,2677507.296655698,2783631.867242917,2842327.227983457
2530565.434654894,3382277.293643771,2478933.5111791384,2749504.5649734605,2743618.6650640294,2785320.201112816
3623842.219423123,4744674.412775992,3036667.3558378904,3543046.7790728076,3642111.0315809553,3737057.691777453
2394907.3643965474,3243228.908301722,2294710.567222566,2397596.9445746117,2533639.6575152855,2582610.9461238617
4059589.5436744634,4818177.9592287885,3469942.892847365,3582766.52451519,3917034.25128546,3982619.2300664517
3058217.3794243904,3454065.311664167,2514704.2702176664,2440918.1384177045,2809294.986617744,2866976.274930982
3486563.3037858955,4941771.600823156,3517038.329413728,4402632.895399667,3997445.9607196236,4087001.532355611
2446036.175680619,3248823.2583124354,2541837.470436467,2536270.1427335427,2659000.936007551,2693241.761790766
3920365.1094466606,4743179.255574259,3534027.6920770123,3038829.213957714,3710765.48823096,3809100.317763911
3006084.864670297,4043441.6342058564,3215117.5167292496,3084112.622240991,3291515.533092222,3337189.1594615984
9028368.04781317,12893442.951207245,8452324.99134723,9190876.364570852,9628462.042216871,9891253.088734623
2794830.4531577397,3423863.2344518253,2186904.613293533,2162137.495550403,2548348.884083992,2641933.9491133755
3640324.87992769,4865124.865923559,3588676.1346835075,3144034.799626947,3714150.5969197154,3809540.170040426
3427128.709959671,4539831.460675238,3046317.120644536,2898661.014533202,3374633.0759317223,3477984.5764531614
3672483.4525608798,4510665.096208945,3206211.5064568706,3633787.2321858904,3699998.0116848834,3755786.821853146
3986120.7536447137,4020337.706516954,2833455.8471185626,3143173.127117052,3416813.0699180732,3495771.8585993205
3580274.8655667044,4349704.678308922,3409267.740992814,3725848.7310454343,3735098.6916260757,3766274.003978468
3113320.187261187,4267700.226851049,2963186.1407138575,2974807.3577079354,3254282.63173766,3329753.478133507
3389466.409424148,4788897.597145033,3209652.6902628853,3235225.175060459,3557118.47459523,3655810.467973131
3190053.2583472533,3946147.2719021635,2728113.2893543895,3122065.3915148852,3190452.6408666815,3246594.802779673
2510380.417464065,3457926.9810370696,2231103.877002358,2727367.788909845,2662408.3782031504,2731694.766103334
3173937.6993127908,3830799.119108743,2657743.4278860763,2857382.3766058558,3071399.5418052813,3129965.6557283667
3192600.032217967,4435160.496130719,2953658.045979759,2910016.6953583793,3276273.8057237403,3372858.817421706
2426247.4872917864,3224091.0759181376,2451798.2819695175,2586173.3362490837,2637027.1428983817,2672077.5453571314
5594964.874045293,7058153.858009354,4520320.1555563575,5076770.742155313,5415569.729374884,5562552.407441579
2223175.4706210634,3673009.8854563204,2686804.3452022164,2509910.7964747003,2679755.978067855,2773225.124438575
2769672.3771221824,3531196.568009174,2309020.8200134835,2502858.7457697485,2708429.210204471,2778187.1277286466
2572766.9772748533,4248462.042601657,2740365.894212313,2976484.700887113,3018987.6906188554,3134519.903743984
2957212.2195022907,3672463.720213754,2802464.1072918284,2419723.426571888,2897391.1533188447,2962965.86839494
2616301.686906222,3083963.980012011,2052332.6173805783,2172662.484855683,2418391.170385001,2481315.1922886237
2829207.538303237,3361241.570163916,2265269.0098116687,2492269.7776524913,2677995.794097987,2736996.973982828
3722169.28548473,4349498.320907793,3298710.4112985353,3217402.486200432,3595406.693204483,3646945.1259728726
3078025.7065527635,4658264.259015778,3841091.783806454,3550373.299891956,3698365.111011653,3781938.7623167383
2789227.0945972814,3753527.903639625,2685188.011086814,2385719.3693002183,2823836.764690213,2903415.5946559845
2806613.5079283253,3728707.8817756562,2735945.5673770285,2704319.909798564,2941665.7635402246,2993896.7167198937
3235708.825273317,4303403.613072695,3010453.3949250313,2967795.3689695797,3304278.1714439136,3379340.3005601554
3337894.08409979,5062402.024803983,3367780.2948583146,3484258.446195913,3700067.4271380473,3813083.7124895
3266529.129791328,4297566.580741779,2833835.191012209,3058658.03427789,3282335.1510874154,3364147.233955802
2736116.66708553,3739104.461188031,2167837.100332917,2849071.367489491,2767771.4359174357,2873032.399023992
4802138.111384132,6797900.436967565,4804471.435948894,4858641.868933456,5199511.141766499,5315787.963308511
2871680.546188368,3431520.7418017383,2591917.2717052824,2470651.3351514614,2796791.131418152,2841442.4737117128
3678524.2004088163,4018275.6178745558,2482835.0432883133,2342067.6402627733,2961976.4048007256,3130425.625458615
2835196.595877981,3317456.1481829546,2221388.4774764427,2278230.2788506914,2591930.761052781,2663067.8750970173
