,super bc,s,s std,pval tot,pval indiv,pval,stderr,corrected pval tot,corrected pval indiv,corrected pval
0,0,-0.024006480129602603,0.006006006006006037,1.7805643478412686e-16,3.909419128990251e-11,1.7805643478412686e-16,0.006006006006006037,4.425667770598238e-15,1.7361107108097122e-09,4.399166765983877e-15
1,1,0.027678553571071407,0.0036036036036036223,2.285186614424851e-59,6.302210511794925e-22,2.285186614424851e-59,0.0036036036036036223,4.714339985558467e-56,3.250365071458233e-19,4.714339985558467e-56
2,2,0.021846436928738555,0.004204204204204198,5.532137583125829e-26,4.751655193367241e-09,5.532137583125829e-26,0.004204204204204198,5.728288862008859e-24,1.0772158971336944e-07,5.588574499520837e-24
3,3,0.016086321726434538,0.004204204204204254,7.80622377736934e-13,2.2110021478292825e-13,2.2110021478292825e-13,0.004204204204204254,1.0423456085898349e-11,1.9831727960747e-11,3.223531753336968e-12
4,4,0.011682233644672857,0.006606606606606613,0.00035428115758266986,0.0007479098015395058,0.00035428115758266986,0.006606606606606613,0.0016498465645441262,0.004028558539362926,0.0016187863302171604
5,5,0.0270905418108362,0.005405405405405406,4.830223406717146e-21,7.910861254498397e-09,4.830223406717146e-21,0.005405405405405406,2.372559735251779e-19,1.6738571044133531e-07,2.344647267778229e-19
6,6,-0.02601052021040423,0.005405405405405406,2.3063304029947847e-26,1.1210738489648037e-11,2.3063304029947847e-26,0.005405405405405406,2.6433109007656896e-24,6.007208702375039e-10,2.5718700656098597e-24
7,7,0.019710394207884174,0.005405405405405406,8.976043442283863e-13,6.314638704371975e-05,8.976043442283863e-13,0.005405405405405406,1.1908410045936726e-11,0.00044385348031071163,1.1870242065020261e-11
8,8,0.026094521890437816,0.005405405405405406,1.2473703221300891e-21,9.82620464379523e-10,1.2473703221300891e-21,0.005405405405405406,6.862199932144997e-20,2.684961613264842e-08,6.771907827774668e-20
9,9,0.023514470289405787,0.005405405405405406,6.184153920867989e-17,1.8520086042387032e-10,6.184153920867989e-17,0.005405405405405406,1.6356294280449566e-15,6.619601149280157e-09,1.6252114062102751e-15
10,10,0.016074321486429732,0.005405405405405406,1.3547178622291943e-08,5.401827767783285e-05,1.3547178622291943e-08,0.005405405405405406,1.060638690618151e-07,0.00039033172276486575,1.0566287144721466e-07
