,super bc,s,s std,pval tot,pval indiv,pval,stderr,corrected pval tot,corrected pval indiv,corrected pval
0,0,0.035562711254225055,0.0012012012012012074,0.0,0.0,0.0,0.0012012012012012074,0.0,0.0,0.0
1,1,0.08178763575271503,0.0036036036036036223,5.222450414703591e-292,1.3956333613179503e-158,5.222450414703591e-292,0.0036036036036036223,4.974384020005171e-289,1.2511442603815037e-155,4.974384020005171e-289
2,2,0.10002800056001121,0.001801801801801839,0.0,0.0,0.0,0.001801801801801839,0.0,0.0,0.0
3,3,0.09622392447848954,0.002402402402402415,0.0,0.0,0.0,0.002402402402402415,0.0,0.0,0.0
4,4,0.07765955319106382,0.003003003003002991,0.0,2.383318173200429e-162,0.0,0.003003003003002991,0.0,2.270110559973409e-159,0.0
5,5,0.11694833896677931,0.0030030030030030463,0.0,0.0,0.0,0.0030030030030030463,0.0,0.0,0.0
6,6,0.08874777495549907,0.003003003003002991,0.0,2.962354758736032e-266,0.0,0.003003003003002991,0.0,7.524381087189521e-263,0.0
7,7,0.07961559231184623,0.003003003003002991,0.0,3.8033219714068554e-143,0.0,0.003003003003002991,0.0,3.0506645707494986e-140,0.0
8,8,0.06925938518770375,0.004204204204204198,8.988076876857955e-206,3.0356770230898315e-84,8.988076876857955e-206,0.004204204204204198,6.522775790634059e-203,1.7793737627649628e-81,6.522775790634059e-203
9,9,0.026322526450529016,0.007207207207207189,1.7959869052411954e-11,4.6442710116568654e-11,1.7959869052411954e-11,0.007207207207207189,2.300070624863514e-09,6.677234926193455e-09,2.2252715801525058e-09
10,10,0.09869597391947837,0.003603603603603567,0.0,2.6831449902877306e-244,0.0,0.003603603603603567,0.0,5.8415899502835735e-241,0.0
11,11,0.06051121022420447,0.00480480480480483,2.252770350048772e-99,2.449711754518388e-46,2.252770350048772e-99,0.00480480480480483,1.0728818792107277e-96,1.0090164091583847e-43,1.0728818792107277e-96
12,12,0.09641592831856638,0.0030030030030030463,0.0,4.4833595164538283e-234,0.0,0.0030030030030030463,0.0,8.540799878844543e-231,0.0
13,13,-0.0007860157203143925,0.009009009009009028,0.8562951329678119,0.003511409825709077,0.003511409825709077,0.009009009009009028,0.9994420519119565,0.100110092953713,0.08896827197713696
14,14,0.056011120222404454,0.005405405405405406,7.70228659142321e-80,1.0208149452037904e-28,7.70228659142321e-80,0.005405405405405406,2.7948297060307078e-77,2.8809666231306977e-26,2.7948297060307078e-77
15,15,0.11012020240404807,0.004204204204204198,0.0,1.3371260027118246e-293,0.0,0.004204204204204198,0.0,4.0755600562656417e-290,0.0
16,16,0.09883997679953599,0.004204204204204198,0.0,4.2226895333804223e-215,0.0,0.004204204204204198,0.0,6.435378848871763e-212,0.0
17,17,0.10808016160323203,0.004204204204204198,0.0,3.8446544837860635e-217,0.0,0.004204204204204198,0.0,6.5102815925444014e-214,0.0
18,18,0.08189563791275822,0.004804804804804774,3.691987810197133e-175,1.3716059567629267e-111,3.691987810197133e-175,0.004804804804804774,2.2506357690961723e-172,9.953940371936668e-109,2.2506357690961723e-172
19,19,0.09577991559831195,0.004204204204204254,0.0,2.9018814027382943e-207,0.0,0.004204204204204254,0.0,3.685389381477634e-204,0.0
20,20,0.08387567751355024,0.004204204204204198,9.274493837151369e-223,1.0245427075791151e-102,9.274493837151369e-223,0.004204204204204198,7.067164303909343e-220,7.097286756138961e-100,7.067164303909343e-220
21,21,0.10313606272125442,0.004204204204204198,8.33568e-318,4.006756722306181e-196,8.33568e-318,0.004204204204204198,9.07398085e-315,4.697151726765092e-193,9.07398085e-315
