,Day,Strain,CFU1,CFU2,Dilution,Replicate
0,0,8601A,222,265,5.00E-05,2
1,0,8601B,257,313,5.00E-05,2
2,0,1165A,459,455,5.00E-05,2
3,0,11829,478,522,5.00E-05,2
4,0,4537G,195,193,5.00E-05,2
5,0,7178B,250,253,5.00E-05,2
6,0,11831,238,263,5.00E-05,2
7,0,11833,395,339,5.00E-05,2
8,0,11035,221,200,5.00E-05,2
9,0,11319C,228,,5.00E-05,2
10,0,7178A,430,,5.00E-05,2
11,0,11830,347,,5.00E-05,2
12,0,11832,301,352,5.00E-05,2
13,0,11036,260,275,5.00E-05,2
14,0,11319D,192,200,5.00E-05,2
15,0,4537H,287,283,5.00E-05,2
16,1,8601A,247,293,5.00E-05,2
17,1,8601B,260,,5.00E-05,2
18,1,1165A,437,407,5.00E-05,2
19,1,11829,434,450,5.00E-05,2
20,1,4537G,243,211,5.00E-05,2
21,1,7178B,279,249,5.00E-05,2
22,1,11831,222,235,5.00E-05,2
23,1,11833,379,348,5.00E-05,2
24,1,11035,175,152,5.00E-05,2
25,1,11319C,100,145,5.00E-05,2
26,1,7178A,322,,5.00E-05,2
27,1,11830,265,,5.00E-05,2
28,1,11832,256,356,5.00E-05,2
29,1,11036,250,240,5.00E-05,2
30,1,11319D,173,182,5.00E-05,2
31,1,4537H,290,353,5.00E-05,2
32,2,8601A,278,,5.00E-05,2
33,2,8601B,248,,5.00E-05,2
34,2,1165A,424,,5.00E-05,2
35,2,11829,428,,5.00E-05,2
36,2,4537G,284,,5.00E-05,2
37,2,7178B,336,,5.00E-05,2
38,2,11831,185,,5.00E-05,2
39,2,11833,305,,5.00E-05,2
40,2,11035,193,,5.00E-05,2
41,2,11319C,152,,5.00E-05,2
42,2,7178A,284,,5.00E-05,2
43,2,11830,371,,5.00E-05,2
44,2,11832,288,,5.00E-05,2
45,2,11036,288,,5.00E-05,2
46,2,11319D,182,,5.00E-05,2
47,2,4537H,236,,5.00E-05,2
48,3,8601A,287,316,5.00E-05,2
49,3,8601B,280,243,5.00E-05,2
50,3,1165A,381,,5.00E-05,2
51,3,11829,398,417,5.00E-05,2
52,3,4537G,224,246,5.00E-05,2
53,3,7178B,330,,5.00E-05,2
54,3,11831,251,275,5.00E-05,2
55,3,11833,275,360,5.00E-05,2
56,3,11035,215,260,5.00E-05,2
57,3,11319C,170,210,5.00E-05,2
58,3,7178A,347,,5.00E-05,2
59,3,11830,287,,5.00E-05,2
60,3,11832,383,352,5.00E-05,2
61,3,11036,264,306,5.00E-05,2
62,3,11319D,225,257,5.00E-05,2
63,3,4537H,209,368,5.00E-05,2
