Strain,Replicate,Day,Primer
8601A,2,0,3
8601B,2,0,15
1165A,2,0,27
11829,2,0,39
4537G,2,0,51
7178B,2,0,63
11831,2,0,75
11833,2,0,87
11035,2,0,4
11319C,2,0,16
7178A,2,0,28
11830,2,0,40
11832,2,0,52
11036,2,0,64
11319D,2,0,76
4537H,2,0,88
8601A,2,1,5
8601B,2,1,17
1165A,2,1,29
11829,2,1,41
4537G,2,1,53
7178B,2,1,65
11831,2,1,77
11833,2,1,89
11035,2,1,6
11319C,2,1,18
7178A,2,1,30
11830,2,1,42
11832,2,1,54
11036,2,1,66
11319D,2,1,78
4537H,2,1,90
8601A,2,2,7
8601B,2,2,19
1165A,2,2,31
11829,2,2,43
4537G,2,2,55
7178B,2,2,67
11831,2,2,79
11833,2,2,91
11035,2,2,8
11319C,2,2,20
7178A,2,2,32
11830,2,2,44
11832,2,2,56
11036,2,2,68
11319D,2,2,80
4537H,2,2,92
8601A,2,3,9
8601B,2,3,21
1165A,2,3,33
11829,2,3,45
4537G,2,3,57
7178B,2,3,69
11831,2,3,81
11833,2,3,93
11035,2,3,10
11319C,2,3,22
7178A,2,3,34
11830,2,3,46
11832,2,3,58
11036,2,3,70
11319D,2,3,82
4537H,2,3,94
8601A,2,4,11
8601B,2,4,23
1165A,2,4,35
11829,2,4,47
4537G,2,4,59
7178B,2,4,71
11831,2,4,83
11833,2,4,95
11319C,2,4,12
11832,2,4,24
7178A,2,4,36
11035,2,4,48
11830,2,4,60
11036,2,4,72
11319D,2,4,84
4537H,2,4,96
