,super bc,0,1,2,3,4
0,0,59788,63949,52247,46307,32565
1,1,172812,255767,277352,386965,342788
2,2,99873,135552,136937,169464,153242
3,3,57227,99829,110185,165710,149103
4,4,9800,11355,8967,8496,5794
5,5,21963,23582,19120,16317,11301
6,6,33473,48908,52769,71447,60871
7,7,29417,46015,47237,63019,53550
8,8,24792,39356,41464,58062,51723
9,9,51565,49757,41372,33031,24398
10,10,5299,6268,5596,5577,3916
11,11,46041,46508,36588,29462,21723
12,12,30275,53536,47313,62005,52602
13,13,21469,33861,33326,38918,33096
14,14,11761,23299,24446,35391,29550
15,15,18247,20293,17039,15807,11895
16,16,12890,23669,23362,30366,23451
17,17,23811,23057,20451,16560,13050
18,18,36528,30657,23451,17199,11778
19,19,29621,25920,21916,16775,12665
20,20,20754,36286,31006,37383,26862
21,21,27106,21452,17841,13660,10043
22,22,17798,27217,25961,34647,27409
23,23,28721,27296,20042,14789,10753
24,24,13749,18428,15079,16332,11010
25,25,9926,15724,16606,21782,18911
26,26,24271,22882,19725,16362,12494
27,27,21361,20374,17079,14160,10365
28,28,23061,21814,18150,15422,11367
29,29,12887,14782,12349,11975,8532
30,30,21377,20482,15374,11383,8188
31,31,11800,17395,17123,22393,18061
32,32,23199,20270,16039,11427,7896
33,33,17370,15164,14063,11705,8860
34,34,4763,5950,5033,4463,3121
35,35,13884,19381,18486,20018,17593
36,36,19672,21127,17001,13270,9743
37,37,12953,18419,15394,17160,12112
38,38,5815,11288,11205,15459,12828
39,39,6637,13790,13956,20328,17060
40,40,20892,17064,14065,10557,7838
41,41,11851,15376,13128,14415,9993
42,42,13486,12125,9714,7382,5155
43,43,11722,16282,13564,14219,9399
44,44,15004,10541,7371,4074,2625
45,45,13961,17279,15049,16417,11257
46,46,21649,18733,13253,9485,6064
47,47,17388,17476,14603,12023,8868
48,48,10715,15580,12217,11919,8144
49,49,18317,16910,12860,9307,6434
50,50,20505,17725,13956,10601,7392
51,51,9585,11642,8567,8932,5557
52,52,18975,15932,12562,9086,6367
53,53,17444,14777,10997,7451,5094
54,54,15015,16669,13761,11342,8266
55,55,12447,14596,11436,10955,7574
56,56,11397,14194,11935,12729,8420
57,57,10017,12899,10683,12319,8285
58,58,21606,19222,14279,10209,7322
59,59,13660,16341,12346,11447,7578
60,60,19868,16340,13182,9752,6961
61,61,7938,9994,9581,10188,7498
62,62,8377,10668,9173,9544,6686
63,63,14926,16360,12843,10907,7987
64,64,606,752,692,594,437
65,65,10090,13261,11404,13113,9723
66,66,14669,13631,10616,7747,5667
