0,1,2,3,4
7.059122504011934e-05,7.438312557412218e-05,6.746953474230273e-05,6.202209174123064e-05,6.052481607347353e-05
3.8119261521664444e-05,4.1885643527175595e-05,4.740316449566959e-05,4.5526854576009726e-05,3.895161430471069e-05
2.6589361431778287e-05,1.781343460351146e-05,1.5704115845191154e-05,1.7814856138438588e-05,2.0674318361731057e-05
4.2825343191005736e-05,3.2016037868473304e-05,3.896947265288175e-05,3.0351236384006483e-05,4.01501255140864e-05
3.7413349271263254e-05,3.4904702939312996e-05,3.926028961297788e-05,4.222780714296554e-05,3.2359802653144267e-05
4.000169418940096e-05,3.105314951152674e-05,2.8790879049517114e-05,3.332037907374625e-05,3.385794166486391e-05
3.835456560513151e-05,3.971914472404583e-05,3.7224570892304955e-05,4.024837868313903e-05,4.7640820572684615e-05
4.117821460673628e-05,4.30892539733588e-05,4.682153057547732e-05,4.5196949832705305e-05,4.6741937165652826e-05
4.8943249361149414e-05,4.88665841150382e-05,5.729094113893809e-05,5.5094092131837856e-05,5.872704925940996e-05
4.329595135793987e-05,5.00701945612214e-05,6.0780744660091684e-05,5.179504469879367e-05,5.722891024769032e-05
2.1412671595502868e-05,1.781343460351146e-05,2.23929059274022e-05,2.507276049113579e-05,2.0674318361731057e-05
5.482585144782603e-05,4.958875038274812e-05,3.9551106573074016e-05,3.5629712276877176e-05,3.325868606017605e-05
4.2119430940604545e-05,3.394181458236643e-05,3.286231649086297e-05,3.299047433044183e-05,4.1049008921118184e-05
3.764865335473032e-05,3.6349035474732845e-05,3.8387838732689485e-05,4.420723560279205e-05,4.1049008921118184e-05
3.670743702086206e-05,3.4904702939312996e-05,4.711234753557346e-05,4.3877330859487635e-05,4.164826452580604e-05
4.000169418940096e-05,4.0922755170229036e-05,3.9841923533170145e-05,3.661942650679043e-05,3.565570847892748e-05
4.117821460673628e-05,3.9237700545572544e-05,4.943888321634252e-05,5.0805330468880416e-05,4.824007617737247e-05
4.259003910753867e-05,3.8034090099389337e-05,4.013274049326628e-05,4.189790239966112e-05,4.794044837502854e-05
4.447247177527519e-05,4.3329976062595445e-05,4.594907969518893e-05,4.6516568805922976e-05,3.385794166486391e-05
3.623682885392793e-05,4.429286441954201e-05,3.664293697211269e-05,4.9485711495662745e-05,4.6442309363308896e-05
5.529645961476015e-05,6.643929662931302e-05,5.612767329855356e-05,5.806323482157762e-05,7.011290574847924e-05
5.953193311716732e-05,6.0661966487633625e-05,6.688790082211047e-05,7.356875775688527e-05,6.292183849222496e-05
4.4707775858742254e-05,4.236708770564888e-05,4.536744577499666e-05,4.288761662957438e-05,5.423263222425104e-05
3.7413349271263254e-05,4.236708770564888e-05,4.449499489470827e-05,4.88259020090539e-05,4.3745659142213543e-05
3.6472132937395e-05,3.89969784563359e-05,3.3443950411055233e-05,3.79390454800081e-05,3.475682507189569e-05
4.447247177527519e-05,5.5125358435190876e-05,5.612767329855356e-05,5.0475425725575995e-05,4.794044837502854e-05
4.1648822773670414e-05,4.212636561641224e-05,4.682153057547732e-05,4.816609252244507e-05,5.303412101487532e-05
4.047230235633509e-05,3.995986681328247e-05,3.693375393220882e-05,3.727923599339927e-05,3.2359802653144267e-05
5.6708284115562545e-05,5.7773301416793926e-05,5.8163392019226494e-05,6.69706628907969e-05,5.573077123597068e-05
4.4707775858742254e-05,4.88665841150382e-05,5.758175809903423e-05,5.179504469879367e-05,4.8839331782060326e-05
5.247281061315538e-05,6.908723961091607e-05,6.863280258268726e-05,6.993980558053668e-05,7.520657838832603e-05
3.458970026965848e-05,4.044131099175575e-05,3.140823169038231e-05,3.3980188560355084e-05,3.865198650236676e-05
4.423716769180812e-05,5.849546768450385e-05,5.64184902586497e-05,6.268190122783947e-05,5.213523760784354e-05
4.023699827286803e-05,4.694080740114507e-05,5.438277153797677e-05,5.179504469879367e-05,4.5243798153933185e-05
3.600152477046087e-05,3.442325876083971e-05,3.198986561057457e-05,3.496990279026834e-05,2.8165013420329266e-05
3.341317985232316e-05,3.562686920702292e-05,3.896947265288175e-05,4.585675931931414e-05,4.01501255140864e-05
2.8707098182981867e-05,3.129387160076338e-05,2.7627611209132583e-05,2.6722284207657882e-05,3.0861663641424625e-05
4.423716769180812e-05,5.0310916650458044e-05,5.380113761778451e-05,4.3547426116183214e-05,5.153598200315568e-05
4.494307994220932e-05,4.4774308598015294e-05,4.1005191373554676e-05,3.463999804696392e-05,3.715384749064712e-05
4.235473502407161e-05,4.405214233030537e-05,5.089296801682318e-05,4.0908188169747865e-05,4.1348636723462114e-05
6.941470462278403e-05,8.040117780503822e-05,6.863280258268726e-05,6.466132968766598e-05,4.6142681560964967e-05
4.659020852647877e-05,5.849546768450385e-05,5.9617476819707153e-05,6.565104391757923e-05,5.363337661956318e-05
4.494307994220932e-05,5.103308291816797e-05,5.2637869777399976e-05,4.849599726574949e-05,6.112407167816139e-05
6.776757603851457e-05,6.28284652907634e-05,6.45613651413414e-05,5.938285379479529e-05,7.131141695785496e-05
4.3766559524874e-05,4.044131099175575e-05,4.9148066256246384e-05,4.816609252244507e-05,5.543114343362675e-05
4.494307994220932e-05,4.573719695496186e-05,4.9148066256246384e-05,5.77333300782732e-05,4.2846775735181755e-05
2.988361860031719e-05,3.707120174244277e-05,2.995414688990164e-05,3.991847393983461e-05,3.206017485080034e-05
4.000169418940096e-05,3.995986681328247e-05,3.373476737115136e-05,3.628952176348601e-05,3.655459188595926e-05
3.953108602246683e-05,4.549647486572522e-05,4.013274049326628e-05,4.0908188169747865e-05,3.985049771174247e-05
3.623682885392793e-05,4.670008531190843e-05,4.333172705432374e-05,4.420723560279205e-05,3.895161430471069e-05
3.9060477855532706e-05,3.562686920702292e-05,4.682153057547732e-05,3.9588569196530195e-05,3.895161430471069e-05
6.141436578490384e-05,6.57171303616031e-05,6.601544994182207e-05,6.66407581474925e-05,6.052481607347353e-05
2.7059969598712415e-05,3.105314951152674e-05,3.547966913172816e-05,3.5299807533572755e-05,3.655459188595926e-05
4.259003910753867e-05,4.525575277648858e-05,4.420417793461213e-05,3.628952176348601e-05,4.4344914746901396e-05
4.2119430940604545e-05,4.549647486572522e-05,3.809702177259335e-05,4.057828342644345e-05,3.955086990939854e-05
3.411909210272435e-05,4.3570698151832086e-05,4.013274049326628e-05,4.222780714296554e-05,4.5243798153933185e-05
4.329595135793987e-05,4.7903695758091635e-05,4.071437441345855e-05,4.5196949832705305e-05,3.835235870002283e-05
5.647298003209548e-05,6.475424200465653e-05,6.601544994182207e-05,6.367161545775272e-05,6.202295508519317e-05
5.600237186516135e-05,6.186557693381683e-05,6.223482946057234e-05,7.950704313636481e-05,7.430769498129424e-05
4.9649161611550604e-05,4.5015030687251936e-05,4.30409100942276e-05,3.991847393983461e-05,4.1049008921118184e-05
4.000169418940096e-05,3.7793368010152695e-05,3.3443950411055233e-05,3.1340950613919736e-05,3.625496408361533e-05
5.529645961476015e-05,5.536608052442752e-05,5.205623585720771e-05,5.4434282645229014e-05,5.692928244534639e-05
5.906132495023319e-05,5.247741545358782e-05,6.427054818124528e-05,6.0042663281404124e-05,6.382072189925674e-05
4.188412685713748e-05,5.5125358435190876e-05,4.2459276174035336e-05,4.981561623896716e-05,5.573077123597068e-05
3.106013901765251e-05,3.707120174244277e-05,4.711234753557346e-05,3.991847393983461e-05,3.955086990939854e-05
2.8001185932580674e-05,3.2256759957709945e-05,3.5770486091824295e-05,3.79390454800081e-05,3.745347529299105e-05
6.870879237238283e-05,8.90671730175573e-05,8.026548098653256e-05,7.950704313636481e-05,7.730397300473352e-05
3.670743702086206e-05,3.658975756396949e-05,4.711234753557346e-05,4.321752137287879e-05,5.303412101487532e-05
3.341317985232316e-05,3.346037040389315e-05,3.3443950411055233e-05,3.859885496661694e-05,3.385794166486391e-05
3.5530916603526736e-05,3.89969784563359e-05,3.111741473028617e-05,4.255771188626996e-05,3.835235870002283e-05
3.9766390105933896e-05,5.103308291816797e-05,4.216845921393921e-05,4.15679976563567e-05,3.925124210705462e-05
5.717889228249667e-05,5.271813754282446e-05,6.252564642066847e-05,6.730056763410133e-05,6.741625552738389e-05
4.9413857528083545e-05,4.1885643527175595e-05,4.5076628814900533e-05,4.849599726574949e-05,3.985049771174247e-05
3.835456560513151e-05,4.236708770564888e-05,3.664293697211269e-05,4.0908188169747865e-05,3.206017485080034e-05
3.106013901765251e-05,3.0812427422290096e-05,3.31531334509591e-05,3.8268950223312524e-05,3.565570847892748e-05
3.764865335473032e-05,3.9478422634809186e-05,3.926028961297788e-05,3.760914073670368e-05,4.2846775735181755e-05
4.447247177527519e-05,5.416247007824431e-05,5.758175809903423e-05,5.77333300782732e-05,6.501923310863246e-05
5.3178722863556574e-05,5.7532579327557285e-05,4.2459276174035336e-05,4.585675931931414e-05,5.303412101487532e-05
4.2119430940604545e-05,4.405214233030537e-05,4.943888321634252e-05,4.849599726574949e-05,5.183560980549961e-05
3.153074718458664e-05,3.755264592091605e-05,4.856643233605412e-05,4.0908188169747865e-05,4.3446031339869614e-05
4.353125544140693e-05,4.116347725946568e-05,4.7984798415861853e-05,4.420723560279205e-05,4.794044837502854e-05
5.459054736435896e-05,5.849546768450385e-05,5.729094113893809e-05,5.41043779019246e-05,6.202295508519317e-05
3.153074718458664e-05,4.1885643527175595e-05,3.140823169038231e-05,3.365028381705066e-05,3.80527308976789e-05
7.882686796146661e-05,8.040117780503822e-05,7.532159266489831e-05,6.66407581474925e-05,6.801551113207175e-05
5.647298003209548e-05,5.825474559526721e-05,6.107156162018781e-05,5.4764187388533435e-05,5.722891024769032e-05
3.7413349271263254e-05,4.718152949038171e-05,3.635212001201656e-05,4.717637829253181e-05,4.7341192770340685e-05
3.411909210272435e-05,4.3329976062595445e-05,4.362254401441987e-05,4.15679976563567e-05,3.325868606017605e-05
3.717804518779619e-05,3.731192383167941e-05,3.7224570892304955e-05,3.859885496661694e-05,4.074938111877426e-05
3.623682885392793e-05,3.827481218862598e-05,4.275009313413147e-05,4.255771188626996e-05,3.80527308976789e-05
4.070760643980216e-05,4.6459363222671785e-05,4.216845921393921e-05,4.3877330859487635e-05,4.8839331782060326e-05
3.57662206869938e-05,3.4663980850076354e-05,4.536744577499666e-05,4.453714034609647e-05,4.6142681560964967e-05
