0,1,2,3,4
2.9386789333949246e-05,3.312378072940458e-05,2.662435720271579e-05,3.167250800273165e-05,2.483330844592182e-05
2.3938676704621575e-05,2.5237166270022536e-05,2.464260893196348e-05,2.9416384145002816e-05,2.532023606250852e-05
1.8655658397394747e-05,1.6956221087671393e-05,1.723259365871572e-05,1.6487058960326062e-05,2.1424815129814904e-05
4.0365561753655004e-05,4.0064001453660774e-05,3.636077261989017e-05,3.505669378932489e-05,3.132567666707785e-05
2.889150636764673e-05,3.9906269164473134e-05,3.937647651016542e-05,4.217216134062351e-05,3.408493316106916e-05
4.771225908714231e-05,5.9622805312928247e-05,6.0141751868917866e-05,6.820435969903308e-05,6.573522823920482e-05
2.7983487596092117e-05,4.534803314144675e-05,4.2822995241908564e-05,4.720505302324936e-05,4.577119595915002e-05
4.226414645781465e-05,6.419704169936982e-05,6.246815201284449e-05,6.915887363884142e-05,6.427444538944471e-05
4.2924523746217997e-05,4.534803314144675e-05,3.8514846827229634e-05,4.05234554445909e-05,3.5545716010829274e-05
2.9304242172898826e-05,3.7540284826658525e-05,3.2138787173504815e-05,2.7680904254442177e-05,2.759256493991313e-05
5.10966926902095e-05,6.727282133852882e-05,6.824107088851426e-05,6.377888597810345e-05,5.372434703006616e-05
2.8726412045545893e-05,3.888100928475347e-05,4.661416584682602e-05,4.902730690833803e-05,4.836814324761243e-05
4.663914599348686e-05,4.944907266032541e-05,5.221475878590863e-05,5.0328916826258504e-05,4.268732105410091e-05
4.3254712390419675e-05,4.1010395188786625e-05,3.8514846827229634e-05,3.245347395348393e-05,3.132567666707785e-05
2.9304242172898826e-05,4.937020651573159e-05,4.135822478091773e-05,4.798601897400164e-05,5.1614327358190445e-05
2.9139147850797987e-05,3.7224820248283244e-05,4.058275806627552e-05,4.321344927495989e-05,3.5708025216358174e-05
2.9469336494999665e-05,4.1010395188786625e-05,4.058275806627552e-05,4.980827285909031e-05,5.1452018152661545e-05
2.9634430817100505e-05,3.911760771853493e-05,4.06689210345691e-05,4.3647319247600046e-05,3.343569633895356e-05
4.46580141282768e-05,5.5994962661612506e-05,5.876314437622061e-05,6.213018008207084e-05,5.3075110207950556e-05
2.5424525603529124e-05,4.4874836273883825e-05,4.221985446385352e-05,4.4862155170992495e-05,4.0577301382225194e-05
4.498820277247848e-05,6.37238448318069e-05,6.44499002835968e-05,7.09811275239301e-05,6.881910314425393e-05
2.6084902891932477e-05,3.493770205506245e-05,4.1616713685798464e-05,4.286635329684776e-05,4.463503152044771e-05
2.7158015985587924e-05,3.572636350100065e-05,3.532681700036723e-05,4.503570316004856e-05,3.424724236659806e-05
2.9221695011848407e-05,3.454337133209335e-05,4.101357290774342e-05,4.65108610670251e-05,3.798035409376278e-05
2.8974053528697148e-05,3.7855749405033806e-05,3.860100979552322e-05,4.599021709985691e-05,4.009037376563849e-05
3.1533015521260144e-05,4.3612977960382694e-05,4.2133691495559934e-05,4.7291827017777386e-05,4.317424867068761e-05
3.86320713715962e-05,4.566349771982203e-05,4.497706944924803e-05,5.787825435019728e-05,4.284963025962981e-05
2.8396223401344214e-05,3.659389109153268e-05,4.058275806627552e-05,4.156474337892728e-05,3.5058788394242565e-05
4.0035373109453325e-05,4.4322773261727083e-05,5.4368832993248094e-05,5.735761038302909e-05,5.891824160699098e-05
2.7323110307688764e-05,3.7224820248283244e-05,2.9467735156403883e-05,3.149896001367558e-05,3.197491348919345e-05
2.7240563146638344e-05,3.974853687528549e-05,3.929031354187184e-05,4.0783777428175e-05,3.376031475001136e-05
2.9386789333949246e-05,4.0694930610411343e-05,4.67003288151196e-05,5.449406856360404e-05,5.226356418030605e-05
2.4681601154075348e-05,2.8707276632150636e-05,3.144948342715619e-05,3.6618625690829464e-05,3.376031475001136e-05
2.5837261408781218e-05,3.485883591046863e-05,3.10186685856883e-05,3.870120155950223e-05,3.5545716010829274e-05
2.3030657933066963e-05,3.288718229562312e-05,3.70500763662388e-05,3.366830987687638e-05,3.830497250482058e-05
2.7983487596092117e-05,3.6436158802345034e-05,3.4206698412550704e-05,3.4969919794796856e-05,2.6456400501210828e-05
6.818395502764629e-05,6.806148278446702e-05,6.143419639332155e-05,6.343178999999132e-05,4.836814324761243e-05
2.7488204629789603e-05,3.919647386312875e-05,4.204752852726636e-05,3.635830370724537e-05,3.197491348919345e-05
2.7488204629789603e-05,3.272945000643548e-05,2.8692268441761674e-05,2.7941226238026274e-05,2.743025573438423e-05
2.8313676240293795e-05,3.7461418682064705e-05,4.2822995241908564e-05,5.284536266757143e-05,5.210125497477715e-05
4.176886349151213e-05,4.8581545069793386e-05,5.040533645174348e-05,5.267181467851537e-05,5.437358385218176e-05
3.896226001579788e-05,4.4480505550914724e-05,5.514429970789031e-05,4.824634095758574e-05,4.6420432781265624e-05
