0,1,2,3,harmonic mean,ar mean
5390732.9752820395,4329058.874600812,5447380.962858227,5697452.410939172,5157349.975829979,5216156.305920063
4586546.593816817,4063006.4028280387,5083313.723674417,4767143.025383431,4594303.232007915,4625002.436425676
4174844.3593703182,3657093.7959081163,5619876.2611143105,4166774.970514143,4296895.366562016,4404647.346726722
4403987.66589365,4122068.0003690287,4389848.50085921,4132552.859008691,4257841.755113121,4262114.256532645
4753349.941910069,4295478.054134367,5933284.9077070365,4979118.12033792,4922711.067871531,4990307.756022348
4028206.880180227,3625963.9685523706,5579225.254618002,4029530.583238724,4204143.253372146,4315731.671647331
4439716.347785906,3923232.6525794254,5304810.003478078,3975771.9808780067,4347055.422625744,4410882.746180355
5029498.447865769,4710916.827654592,5817943.859385505,5933788.420107309,5322629.049587788,5373036.888753293
4652066.135471116,4397767.221148422,5099080.472949211,5419928.183685223,4860477.285966131,4892210.503313492
4195173.374209923,3796481.1512791794,5009926.717348217,4635193.404928924,4361501.168646134,4409193.661941561
4784210.690956479,4505232.338500826,5297233.833548508,5160034.120083515,4916662.750125422,4936677.745772332
4351884.457828524,4107650.5380657003,5264336.850023936,5142357.741308313,4663882.945589832,4716557.396806618
5089711.261509635,4206592.641223719,5607671.666319014,5006260.706809659,4924447.241712976,4977559.068965506
5157964.316416131,4769928.299707198,5735159.59913833,5271209.481950594,5211084.497726689,5233565.424303063
5546283.137356583,4693866.857903733,5749437.594936196,6325183.623960302,5514403.36547171,5578692.8035392035
3906418.1892382447,4416964.108051968,5198550.314427555,4707851.796745014,4508763.204929241,4557446.102115695
5861631.392637914,4829872.722406174,5285143.751042726,5470507.2336240895,5335796.471904486,5361788.774927726
4463892.308769585,4474241.750273162,5304923.370725175,5143011.749135253,4816584.26287025,4846517.294725793
4439251.676646215,4236709.462598837,4506166.09986284,4194994.754714777,4340311.279619615,4344280.498455668
4630783.590232257,3897326.0226741247,5011178.995545243,4667839.328835071,4513052.500638997,4551781.984321674
4491264.803937803,4533766.962395406,4456512.697411002,4931067.842089315,4595545.488901039,4603153.0764583815
3749728.2146513895,3966466.2728244322,4712501.390605164,4040505.6083923886,4087911.0195656237,4117300.3716183435
3869385.8920507105,4036221.082740412,4728779.187381807,4112929.6525018443,4163187.782583714,4186828.9536686935
4811397.238350188,4351872.207763278,5093178.794255819,4733983.853251494,4732576.295639794,4747608.023405195
4565591.68489323,3928060.7586461827,4568186.602617123,4895062.626208844,4460298.676384821,4489225.418091345
4333929.827920821,4125231.567951461,4786689.549027165,4707345.388180269,4471798.391036545,4488299.083269929
4538712.847107208,3754141.318731302,4712206.4562678225,4486547.812547564,4339323.791909447,4372902.108663474
4993252.244085325,4829404.782259248,5218824.35102614,5319479.407956473,5082995.8754153615,5090240.196331795
5133112.405365181,4353183.36545505,5268737.328600631,5136112.805647054,4944197.945478846,4972786.476266979
5253675.208174518,4378860.4352608835,5629918.036259203,5326782.69721667,5101611.867482283,5147309.094227819
4757925.952556751,4213727.300626393,5178971.481533363,4898454.504574793,4735242.261636245,4762269.809822825
5042058.544067128,4334595.997393138,5320470.932164368,5648996.39079635,5037722.583870123,5086530.466105246
4252163.912105662,3996033.9560645972,5574825.39076225,4241251.598397021,4441583.20757745,4516068.714332382
4140851.7017544317,4042772.5931166783,4562910.766692926,4331500.418772742,4260411.508739873,4269508.8700841945
4912268.773537381,4371752.8483075,5414316.887711684,5147566.831954393,4930509.573660841,4961476.335377739
4696295.566178383,3588986.1869037817,5204469.079462097,4950125.182009778,4516091.458397974,4609969.003638509
4031346.749645495,4313895.474703945,4585357.945839162,4176822.4124489445,4267271.853175039,4276855.645659386
4332091.265736212,4055837.3955261097,4748926.305797521,4687794.320390288,4438095.715331987,4456162.321862533
4660914.646031598,4317363.35762185,6191616.457021624,5015467.165757855,4956230.6237324895,5046340.406608231
4124856.4588500527,3708820.9570069215,4567543.57636171,4281935.057539772,4147073.9899970912,4170789.012439614
5760486.448007702,4797693.681384221,5712436.268231757,5872221.175390243,5499189.600321373,5535709.39325348
4151630.500163024,4721204.545206489,5093573.580450007,5027467.983656804,4717466.929356371,4748469.152369081
5006300.140693195,4276932.258200079,4952149.957594488,4532162.935145121,4672141.490894582,4691886.322908221
3947800.1990286442,4136881.4958086475,5325230.855125303,4407119.315210345,4396935.660863862,4454257.966293235
5186911.641363736,4740811.584405164,5864251.439071979,5464899.591295357,5282354.908201386,5314218.564034059
4424393.368857807,4163017.445368936,4474479.285070531,4697293.441061566,4431601.12162101,4439795.88508971
4065494.8335079537,4456464.109792097,4436930.026209093,4065475.8689410845,4247545.281641545,4256091.209612557
3696321.429551309,3990299.580450533,5291190.622638406,4976825.10281573,4390433.886824883,4488659.183863995
4702131.534928023,4156217.945269733,4520337.99553259,4960514.0135115925,4565755.165096989,4584800.372310485
4018734.7766036834,4244282.317723815,5185735.267864511,4344234.371719323,4407847.199635083,4448246.683477833
4104041.7255790895,3757407.5703961765,4367006.6732764505,4438807.7525395835,4149038.8354956885,4166815.9304478257
4737543.231776512,4295184.176671128,5277508.13592719,5668738.13173032,4939563.071638261,4994743.419026288
3959927.2321528867,3828321.1250089654,3863545.888018513,4337790.828059049,3987627.6514594276,3997396.2683098535
4487926.250365395,4094205.6141667683,5471672.619613712,4853310.307136811,4673595.548196783,4726778.697820671
4742818.118489243,4278925.707988714,5102728.913028169,4158761.6037240117,4540406.463980323,4570808.585807534
4139691.1428491767,3926647.8769756663,4427455.360341528,4696565.688569234,4277988.039027634,4297590.017183901
4079952.7061575498,3831640.7489715526,4270496.242398538,4555457.4918259,4167676.347000024,4184386.797338385
4891501.30801245,4201401.971685025,5277212.698458458,4840299.635363385,4770168.777885346,4802603.90337983
4460292.680066798,4258277.912576156,4886234.0532416245,4640821.628307619,4549730.644880097,4561406.568548049
4139414.3352804794,3787240.5001768484,4611616.898490184,3783270.9455172503,4053548.2385015246,4080385.669866191
4529732.293559274,4235199.740457922,5129436.306973097,5235082.061493406,4745790.882793364,4782362.6006209245
4399272.464511987,3857007.7565032286,4759931.13150335,3956589.5372284753,4213148.898069293,4243200.22243676
4970582.480672185,4163792.8251475105,4551502.494553716,4749928.538897973,4589332.403114058,4608951.584817845
3885361.343974625,3869372.9026168897,4600811.862206903,4091726.175687509,4091800.7629582155,4111818.0711214817
4829424.201347221,4672684.321757097,5327468.9965758,4942511.200534189,4931535.093429194,4943022.180053577
4876399.350496533,4510651.60848053,5576393.362670264,4785883.51012538,4907722.468081052,4937331.957943177
4219200.5567925805,4307408.147901555,4437597.4943506345,4673036.8542572595,4402810.188598676,4409310.763325507
4200234.803405027,3984912.435377988,4840140.585282044,5186351.667741229,4502234.0871204,4552909.872951572
3850267.2741579683,3933196.665316822,4947668.523648151,4768203.987053388,4320558.095458089,4374834.112544082
4675890.834669307,4190019.8918438316,5791326.545151937,4899897.778505448,4823442.4497155445,4889283.7625426315
4256424.567986882,3879551.2804509597,5353001.9946192335,4472825.47761592,4429266.1902577905,4490450.830168249
3870797.9941500123,3934854.9476632765,4695573.848373547,4808736.642186255,4285385.323955052,4327490.858093273
5007082.11991377,4206025.443830569,4625809.745174489,4875789.829123847,4657962.283729485,4678676.784510668
4797429.1595292175,3595583.007669301,4555657.980914513,4588253.875838039,4328914.922835143,4384231.005987767
4824438.9227030985,4293535.022897287,5271041.080214095,4793414.463015627,4770299.911048699,4795607.372207527
5239033.992980147,4966306.200498848,5952090.171909218,5680319.609751199,5432668.458498284,5459437.493784853
4853514.5813305415,4735420.9540457055,5349285.311514177,5108336.874691383,5000562.445554794,5011639.430395452
4307324.633390307,3910911.68757715,4242410.82656252,4514325.084799363,4232402.869990006,4243743.058082336
3388439.8980621877,3634046.41843207,4975831.931161346,3747043.5122518893,3853026.6499314737,3936340.4399768733
4403053.79685069,3477779.8562949337,4367349.254662975,4056332.0734678693,4039772.1858991305,4076128.745319117
4757269.885639048,4656857.237583583,4825398.783031524,4949966.880383259,4795013.157585109,4797373.196659353
3350041.7356884885,3983466.2383723864,4769906.942005569,4381210.739022623,4050893.4075170676,4121156.4137722664
4508557.23312376,3878593.924841897,5361721.69819326,5168152.670953052,4653187.3125570575,4729256.3817779925
4601009.212268371,4205309.410802411,5155207.893043069,5025627.760141838,4716441.818504491,4746788.569063922
4191068.02248088,3807095.2471780553,4952082.047313282,5208607.496465275,4468298.836587242,4539713.203359373
5126382.960561772,4363063.743444636,5645008.785563044,5203237.424722511,5040311.542053512,5084423.228572991
4197008.999545225,4041943.30004537,4776438.643126068,4375693.454449451,4331034.504284251,4347771.099291528
4249181.595057879,3936228.772440541,4709030.048469142,4164414.3014511797,4246836.888551044,4264713.679354685
5677353.182206074,5136828.738345758,5654454.641148955,5583543.220633531,5503876.341343899,5513044.94558358
5104430.743008871,4160440.5143406717,5300129.0963120675,5365709.597586121,4930293.755715337,4982677.487811933
4186406.9614791297,4419378.290562766,4990607.857923448,4814355.89223367,4580678.975366111,4602687.250549753
4452751.779702898,3738519.046139859,4640934.62767264,4519599.329484715,4306640.498765215,4337951.195750028
5309203.188893725,4134543.9741336456,5324384.660887805,5145047.968790323,4923721.694109247,4978294.948176375
4293304.301873247,4076912.2063374487,4609966.278278129,4491427.307784109,4358379.988995395,4367902.5235682335
4888534.315859014,4072378.5658876514,4719572.53412367,4618979.904282121,4553222.7337116245,4574866.330038114
4690684.552477925,4071826.4828321286,5936546.524963876,5294589.2666062545,4901367.943916258,4998411.706720047
4879626.9244918525,4533533.758750625,4313907.182517782,5289645.157332198,4726069.90448666,4754178.255773114
