0,1,2,3,harmonic mean,ar mean
4248849.677222073,3554961.3525549723,3830357.540104497,5367112.71452161,4149175.374190026,4250320.321100788
3615304.820842424,3878981.4631698206,3151908.3375623347,5271778.778101969,3841134.9313600506,3979493.3499191375
3996939.2743177675,3366756.335212508,2351342.64199786,5201525.568601458,3434203.162591206,3729140.955032399
3788888.2473491253,3536014.787306044,2800030.2708076555,5394842.652626041,3672301.6995603917,3879943.9895222164
3741481.1227161973,3664062.396710518,2928472.3552068537,4764463.516500821,3664489.8100585244,3774619.8477835977
4268174.083757343,3865377.3731040047,2854745.6580292005,4470239.658010638,3748846.9962947555,3864634.193225296
3876327.616885716,3681021.722673917,3305108.432659805,4760524.503045447,3837804.197138236,3905745.5688162213
3548833.9933310742,3273844.4266459155,2557323.1439679563,5019159.341303258,3397014.857469704,3599790.2263120515
4086763.4699356183,3504858.431385621,3162140.2817250746,4650264.573851317,3768985.0699771577,3851006.689224408
4088199.6477952893,3750432.975028371,3125797.3947833073,5088683.699824612,3892280.4697059905,4013278.4293578947
4282103.854477715,4099157.6344955927,2112876.9891739655,5136188.7665473195,3492022.959229331,3907581.8111736476
3742180.974336003,3608855.9103530287,2444709.417317253,4883644.127592166,3453838.714595376,3669847.6073996127
4008835.0153180338,4017676.0118435575,2686969.7004343187,4800936.859677452,3707795.0613586064,3878604.3968183408
3844372.2832300137,3060594.8323213495,2467113.7930933116,5586198.595783326,3415303.7395577175,3739569.8761070007
4181552.0681167142,3920688.7848257874,3300513.7372527164,4922040.294294722,3998585.328751057,4081198.721122485
4059576.426600538,3598942.2841216554,3035435.5084512103,5123433.700500365,3813831.061699822,3954346.979918442
4107388.6915716147,3532812.870177933,2958142.825135479,4952489.953162962,3750611.2706341106,3887708.5850119973
4228345.48605666,3621299.4162333305,3129299.80114048,4511734.432229262,3795615.0474542123,3872669.783914933
4033190.014301243,3331780.3354018363,3140970.165809626,4605540.880317004,3691449.245830077,3777870.3489574273
4135182.3041247213,4169472.9791323957,2103863.7869251017,5115231.673539452,3470787.2628114047,3880937.685930418
3757564.783290699,3737912.525283518,2787581.6645633783,4744330.0197817115,3625912.400081906,3756847.248229827
4462520.825305809,4244564.672187141,2801725.366379545,5374383.544009353,3989329.4096762463,4220798.601970462
4257419.968428237,3686865.299877163,2986141.045223546,5038637.050058738,3848137.493283263,3992265.840896921
3367774.211404613,3579380.0393540305,3738219.4475489673,4834707.986205691,3807149.7087883116,3880020.421128325
4061338.018843092,3846758.9099959647,3138043.633435327,4705275.060694437,3855865.1122779036,3937853.9057422047
4083909.4787652525,4073275.153315072,3167369.0144932684,4751984.810034364,3934978.6874126433,4019134.614151989
4116196.7638553143,3867721.088118602,2997582.936438677,4242338.432479433,3735475.7892921553,3805959.8052230068
4069638.7878731946,4114671.298890861,2923357.9020784674,4921253.679437546,3868369.1891337507,4007230.4170700177
4302511.878333021,3693795.1761633055,2936975.8512378978,4673457.025337813,3782122.1946147224,3901684.9827680094
4293584.800729184,4316344.239294686,2850850.927647845,5354012.010496485,3991492.3933026707,4203697.99454205
3598889.8341344493,3542808.2152864537,3066969.7062363946,4956024.299732283,3676623.3281697524,3791173.013847395
3757529.745788236,4042425.7106454,2647092.4427854475,5384000.214699419,3713961.8102489486,3957762.028479626
3969173.4908118783,3732379.4705553767,2908162.107742643,5355374.62802897,3807872.630005633,3991272.424284717
3626257.7402897123,3627729.570216095,2827618.6829721914,5050661.214445878,3626245.599483799,3783066.801980969
3656470.0135281333,3955823.7143674726,2822169.89587401,5395545.372230104,3752503.5445790314,3957502.24899993
3958291.5278853313,3715216.328617024,3139435.3502628906,4981748.609482068,3842241.68797493,3948672.9540618286
4010436.6722229295,4007893.8395991647,2798245.4202972273,4455326.935843948,3701392.979943296,3817975.7169908173
3667507.962308459,3644898.5077921925,2866001.9536906425,4851990.546086654,3629632.756231148,3757599.742469487
3885442.2429128964,3711446.324814235,3298664.1591385896,5204236.322656298,3913465.9460307793,4024947.262380505
3883490.919920742,3682424.800020309,3013024.1050367914,5050709.922339456,3777344.751728469,3907412.436829325
3891828.84156578,3864394.3412461476,2477805.413505742,5056742.48547577,3580827.983674948,3822692.7704483597
3836469.5638669734,4196867.12598954,2474839.928818129,5028158.143141157,3630173.20039017,3884083.6904539494
3875742.7151839533,3353803.4633661406,2801029.9802421434,5174984.624907048,3615221.769343962,3801390.195924822
3882407.572628004,3908809.878603498,3399868.582406674,5195713.520597473,4000000.6348329745,4096699.888558912
3612580.0871387217,3837273.751245942,3186732.7827291675,4494137.217273402,3725347.640173275,3782680.959596808
4316949.480601333,3916301.9509046464,3171374.500163781,4854449.5356048485,3967052.627584693,4064768.8668186525
3974010.2281259936,3939881.2267591925,3059448.3928971915,4690745.428580091,3825950.69147661,3916021.319090617
4298332.580133449,3515096.0268065976,3169646.2230571224,4689563.432521484,3824575.547814797,3918159.565629663
3597253.47481636,3891439.732697116,3238242.951101194,5182941.303122116,3858343.8289196966,3977469.3654341963
3730918.573553475,3492568.7547122645,2763110.665784005,4577145.759720475,3525035.237319093,3640935.9384425553
3914429.2129571433,4251680.467605343,3586169.591697861,5173985.952103633,4154593.0419365806,4231566.306090996
4323161.426053372,3667298.4596004453,2986478.295111221,4606345.179200773,3788141.0500004124,3895820.839991453
4371183.116394877,4152367.090164525,2701121.6378746894,4961640.279887689,3841129.598909249,4046578.0310804453
