0,1,2,3,harmonic mean,ar mean
9534404.790888159,7581656.621517165,8573868.697254816,8424890.179730024,8472602.002145473,8528705.07234754
8151806.903476328,7203608.936902635,9251425.266197806,7994078.05565901,8086108.185371819,8150229.790558945
8808255.336286174,7100172.831891523,8449172.749809243,9204674.013205197,8309672.534420444,8390568.732798032
9265406.760066237,9114421.958000656,9495722.170377973,8898130.22839064,9188256.345243849,9193420.279208876
10137814.227284944,8340806.666781043,9373805.859241521,9002167.987925269,9168052.416510448,9213648.685308196
9411931.970641028,8234045.143520021,8866116.249594606,8610521.642150199,8759999.304074239,8780653.751476463
11355835.880874587,9144420.65742316,9398507.465963345,10118302.462439792,9934249.484087445,10004266.61667522
8952758.77033336,8073826.494811937,8151174.276672465,8115865.089910157,8308208.160310631,8323406.157931981
8660340.04626081,7988002.977604148,8270675.669153994,7722820.470901078,8145774.841873604,8160459.7909800075
8880290.279042564,8123400.242929488,9792352.581285242,8432606.44382867,8763898.273802513,8807162.38677149
8911616.853108566,7154120.131193154,9098429.655435381,8340782.469803131,8302293.472401084,8376237.277385059
9597053.888173081,8273686.57208643,8042894.544264456,9547258.574498635,8807872.013458813,8865223.39475565
9120956.678546216,8560793.428554336,8521110.424669309,9496584.26906109,8906586.466807902,8924861.200207738
9838950.161978863,7945122.175347642,10161110.308827411,9311282.319902923,9231238.949973041,9314116.24151421
10188067.48007795,8425553.615729552,8847237.578593642,8739954.353602422,9003183.11136795,9050203.257000891
9811332.444101399,8952740.983023355,10190750.630078824,9192277.94951069,9511676.42030024,9536775.501678567
9704115.856175559,7616803.663196937,9951470.046596691,9158068.576861154,9008629.165850593,9107614.535707586
10679916.559100464,9222998.490709879,10703003.154895466,8461783.948403845,9669580.547186885,9766925.538277414
9219695.19812884,8728155.495375417,8596538.374268256,8213298.8248547325,8674628.442416774,8689421.973156812
9901993.79339034,9116651.519884363,9654733.288005993,9759600.303527609,9598805.671005277,9608244.726202076
10544647.062268915,8853668.159869125,10264087.903800214,8695293.53058026,9518954.953800948,9589424.16412963
8282026.073259137,7964762.881688219,8446366.889962023,9200266.065076943,8449817.135804376,8473355.477496581
10480246.321334198,9500608.977876758,10377738.883678745,10518927.008908845,10201457.098196642,10219380.297949638
10406935.359246414,8545779.48327327,9136680.823955027,9660422.163271096,9388113.813140858,9437454.45743645
9049830.799671253,7503495.101597607,8939250.8056373,8194729.593750694,8374045.491639764,8421826.575164214
9166564.791996023,7429990.173104419,9098911.612188527,9321617.066070503,8679376.826538797,8754270.910839869
8895022.589348048,7623119.99535991,7634581.739917396,8264928.118882854,8071376.130040596,8104413.110877052
10483752.866039343,9391738.772071796,10413092.473095914,10850746.859048681,10254970.566834692,10284832.742563933
8779346.842107575,7359853.787140211,9804765.791779254,8717649.633312238,8574913.855312463,8665404.013584819
10385745.44383852,9641078.010018531,10597230.79593925,9534487.46145306,10018651.178198608,10039635.427812338
8108072.927230735,7346630.706295196,8302004.316088967,9513288.30225039,8247088.507771508,8317499.062966322
9992284.76412672,7856339.698272619,9535508.862098701,9108030.29026193,9049213.88475499,9123040.903689994
11025845.791127099,8969650.341406813,10121774.4428949,10505493.425531918,10096720.102500418,10155691.000240183
10632215.124659901,7647710.042047231,9051969.049606776,8363815.067325525,8794151.69044057,8923927.32090986
8539965.650201885,7300632.533081495,8437172.716798497,7790450.864748946,7984728.187106081,8017055.441207706
10717383.758112142,9076346.421457954,9855593.95516752,9963628.367925067,9868913.494517041,9903238.12566567
11628584.561640255,9256002.020686602,10130588.3807549,9735817.413242351,10114868.070535561,10187748.094081027
8725560.65526233,7705787.890645021,9804394.417468635,8793052.964912683,8693769.346467856,8757198.982072167
8231076.357251414,7149590.4619242195,8193171.6972973505,7727861.26092462,7800103.481854771,7825424.944349401
7140723.35862967,7032496.099062704,7913304.755316242,7292086.401129631,7329453.60134512,7344652.65353456
8867315.162585435,8088422.180436515,9390517.674799636,8304381.101248085,8633416.852905078,8662659.029767418
8146421.413711808,7873524.867756432,8683454.337039635,9766264.956725387,8559517.93146141,8617416.393808315
8260265.066279161,7798450.247416364,8701190.419113059,7731391.206297509,8104356.111083237,8122824.234776523
7979756.529720377,7127992.734269934,7824883.704271908,8662973.61408209,7861012.777194272,7898901.645586078
8561270.507915085,7464769.056005663,8584062.873753466,8505670.50986951,8250292.591943623,8278943.23688593
9122734.825469408,7644222.216679702,7884672.171568761,8878093.607194183,8335084.4437079355,8382430.705228013
10139681.098600833,8502396.676131817,9886084.854962312,9387132.173597224,9435800.18073232,9478823.700823046
9243187.19598099,7979933.304440015,9694169.787293108,8862063.945086436,8898827.160183689,8944838.558200138
10677697.303656556,8853290.074905682,9868496.79818829,10932858.265743747,10014885.753511777,10083085.610623568
10026352.768567199,7552082.799158846,10114965.054398242,8046035.041936195,8785431.616417496,8934858.91601512
11060290.941261109,8893379.308227198,10702069.55610171,9500447.828591736,9961280.532738535,10039046.908545438
10364106.347908594,8523364.687945064,9528023.460938321,9972563.128225803,9545625.903223494,9597014.406254446
7988824.580399938,7146572.404720493,7152905.658784436,7504386.066003474,7432722.584846148,7448172.177477085
10569812.76985626,8899215.34906333,8817582.398327416,9834481.021048993,9477071.069573894,9530272.884573998
10372516.52373639,9651437.05616305,10015517.168559015,9833984.732524035,9961315.70915536,9968363.870245622
10883545.262137884,9679452.363399064,10397164.976923378,9793338.270434627,10165604.118789954,10188375.21822374
8835120.692248832,8223529.001093061,7978416.851355862,8494529.517439794,8370864.229464496,8382899.015534386
11112116.961194085,9195547.126650395,9321964.426211929,9374788.596400602,9692675.799005494,9751104.277614253
8362562.880659893,7036148.396595119,8862447.443729667,7321910.203143062,7826015.076157104,7895767.231031935
8073810.284920336,7661304.725989574,8210529.87956557,8328163.862590468,8060410.625851965,8068452.188266487
8429636.257237144,7415580.315022868,8302181.421007686,7961781.8402360575,8007517.623724741,8027294.958375938
8156611.77811891,7007363.428502131,7700693.445074486,7540474.039991748,7578871.734291435,7601285.672921819
9050242.992897779,9173492.180893438,8750656.816766758,8366679.013472746,8824122.12419511,8835267.75100768
8037668.016881517,6982998.529699318,8591857.994671946,8497723.82492259,7973099.01887832,8027562.091543843
10023577.907591002,8114968.497304605,9531828.887246152,9834367.925077362,9311209.761106528,9376185.80430478
10626391.525382662,9073925.555911759,10826015.041399604,10941271.358880961,10307196.825872334,10366900.870393746
9485672.73379729,8159054.365578518,8702965.863198865,10777907.507982526,9181237.492456976,9281400.117639298
8136186.154458171,6514119.236458198,8268017.721604752,7479897.036916602,7532104.765993695,7599555.03735943
9825100.231352404,7404903.82574155,9212616.842985475,8451699.579810623,8626416.47748784,8723580.119972512
10187924.27090155,8691048.30556773,10380794.515025536,10039089.605207065,9776157.616951229,9824714.17417547
9344685.53978569,8521514.736071605,8741381.318062365,9136504.519426992,8924344.914759027,8936021.528336663
9399515.898051267,8695721.016042512,10139811.39001419,9976547.975800704,9518284.77923017,9552899.069977168
10296036.213954711,8833057.896469478,10561665.949252203,9980608.120032579,9871372.049548266,9917842.044927241
10643156.57943325,8026632.462236665,9121153.888796538,9689434.184812728,9272507.166290944,9370094.278819794
8961756.36809154,8893786.045467703,8326079.0613034,9088859.920392245,8807610.747336097,8817620.348813722
8835101.53243484,7947820.910580031,8609600.241473865,8257488.563821769,8398824.057024183,8412502.812077627
10771309.135143528,8022383.718538995,9852275.24540044,9342214.250040902,9388991.253167804,9497045.587280966
9470611.285391737,8328001.400710352,9211797.19507634,9707696.43916678,9148416.58658478,9179526.580086302
8675064.492662271,7371588.9627709,8809373.499356195,8294202.401647819,8247244.54838024,8287557.339109297
10352321.593577005,7872248.274070571,9338663.523800654,8637478.251000414,8958939.043975579,9050177.910612162
7335173.621241179,5905682.681701165,7144304.535682872,8371795.983435298,7078666.555898978,7189239.205515129
9589313.992502278,8113254.806857585,8868120.785576131,9103263.700283388,8885887.109021768,8918488.321304845
9174871.020521935,7213697.944749861,8747357.311170263,8926185.129042229,8439375.909379344,8515527.851371072
10806173.204938738,8722046.727391161,8982568.704815403,9391581.12202814,9411836.474067992,9475592.43979336
9863235.436025351,7447009.635000528,9420809.87840429,9027557.984790504,8838048.285188816,8939653.23355517
9718796.221079206,8066761.057572776,8340496.910576651,9247831.117315462,8793348.404739365,8843471.326636024
8544372.214818846,7196845.853200636,7739266.015321567,8650307.659179643,7987221.98560279,8032697.935630173
11541313.440603387,11208860.307511682,12576184.319386639,11009913.533733767,11553915.033988364,11584067.900308868
8551825.21741002,7746331.185536156,8382266.80058885,8491685.289339034,8280044.388990114,8293027.123218516
9295101.223882277,8249377.599464873,9200554.91962445,8650169.45139516,8828100.82502901,8848800.798591688
8928284.469252573,6766903.823750486,8378125.4423890915,8493474.2473486,8050272.927932125,8141696.995685186
8193226.247284102,6932626.381728781,8682526.181428408,8161844.245539077,7936622.859876488,7992555.763995091
11090068.05183822,8830077.543453425,9487603.634262394,11050751.925218962,10017221.260311227,10114625.28869325
11296744.947445093,9862227.568452293,9425512.345038233,10093189.259421937,10124280.991120508,10169418.53008939
9678445.519481396,7708702.807433505,8821586.284143157,8328639.815079761,8575009.045050485,8634343.606534455
9711462.890054094,7276344.548349837,8393975.182225984,9048391.952798387,8509684.416558899,8607543.643357074
9308770.448307745,7504903.923160179,7753459.631059863,8698942.102976095,8254179.655567245,8316519.026375969
11775493.722061407,10987406.683152901,10353010.48791093,11943314.26997561,11227927.356607832,11264806.290775212
10715822.357958104,8033603.95830148,10238838.599184837,10719868.163778586,9785953.301975204,9927033.269805752
10806555.859571546,8655967.38945394,10061725.736256793,9472589.437338712,9684809.275598118,9749209.605655245
11143514.188322812,8659480.493504811,9909461.136679772,9138181.156937683,9625489.18786611,9712659.24386127
10833600.625753967,9289767.690201683,9373035.465552405,9270649.536937222,9650016.493205486,9691763.32961132
10278037.928398497,7751193.502589319,9405760.008710034,9506537.281639712,9136261.747170571,9235382.180334391
9984069.63192732,7789188.305847722,9859015.735638916,9515034.846470622,9193933.949204147,9286827.129971147
9834313.728560712,8002866.99228962,8678579.339686306,7978342.534112694,8561542.215662522,8623525.648662332
9285639.67812384,7273953.637552147,9213976.457858501,8050517.570784478,8369664.9785138285,8456021.83607974
8940600.880307604,8245614.14409486,8403700.070525499,8821175.003539754,8593193.552724598,8602772.524616929
10405380.992062105,8695741.456364527,9240401.048188651,9682071.40836235,9465057.757551849,9505898.726244409
10553206.766513996,9393712.363953864,10335054.683579432,10856864.36924159,10254364.271397168,10284709.545822222
8230646.527798929,7716383.355020433,7923727.22121875,8248658.633414571,8023644.149150841,8029853.9343631705
9437120.77535576,8925703.917484235,9535714.438250804,8763413.961015262,9153732.900060166,9165488.273026515
10374265.411057925,9193107.599699814,10269728.813882055,9373149.802649522,9774435.620352339,9802562.90682233
9582458.667829735,7332413.501635366,8703158.335884156,9545911.336636512,8688176.529524809,8790985.460496442
8970750.038046798,7574261.021837044,8856355.873590093,9452987.984762048,8654273.532778757,8713588.729558997
10067972.775278237,8275954.080681216,9024578.531364031,10075355.85847362,9297624.279070005,9360965.311449274
10285918.990912635,7948688.919249516,10159042.530127086,10050203.420705875,9502042.036755728,9610963.46524878
9537769.63202483,8380805.966044121,10411486.685237607,9182157.186334446,9321375.568554092,9378054.867410252
8902893.097782904,8007244.672314256,7944754.960108621,8623492.252775773,8350008.141115119,8369596.245745389
10062280.897172432,8967445.014502471,10460753.29392954,9272744.80916293,9654050.181041313,9690806.003691843
9057107.468901407,8003424.411984506,9242095.543894378,8786057.193009587,8745572.131702708,8772171.15444747
10179317.728000104,9527720.213855222,10767619.589459792,10053209.786597049,10112832.176713096,10131966.829478042
8355593.627629962,7437628.771838881,7416533.498463716,7456759.869404232,7647128.670829035,7666628.941834197
8047887.064516026,6633200.937446635,8491721.953633454,8014792.855083341,7728811.038607232,7796900.702669864
9993362.10315807,8152463.029363425,8754271.688024752,9239888.197417876,8985026.570754966,9034996.25449103
8058217.367349509,7334934.6301546525,7083825.14851461,7351970.477927057,7440262.814948117,7457236.905986457
9045361.601056749,7823942.18436153,8358371.610017138,8264408.044480668,8350590.595801188,8373020.85997902
9394358.341397285,8089796.960257896,9113501.735251835,7978182.591117452,8599774.07312477,8643959.907006117
8783551.628530584,6927125.378589315,7807537.6788768,8597416.381090293,7958543.055118822,8028907.766771749
11184580.428465178,9353282.635354405,9458878.655101005,9929952.873786453,9931735.883138571,9981673.64817676
9612119.203488896,7929203.737661955,9452649.208301483,9060448.17017276,8962346.996710489,9013605.079906274
9297553.797890358,8428512.850504695,9076852.228169333,8820914.534128774,8894080.146407995,8905958.35267329
10002073.753361812,9396921.75745215,10024982.454571836,9709793.397760358,9776683.548644155,9783442.840786539
8302755.568070427,6699818.229597407,8940636.298663272,7630342.151680069,7803289.882624545,7893388.062002794
8340699.260495105,6908439.973406485,7877890.7358539235,7996650.28584776,7742419.0662480965,7780920.06390082
10616763.652693905,9114772.990110165,9997927.76839345,9749097.554984426,9840171.304020567,9869640.491545485
10878079.078222971,10292529.3638915,10187328.544786563,10402909.61529772,10433676.911745844,10440211.650549687
11028751.469007932,9262079.56159688,10008032.19899746,9591259.228365954,9929980.038078388,9972530.614492057
8173892.391539248,7515766.663199261,7770654.317425892,9115626.317807874,8100685.29799852,8143984.922493069
8775254.475413326,8074490.534539177,8544095.603597801,8853994.495601142,8550902.245001122,8561958.777287861
10454249.953977725,8132678.915047496,8178169.17923344,9093314.828092648,8871869.77433467,8964603.219087826
11073151.847918758,9016000.280158242,9362493.811702644,9235718.516011525,9608296.651994491,9671841.113947792
8348652.886250785,6678941.693530421,7939131.856847054,8113104.926423637,7711291.525883774,7769957.840762974
9004272.120184515,7894136.27846104,9120196.86283448,10243119.486356547,8988603.212975454,9065431.186959146
9422044.262359126,8685149.356286835,9428890.057772346,8729023.980074227,9052015.974700112,9066276.914123133
7942856.035924209,7014754.978078208,8772456.153262658,9682541.641132992,8235065.324108976,8353152.202099516
12294617.930022845,10318879.420243943,10757170.247203484,10247703.637974927,10846274.052574778,10904592.808861298
10043568.373284275,9382296.206711553,8947286.738424381,8607919.298742576,9214726.917719577,9245267.654290697
9474517.282714978,7444327.678427029,9402522.190114181,9813523.25215281,8925953.749010501,9033722.60085225
8475208.377680663,7600965.209579774,8470313.158499477,9718808.478343451,8501483.845432986,8566323.806025842
7991990.752305412,7178831.241219822,9613006.160340752,9179470.409060847,8378925.350444787,8490824.640731707
8521355.127285827,7258272.944786822,8741692.254469171,9021513.04691873,8326974.886117423,8385708.343365137
9768174.73800139,9057940.248747936,9427560.940799987,9034921.836281182,9312563.686688928,9322149.440957623
10210122.471156636,8138409.499790674,8107966.741688998,9460718.95987875,8891816.36203713,8979304.418128764
7993037.356462879,7176417.354322761,7960575.35531351,7722592.160865853,7698771.0709089935,7713155.556741251
11018763.647610327,8559763.188340621,9893138.358452821,9702802.085716229,9715267.000814518,9793616.820029998
9158630.229186073,7387877.5335525,8609921.366101902,8494755.158209179,8361059.266950022,8412796.071762413
10730559.651553364,8771628.470410138,8461116.607032292,8657250.277751898,9072485.159173207,9155138.751686925
9285307.313392948,8429046.58872142,8541771.1658384,10158628.89883644,9052956.07208317,9103688.491697302
9255444.871037902,7603161.675598097,9072320.50256844,8658858.931141386,8596922.45574963,8647446.495086458
11336301.550454019,10904772.325294212,11515838.673724687,9903417.159669122,10877624.966953378,10915082.42728551
8874113.829906601,7283410.90251321,8685044.975918306,8343844.844981359,8247849.637864737,8296603.638329869
8382908.747294303,7066134.1081705205,8450514.25429873,8533870.194760237,8059210.107856874,8108356.826130948
8347186.148013185,7128212.47129499,8212503.959208039,7736414.288844765,7826060.078529118,7856079.216840244
9472048.152272407,9071790.602836039,10553114.136958739,9334026.01427333,9576267.542818563,9607744.72658513
8480145.107589971,7566366.590501171,7924877.549465563,8482830.817501359,8094602.713039303,8113555.016264515
9590809.494622288,8827394.86623508,9588008.933780504,9464889.654940136,9356708.355295068,9367775.737394502
10403823.501716087,9331527.774537655,9654353.250497788,9746918.735244732,9768991.69310525,9784155.815499065
8756514.452425983,8817093.446868882,9704521.15504907,9512384.739340222,9178783.110521337,9197628.448421039
8651414.973424502,7653732.210786298,9252567.725787662,8523505.352969402,8480973.499546586,8520305.065741966
9056278.366901165,7893888.519092555,9226733.31908026,8022140.526934678,8508164.736732638,8549760.183002163
8664354.78299107,7961793.68354836,8807875.344094057,8733629.609665964,8527876.721882252,8541913.355074864
11768715.93341308,9701583.596837725,10839791.23536085,9869592.804928519,10481603.620919142,10544920.892635044
11193127.908761226,9879718.90532325,10817201.239811514,9092605.33249885,10178562.005998299,10245663.34659871
8765102.00222424,7920498.493266241,9218013.972092526,8117227.968421947,8474190.502526112,8505210.60900124
8600289.082918467,8015078.896744607,8949282.697523829,8617351.089491809,8531954.806124615,8545500.441669678
9959464.417863306,8616805.202712836,9878844.684376853,9639497.754590573,9491593.363724204,9523653.014885893
8257927.243034515,7176094.49556384,8225177.859719931,7859784.1985402005,7854608.023878046,7879745.949214622
10606015.06350736,9065145.745216165,10070815.538743082,9937892.700545384,9888249.916180061,9919967.262002999
8451845.20684399,8043754.471003031,8075952.38277178,9367308.678581363,8452798.359058201,8484715.18480004
9410644.787323844,8614695.78354001,8967350.589483988,8423057.506026609,8838201.866239272,8853937.166593611
9077291.446849609,7265936.236678474,7969272.753249758,8078045.639027198,8047191.68060053,8097636.51895126
9827113.370840792,9145647.181747587,9813086.72078514,9541451.069781119,9573695.04983556,9581824.58578866
9364290.457524033,7379074.490997443,9677431.225667581,9275791.061572958,8821303.39123823,8924146.808940504
9659265.324373815,8243028.979679228,9215691.160178855,8270271.176798367,8805379.23480173,8847064.160257567
11202250.077901933,8705739.365256999,10549551.504324814,9873300.999569472,9994789.215209905,10082710.486763304
9139748.546859127,8015599.41574177,8254773.454705174,8226288.44793921,8387986.8911775695,8409102.46631132
9004941.269372823,6661443.708104992,8615383.751647849,9829859.539396329,8351252.971739011,8527907.067130499
10853088.945388654,8777646.095927635,9583999.081403216,9591356.75440622,9646305.183384227,9701522.719281431
9257650.985888837,8230617.975526335,9774260.222419528,9349560.660305204,9116128.601817384,9153022.461034976
12451132.903759217,11516000.890003353,11061728.726663843,11747465.214853076,11672826.775057567,11694081.933819873
10349597.52353334,8277819.087028989,8462414.314544974,9168847.524852725,8995608.211545317,9064669.612490008
9593587.093751064,7692500.756605041,10128044.319459675,9682746.076687548,9169153.921957662,9274219.561625833
10370899.278044779,8397153.691318043,9393668.424546711,9411805.7150369,9341083.564922627,9393381.777236609
7987087.045638638,7654252.113103575,7761053.381302259,7639788.059540903,7758093.335740852,7760545.149896344
10482111.355414908,8405545.364442088,11378970.399407376,10465876.006531518,10055310.747854237,10183125.781448971
7826356.878792647,5888073.648349765,7977609.156088659,8523723.384029606,7403586.83712537,7553940.766815169
10467462.902199974,8424304.690478642,9154925.996252604,9510894.720717577,9332456.757967228,9389397.0774122
9333012.800930303,7628842.289591245,8310845.5493939975,7633404.070761603,8170670.9672099,8226526.177669287
8299497.535616303,8200068.354466486,8981984.805767424,10358518.304951193,8882724.368671918,8960017.250200352
9089763.891550345,7081155.068976941,8725721.60600565,9489639.605935184,8488684.408365363,8596570.043117031
10337521.710037656,9681851.144323204,10784245.434910165,10227838.42398119,10242720.53857358,10257864.178313054
9898364.942276374,8439557.51655001,11088401.325448511,9143239.876271162,9544918.376792084,9642390.915136514
12017826.578322357,10452187.270557428,11066254.607446639,11065569.037853075,11122892.251247952,11150459.373544876
9284573.141482692,7413369.21095328,8935742.102056349,7910962.101331162,8317495.851322756,8386161.638955871
7955025.28479023,6924347.184774538,8452615.157015687,10173625.068903988,8218199.597244608,8376403.17387111
8315232.237404264,7629458.069617509,9160713.111699322,10105332.569049722,8706031.417607563,8802683.996942703
10544212.238294784,8602540.329801895,8539698.637522379,8685522.048970222,9022873.153309766,9092993.31364732
10924114.592287024,8652312.36893666,9735831.34862394,8391764.954557842,9324129.992608368,9426005.816101367
9658399.530229611,8963024.339650838,9658693.723007733,9798665.805978853,9508083.017440591,9519695.849716758
10339885.772612719,7677642.216225438,8603773.375846343,9706776.78468302,8964387.568484543,9082019.53734188
8131881.9696011245,6834735.066554247,7862090.346500593,7238108.4243942415,7481746.9650846515,7516703.951762551
11170757.891570084,10027114.764051763,10875861.154047899,9884451.75638937,10461215.142406678,10489546.39151478
8873532.885132922,7813817.601583905,8700153.488974908,8643174.308809053,8486950.02334042,8507669.571125198
7985739.154343868,7665751.209866716,7617900.424561131,8907193.417478317,8012625.372549136,8044146.051562509
9184299.266894747,8399157.909521414,8469403.656529583,8473303.960059956,8620117.274328338,8631541.198251424
11335498.868489876,9221339.595450947,9642979.440175815,10465243.566119207,10103068.137017192,10166265.36755896
9484901.173804058,7607025.106366945,9206455.642299006,8566979.58499588,8653609.81891627,8716340.376866473
10228066.419842497,8523514.277043521,9282975.24766336,9449207.55264452,9331714.980873628,9370940.874298474
