0,1,2,3,harmonic mean,ar mean
5593619.506522023,5986356.850239516,4555983.499134797,6218533.417280831,5508709.914641375,5588623.318294291
5573368.744818346,6229263.479930144,4649110.044085509,5991546.767697877,5540518.74585828,5610822.259132969
5710455.77164624,6110912.9123884225,5087927.994501244,5309886.141364624,5527681.767859773,5554795.704975133
5726467.585608685,6714142.463907124,5156590.577840337,6469460.275822592,5951795.902846061,6016665.225794684
5756990.644840558,5960069.133014361,4395208.109648297,5627626.19321213,5356900.268892604,5434973.520178837
5874149.424506534,6985757.395735517,5340652.451801861,6015355.1714765895,5998169.870946735,6053978.610880125
5611967.151302232,5721891.058157132,5286196.841156918,4690278.751322028,5295650.222598282,5327583.450484578
5862869.656759284,6357944.124404836,5364023.527649969,6160249.826933025,5911853.224520606,5936271.783936779
5219482.649297842,5936996.323253006,4906193.196276223,5424878.316500186,5346270.178474023,5371887.621331814
5579763.779237111,6198330.046121242,5045486.218233311,6529008.265972796,5781078.594322088,5838147.077391115
7023197.8970565265,6497929.949339048,5320393.153231074,5654653.8706947565,6050686.936315378,6124043.717580351
5714612.678132315,5950044.938867407,3923976.5341497874,6204582.782406642,5269601.658534936,5448304.233389039
5789046.930747368,6422814.101545392,4891458.661161333,6306616.009791311,5785056.496436932,5852483.925811351
5612931.353057066,5372146.26047654,5321615.038879649,5866964.164083131,5535074.63518032,5543414.204124096
5298468.459458428,6536908.413060964,6117887.667732771,5852444.677692173,5916851.89771825,5951427.304486085
5920809.280742149,5617439.144193677,3641182.917176121,5444816.104928169,4967649.138991413,5156061.861760029
6137716.374090192,5520113.828973649,4477342.07565073,5537134.67251041,5347390.928772714,5418076.737806246
6253420.062218497,6065646.709526358,5201705.629175623,6203881.500743732,5897883.266076184,5931163.475416052
5339541.474080816,5600925.333079199,4228535.993021806,5763958.59299289,5155939.644402611,5233240.348293678
5717588.651778655,5889083.827076828,5371144.723927434,6211758.773215298,5781435.776037805,5797393.993999554
5965511.742501058,6424206.902263084,5509396.945207537,5640753.615939102,5864407.892095645,5884967.301477696
5333535.596068879,5726575.171066945,5089752.384153477,6574782.461741667,5628358.120295393,5681161.4032577425
5756240.808512633,6065336.831938054,4921305.0495538125,5994604.569452896,5644849.202767571,5684371.814864349
5618021.802135162,5788036.9562581405,4045256.133507002,6241303.668009955,5275688.928130907,5423154.639977565
5024138.320036673,6209282.9560062755,4913431.127370319,5937041.590197051,5464136.612117539,5520973.498402581
5613971.955360275,5653294.306805049,4509920.824526678,6049839.825721795,5390530.224786568,5456756.72810345
5753606.278561297,5930579.104929102,4539035.627649903,5164169.0764259845,5288383.874327996,5346847.521891572
5785711.756867938,5912067.102782747,5222986.577286828,4878350.538104848,5416870.018967053,5449778.9937605895
6005064.385525968,6602488.466487665,5925246.931697067,6082065.269323953,6142776.628031454,6153716.263258663
5208534.208074415,5993362.666358068,5131396.27659326,5848803.519488075,5519542.774283761,5545524.167628454
5547875.131523223,5638178.696520799,4796604.20705706,5639738.473191334,5380643.967206816,5405599.127073104
5797136.136254341,6153344.5681090215,5229132.544971486,6145849.927246438,5805852.74878265,5831365.7941453215
5382790.598051869,6726331.959251206,5414871.795788181,6490491.679433756,5941816.592932366,6003621.508131253
5808852.540963383,6434051.921037372,3456637.3798744357,5781846.644112961,5064395.601281456,5370347.121497039
5879237.736225065,5940900.003687709,5501162.9379231855,5801231.79207599,5775575.533205147,5780633.117477987
5686879.280658825,6418657.285989225,4392485.002659743,6324858.377839363,5575635.11770214,5705719.986786789
5913423.334083824,5539947.136796228,4745175.748415145,5040609.654153234,5271877.494979307,5309788.968362108
5933147.337941338,6495127.532558168,5397708.277984917,4537481.935973644,5493324.305436915,5590866.271114517
5424019.915622546,6077229.972716529,4911305.502906668,5915463.345372862,5543436.4316966655,5582004.684154652
6117013.18634381,5584064.015156831,5318093.768161422,5776501.3806996625,5684143.620695462,5698918.087590432
5963126.097979561,5634321.602977083,4193678.918576029,5817902.584025941,5294378.724830554,5402257.300889654
6124240.777700098,6101250.150122646,5288667.607331123,5700062.947265124,5782798.807121569,5803555.370604748
5942399.483905643,6824994.968219234,4779130.520961164,5616466.71086336,5697247.619741367,5790747.92098735
5588830.085550317,5966311.001052675,4566165.230270782,5796397.702921952,5419619.654246867,5479426.004948932
5507890.631735361,6763900.298068726,4505634.094435802,5551586.173367682,5468407.03750476,5582252.799401893
5500783.618756928,6076171.537215989,5759206.502819581,5982888.842106352,5821162.564157257,5829762.625224711
5282696.037070247,5803738.824570296,4414788.404144768,6014812.354914785,5302454.299839435,5379008.905175024
6100564.478755229,6405283.646185469,4738289.927851381,5638814.305954643,5646294.486343255,5720738.089686681
6171187.575104802,6481386.490922004,4546649.060782289,5609546.262284367,5597998.658097133,5702192.3472733665
5765054.142712573,6416892.762556938,4971910.543546722,5717811.71464573,5671188.068942726,5717917.29086549
5537791.575900184,6200171.333109672,5393972.678603339,4995093.851663332,5498645.961060355,5531757.359819132
5874682.690986969,5380923.868363681,5707564.303235639,5887091.22614894,5705052.398673421,5712565.522183808
6040759.003920384,6499689.771231675,5727502.44023153,6077196.367729835,6074030.201074664,6086286.895778356
5202238.113921204,5891689.739722266,4168001.29445082,5532070.209086542,5110888.016329891,5198499.8392952075
6505556.919196809,5815424.368395904,4380429.679095654,5890576.21393008,5526983.932536136,5647996.795154612
5292244.796060383,6511390.332918381,5132872.863524601,6566046.279670266,5800009.111956332,5875638.568043409
5612796.016709841,6009798.053863365,4338084.531316086,5981575.344888082,5388977.839089763,5485563.486694343
5821317.0872127805,5947082.876566582,4190133.4368193783,5836950.671902902,5333971.184256011,5448871.018125411
6031224.510672951,6272849.215882195,4305632.513799871,5895059.516606293,5501242.363138409,5626191.439240328
5947875.633796895,6967443.090480117,5894179.677397876,5921221.124798564,6152001.454041358,6182679.881618364
6746008.999265924,6494431.318808404,4605644.604089387,4846224.854244085,5512034.066901101,5673077.44410195
6281446.55547119,6287508.957167832,4702051.33249855,6014278.040876572,5737328.2268047985,5821321.221503536
6362036.222934514,5630576.13700493,4928166.255404544,5851734.425382816,5645022.602199931,5693128.260181701
5828861.966777325,6400968.06792723,4453765.6371192755,5461913.998040086,5439205.292319792,5536377.417465979
5917781.674241008,6471266.9615319185,5256783.861715567,5243821.382180709,5678249.204103056,5722413.469917301
5978901.646217816,5550066.5229803,5183423.143770743,5892982.398838286,5633414.938353801,5651343.427951786
5601720.345564702,6241547.972132978,5374694.681852723,5723105.516499937,5718201.518358375,5735267.129012585
5812360.373634758,6181454.989724455,4427023.341445371,5942716.860849807,5494656.666758284,5590888.891413597
5766181.982305205,6509173.708387764,4535194.056841043,5918509.260210285,5582588.398393835,5682264.751936074
5746816.629043281,6851109.21283291,4559879.135098699,6382957.728016609,5747602.210766458,5885190.676247874
6539455.629359836,7139204.834502427,5370987.925851495,6058929.537248526,6209052.351662679,6277144.481740571
5652432.055207093,6479439.685210523,5002479.323694736,5746725.710754081,5672452.679609927,5720269.193716608
5694970.795484979,6149475.500135255,5926861.121147093,5257088.186499006,5737631.623566562,5757098.900816583
6348810.206024132,6478534.003218609,4224281.715762339,5206571.672737201,5400608.092905408,5564549.3994355695
5361009.671894196,6651468.593793942,4713534.429425688,6039952.840283814,5597584.135064175,5691491.38384941
5167250.02161988,5855302.822217743,5389854.705364686,6001649.650783115,5582954.600455857,5603514.299996356
5954107.767929389,6107053.639280657,4709869.792187188,6057834.529058022,5641017.417818724,5707216.432113814
5928440.067357955,6463139.101453593,4713039.426527944,6171584.234022712,5733844.12337824,5819050.707340552
5859357.834461431,6111946.197611475,5235699.861493507,5628752.236508961,5690411.403052386,5708939.032518844
6005580.276120461,5870853.591282334,4510018.912238292,5513335.45862013,5405757.861472112,5474947.059565305
6033624.140590432,5759562.339581054,4688658.1657776935,5533711.846430047,5454396.662405018,5503889.123094807
5902619.037355459,5642777.748220284,3800505.860429118,5973237.93856012,5146877.34292722,5329785.146141245
6231621.7686857665,6359306.807813078,3972894.190729353,5076817.7169118505,5219198.713463366,5410160.1210350115
4801898.614813641,6134409.868225588,4870107.093317058,5099553.980314615,5176682.095652645,5226492.389167726
