,super bc,s,s std,pval tot,pval indiv,pval,stderr,corrected pval tot,corrected pval indiv,corrected pval
0,0,0.0038820776415527947,0.003003003003002991,0.0030227239154047526,1.3687396227285176e-08,1.3687396227285176e-08,0.003003003003002991,0.028381706713235075,4.649981791033155e-07,3.6276453688911136e-07
1,1,0.05038300766015319,0.0012012012012012074,0.0,0.0,0.0,0.0012012012012012074,0.0,0.0,0.0
2,2,0.04385487709754193,0.0012012012012012074,0.0,0.0,0.0,0.0012012012012012074,0.0,0.0,0.0
3,3,0.05596311926238523,0.0012012012012012074,0.0,0.0,0.0,0.0012012012012012074,0.0,0.0,0.0
4,4,0.004482089641792808,0.006606606606606613,0.1505732034336354,0.11141072415545192,0.11141072415545192,0.006606606606606613,0.5146559514514,0.32520874881469564,0.29616473467847065
5,5,0.0016620332406648286,0.004204204204204198,0.44497893192617893,0.0008119819238540149,0.0008119819238540149,0.004204204204204198,0.8402659265326582,0.008430730794699444,0.006698402758151112
6,6,0.046494929898597936,0.0018018018018017834,3.79969850816e-313,1.273589065496798e-118,3.79969850816e-313,0.0018018018018017834,3.54986833124846e-310,9.518804675523067e-116,3.54986833124846e-310
7,7,0.04463489269785392,0.002402402402402415,5.90219732996491e-259,7.794220859572295e-103,5.90219732996491e-259,0.002402402402402415,3.676085237013145e-256,4.854500558703611e-100,3.676085237013145e-256
8,8,0.050515010300206,0.0024024024024023594,1.0231857152656152e-298,1.5801477432613708e-131,1.0231857152656152e-298,0.0024024024024023594,7.647290035895208e-296,1.4762530291419358e-128,7.647290035895208e-296
9,9,0.0008700174003479777,0.003003003003002991,0.5616531461296982,1.2369687501510656e-15,1.2369687501510656e-15,0.003003003003002991,0.8838621508229105,1.1274517608084225e-13,7.969917619507813e-14
10,10,0.014358287165743278,0.007807807807807821,0.00030984520599311053,0.0002096332203944839,0.0002096332203944839,0.007807807807807821,0.004062777315074576,0.0027978548021935223,0.002123033454238987
11,11,-0.0008220164403288099,0.0030030030030030463,0.6012948847731613,2.343397741732263e-12,2.343397741732263e-12,0.0030030030030030463,0.897508819683923,1.3070563225154427e-10,9.839637484105019e-11
12,12,0.0382867657353147,0.0024024024024023594,9.485924873675366e-196,5.375642025497238e-100,9.485924873675366e-196,0.0024024024024023594,5.064128750417834e-193,2.86982489275474e-97,5.064128750417834e-193
13,13,0.03893477869557388,0.003003003003002991,1.5757582997833256e-132,1.2816547635308576e-64,1.5757582997833256e-132,0.003003003003002991,6.542898629211431e-130,5.986929814143519e-62,6.542898629211431e-130
14,14,0.04858297165943315,0.003603603603603567,2.4466180049464376e-163,2.2869406365750978e-55,2.4466180049464376e-163,0.003603603603603567,1.1428764355606047e-160,9.495885732090157e-53,1.1428764355606047e-160
15,15,0.010986219724394453,0.004204204204204198,1.3707759709496734e-06,2.945192402267751e-09,2.945192402267751e-09,0.004204204204204198,3.582230631775475e-05,1.1708706390717644e-07,8.980290210119298e-08
