Strain,Name,Line,Time point,Clone,Replicate,Experiment
REL606,R,all,0,,1,E1
REL1159A,1159A,Ara+2,2,A,1,E3
REL1159B,1159B,Ara+2,2,B,1,E3
REL2174A,2174A,Ara+2,5,A,1,E3
REL2174B,2174B,Ara+2,5,B,1,E3
REL4531A,4531A,Ara+2,10,A,1,E3
REL4531B,4531B,Ara+2,10,B,1,E3
REL7184A,7184A,Ara+2,15,A,1,E3
REL7184B,7184B,Ara+2,15,B,1,E3
REL8601A,8601A,Ara+2,20,A,1,E4
REL8601B,8601B,Ara+2,20,B,1,E3
REL10407,10407,Ara+2,30,A,1,E3
REL10408,10408,Ara+2,30,B,1,E3
REL10950,10950,Ara+2,40,A,1,E3
REL10951,10951,Ara+2,40,B,1,E3
REL11342,11342,Ara+2,50,A,1,E3
REL11343,11343,Ara+2,50,B,1,E3
REL1165A,1165A,Ara-2,2,A,1,E4
REL11829,11829,Ara-2,2,B,1,E4
eJA28,28,Ara-2,6.5,L,1,E3
eJA46,46,Ara-2,6.5,S,1,E3
4537G,4537G,Ara-2,10,L,1,E5
4537H,4537H,Ara-2,10,S,1,E5
REL7178A,7178A,Ara-2,15,S,1,E5
REL7178B,7178B,Ara-2,15,L,1,E4
REL11830,11830,Ara-2,20,S,1,E5
REL11831,11831,Ara-2,20,L,1,E4
REL11832,11832,Ara-2,30,S,1,E5
REL11833,11833,Ara-2,30,L,1,E5
REL11035,11035,Ara-2,40,L,1,E5
REL11036,11036,Ara-2,40,S,1,E5
11319C,11319C,Ara-2,50,L,1,E5
11319D,11319D,Ara-2,50,S,1,E5
REL606,R,all,0,,2,E4
REL1159A,1159A,Ara+2,2,A,2,E4
REL1159B,1159B,Ara+2,2,B,2,E4
REL2174A,2174A,Ara+2,5,A,2,E4
REL2174B,2174B,Ara+2,5,B,2,E4
REL4531A,4531A,Ara+2,10,A,2,E4
REL4531B,4531B,Ara+2,10,B,2,E4
REL7184A,7184A,Ara+2,15,A,2,E4
REL7184B,7184B,Ara+2,15,B,2,E4
REL8601A,8601A,Ara+2,20,A,2,E6
REL8601B,8601B,Ara+2,20,B,2,E6
REL10407,10407,Ara+2,30,A,2,E4
REL10408,10408,Ara+2,30,B,2,E4
REL10950,10950,Ara+2,40,A,2,E5
REL10951,10951,Ara+2,40,B,2,E5
REL11342,11342,Ara+2,50,A,2,E5
REL11343,11343,Ara+2,50,B,2,E5
REL1165A,1165A,Ara-2,2,A,2,E6
REL11829,11829,Ara-2,2,B,2,E6
eJA28,28,Ara-2,6.5,L,2,E3
eJA46,46,Ara-2,6.5,S,2,E3
4537G,4537G,Ara-2,10,L,2,E6
4537H,4537H,Ara-2,10,S,2,E6
REL7178A,7178A,Ara-2,15,S,2,E6
REL7178B,7178B,Ara-2,15,L,2,E6
REL11830,11830,Ara-2,20,S,2,E6
REL11831,11831,Ara-2,20,L,2,E6
REL11832,11832,Ara-2,30,S,2,E6
REL11833,11833,Ara-2,30,L,2,E6
REL11035,11035,Ara-2,40,L,2,E6
REL11036,11036,Ara-2,40,S,2,E6
11319C,11319C,Ara-2,50,L,2,E6
11319D,11319D,Ara-2,50,S,2,E6
REL606,R,all,0,,3,E5
